排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,442.4,-0.9,40272.22,102.43,15.09,3.08
2,03750,宁德时代,650.5,-0.23,30096.39,8.92,31.24,6.89
3,00005,汇丰控股,162.1,-0.86,27847.49,9.25,14.77,2.05
4,01398,工商银行,7.275,0.76,25928.56,7.77,6.24,0.58
5,09988,阿里巴巴-W,126.7,3.68,24294.71,151.07,20.71,2.0
6,00939,建设银行,8.96,0.67,23439.39,15.34,6.13,0.58
7,01288,农业银行,6.09,3.22,21313.97,5.24,6.47,0.67
8,00857,中国石油股份,9.805,2.51,17945.21,10.08,10.11,0.98
9,00941,中国移动,82.1,-0.36,17805.2,11.98,11.85,1.06
10,03988,中国银行,5.32,0.28,17141.7,7.19,6.25,0.55
11,03968,招商银行,48.0,0.38,12105.53,6.04,7.17,0.94
12,00883,中国海洋石油,24.42,2.09,11606.81,18.29,8.3,1.22
13,02318,中国平安,53.9,-1.64,9760.02,30.04,6.58,0.85
14,01088,中国神华,43.64,0.88,9465.27,2.23,16.04,1.69
15,02899,紫金矿业,35.5,-1.17,9439.7,10.41,13.67,4.22
16,01211,比亚迪股份,90.0,-0.06,8205.48,11.14,26.62,3.12
17,02628,中国人寿,26.88,-3.93,7597.55,19.3,4.71,1.12
18,01299,友邦保险,72.55,-1.16,7506.49,19.21,15.47,2.27
19,00300,美的集团,96.25,0.79,7342.62,2.68,14.82,2.78
20,01810,小米集团-W,26.18,1.16,6743.59,46.44,18.03,2.17
21,00981,中芯国际,75.85,0.93,6493.56,84.61,79.95,3.29
22,03328,交通银行,7.345,0.62,6490.32,1.39,6.01,0.49
23,09999,网易,193.8,-0.21,6218.58,9.38,16.23,3.31
24,02359,药明康德,205.2,1.18,6081.32,9.64,24.4,6.34
25,01658,邮储银行,4.82,0.1,5788.58,1.73,5.87,0.5
26,02388,中银香港,50.0,-0.79,5286.39,3.59,13.18,1.47
27,03690,美团-W,85.55,-2.4,5283.12,45.12,-11.88,3.11
28,00386,中国石油化工股份,4.31,0.47,5211.89,2.51,12.76,0.55
29,02888,渣打集团,235.8,-0.92,5157.77,0.79,12.21,1.42
30,00388,香港交易所,405.0,-0.3,5134.74,11.99,27.22,9.31
31,02513,智谱,1043.0,-13.3,4856.45,112.22,-93.36,-4.69
32,02475,立讯精密,61.6,-2.84,4766.5,2.13,24.79,4.49
33,09633,农夫山泉,42.16,-0.85,4741.51,1.78,26.99,10.85
34,00728,中国电信,4.67,-0.21,4273.38,2.88,12.05,0.81
35,00998,中信银行,7.51,0.74,4178.95,0.72,5.24,0.5
36,06030,中信证券,26.5,-0.9,4140.43,1.87,10.98,1.19
37,00992,联想集团,31.34,-5.09,3887.62,40.22,62.26,6.87
38,02259,紫金黄金国际,137.8,2.0,3688.0,13.1,18.67,5.04
39,03993,洛阳钼业,17.09,-3.12,3656.29,5.5,13.53,3.63
40,03986,兆易创新,517.5,-6.59,3631.53,25.98,112.59,12.68
41,01276,恒瑞医药,54.25,1.02,3600.68,2.04,39.61,5.0
42,06809,澜起科技,290.8,-6.5,3549.32,12.7,123.86,15.05
43,00267,中信股份,12.2,0.58,3549.01,2.22,5.46,0.41
44,06160,百济神州,220.8,3.18,3405.37,8.81,66.46,10.02
45,00016,新鸿基地产,117.3,0.09,3399.1,2.88,15.45,0.55
46,02328,中国财险,15.25,-1.23,3392.02,2.32,8.04,1.02
47,02338,潍柴动力,35.3,-1.12,3050.0,3.45,24.09,2.85
48,02378,保诚,109.2,-0.91,2729.3,0.09,8.82,1.78
49,02601,中国太保,28.2,-1.88,2712.94,2.74,4.51,0.75
50,00001,长和,70.4,0.43,2696.35,4.24,7.14,0.47
51,00669,创科实业,141.3,-0.49,2582.63,11.65,25.36,4.42
52,01919,中远海控,16.7,1.58,2549.78,4.71,9.06,0.96
53,02611,国泰海通,14.42,0.49,2535.19,0.67,10.24,0.69
54,06951,三环集团,124.9,-2.12,2493.9,3.21,77.51,9.44
55,01109,华润置地,34.24,0.82,2441.63,2.73,8.68,0.76
56,02476,胜宏科技,241.4,-5.92,2372.44,8.54,45.31,10.69
57,01378,中国宏桥,22.96,-1.54,2254.53,6.64,9.0,1.55
58,01347,华虹宏力,128.9,-7.86,2239.93,64.57,279.18,4.0
59,01339,中国人民保险集团,5.025,-1.86,2222.26,0.84,4.71,0.61
60,00066,港铁公司,32.86,0.24,2045.48,2.02,8.96,1.0
61,02020,安踏体育,72.1,-0.07,2016.39,3.62,13.4,2.77
62,02269,药明生物,48.58,5.24,2013.64,27.89,37.05,3.84
63,02714,牧原股份,34.84,4.56,2011.31,1.3,18.45,2.06
64,09992,泡泡玛特,150.1,-2.21,1999.0,23.54,14.13,8.17
65,03692,翰森制药,32.88,-0.18,1993.89,2.36,32.42,5.08
66,00002,中电控股,78.25,-0.32,1976.95,2.13,18.24,1.79
67,00175,吉利汽车,18.26,-2.2,1969.36,16.24,10.38,1.81
68,06690,海尔智家,20.82,-0.19,1952.42,2.58,9.31,1.38
69,00762,中国联通,6.27,-0.95,1918.5,1.78,10.62,0.45
70,03288,海天味业,32.06,0.56,1875.85,0.19,22.95,3.94
71,06818,中国光大银行,2.975,-0.5,1757.8,0.19,4.14,0.31
72,06031,三一重工,18.9,0.75,1737.86,0.36,18.4,1.69
73,06936,顺丰控股,32.48,1.12,1707.85,0.39,13.4,1.44
74,01024,快手-W,39.38,-1.75,1703.85,27.36,8.7,1.84
75,01801,信达生物,96.65,1.36,1685.27,7.67,187.1,7.82
76,00788,中国铁塔,9.32,-1.32,1640.4,1.6,10.8,0.69
77,01038,长江基建集团,64.55,0.39,1626.41,1.02,6.46,1.1
78,01113,长实集团,45.7,-0.44,1599.4,2.15,12.09,0.4
79,06886,华泰证券,17.05,0.29,1539.08,1.48,7.84,0.76
80,01377,鼎泰高科,360.8,-2.7,1529.95,0.64,219.64,45.01
81,00027,银河娱乐,34.88,0.98,1527.48,3.2,14.26,1.81
82,00688,中国海外发展,13.89,3.5,1520.24,2.84,10.82,0.35
83,02423,贝壳-W,43.98,-0.54,1511.05,2.09,39.67,2.13
84,01898,中煤能源,11.28,1.9,1495.58,1.32,9.29,0.81
85,09973,奇瑞汽车,25.62,-1.08,1488.16,0.38,7.18,2.38
86,03606,福耀玻璃,56.75,0.27,1481.03,1.4,15.41,3.37
87,01988,民生银行,3.37,-0.74,1475.47,0.64,4.46,0.23
88,01766,中国中车,5.015,-0.2,1439.25,0.75,9.52,0.72
89,02600,中国铝业,8.345,-2.51,1431.58,2.77,8.7,1.57
90,01336,新华保险,45.08,-2.68,1406.29,3.35,3.42,1.0
91,01816,中广核电力,2.775,-0.54,1401.34,0.53,13.17,0.98
92,02057,中通快递-W,182.8,1.44,1395.55,2.25,13.56,2.0
93,01972,太古地产,24.16,-0.41,1391.01,0.5,42.15,0.51
94,01776,广发证券,17.41,0.52,1362.31,0.58,7.78,0.87
95,00012,恒基地产,27.18,0.44,1315.89,1.29,23.28,0.41
96,06990,科伦博泰生物,542.5,3.83,1296.71,3.49,708.5,20.59
97,00006,电能实业,60.65,0.5,1292.52,1.43,7.22,1.25
98,06099,招商证券,14.74,-2.06,1281.87,0.3,8.62,0.91
99,01171,兖矿能源,12.64,1.69,1268.66,2.86,11.64,1.46
100,06613,蓝思科技,24.0,1.95,1266.9,4.75,33.22,2.05
