排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,481.4,0.54,43724.22,74.37,16.63,3.44
2,03750,宁德时代,641.0,1.34,29656.86,7.65,30.78,6.79
3,00005,汇丰控股,162.5,0.81,27923.29,13.42,14.81,2.06
4,01398,工商银行,7.215,1.05,25714.71,10.16,6.19,0.58
5,09988,阿里巴巴-W,126.7,2.34,24294.71,67.73,20.71,2.0
6,00939,建设银行,8.855,0.74,23164.71,11.63,6.05,0.58
7,01288,农业银行,5.89,0.51,20614.0,2.77,6.26,0.64
8,00941,中国移动,82.05,0.24,17794.36,11.45,11.72,1.08
9,00857,中国石油股份,9.565,0.63,17505.96,5.47,9.86,0.95
10,03988,中国银行,5.285,1.05,17028.93,6.55,6.21,0.55
11,03968,招商银行,49.0,0.66,12357.72,3.48,7.32,0.96
12,00883,中国海洋石油,23.4,0.6,11122.01,9.48,7.95,1.17
13,02318,中国平安,56.75,-0.7,10276.09,8.38,6.93,0.89
14,02899,紫金矿业,37.56,3.19,9987.47,31.34,14.46,4.47
15,01088,中国神华,44.18,2.79,9582.39,4.05,16.24,1.71
16,01211,比亚迪股份,92.3,2.38,8415.17,10.38,27.3,3.2
17,02628,中国人寿,28.06,-2.57,7931.08,16.25,4.91,1.17
18,01299,友邦保险,74.5,0.47,7708.25,30.11,15.89,2.33
19,00300,美的集团,97.65,2.04,7449.15,4.17,15.03,2.82
20,01810,小米集团-W,27.62,2.07,7137.6,40.95,18.02,2.38
21,09999,网易,205.6,0.19,6597.21,11.04,17.22,3.52
22,03328,交通银行,7.315,0.97,6463.81,1.15,5.98,0.49
23,02359,药明康德,198.0,2.96,5867.94,33.77,23.55,6.12
24,01658,邮储银行,4.865,0.52,5842.62,0.91,5.93,0.5
25,02513,智谱,1252.0,0.48,5829.6,62.16,-112.07,-5.63
26,03690,美团-W,93.9,1.84,5798.77,23.48,-13.03,3.41
27,00981,中芯国际,66.2,-1.05,5667.42,33.06,104.64,3.12
28,02388,中银香港,50.55,0.7,5344.54,4.91,13.32,1.49
29,00388,香港交易所,416.8,1.26,5284.34,16.72,28.01,9.58
30,00386,中国石油化工股份,4.32,-0.92,5223.98,3.05,12.79,0.55
31,02888,渣打集团,236.0,1.64,5166.48,1.37,12.23,1.42
32,09633,农夫山泉,44.32,4.78,4984.43,4.43,28.37,11.41
33,02475,立讯精密,62.1,-1.97,4805.19,3.78,24.99,4.52
34,06030,中信证券,27.44,1.25,4287.3,7.58,11.37,1.23
35,00998,中信银行,7.43,1.23,4134.44,0.95,5.18,0.49
36,00728,中国电信,4.495,-0.11,4113.25,2.3,11.6,0.78
37,03993,洛阳钼业,18.89,-1.1,4041.39,8.24,14.95,4.02
38,02259,紫金黄金国际,144.0,5.03,3853.93,29.2,30.92,5.91
39,01276,恒瑞医药,57.95,-0.94,3846.26,2.58,42.31,5.34
40,00992,联想集团,29.0,3.2,3597.35,33.03,24.01,6.01
41,02328,中国财险,15.82,-0.82,3518.81,2.9,8.34,1.06
42,03986,兆易创新,501.0,-5.11,3515.74,20.51,109.0,12.27
43,00267,中信股份,12.04,1.26,3502.47,1.03,5.39,0.4
44,00016,新鸿基地产,116.7,1.13,3381.71,4.11,15.37,0.54
45,06160,百济神州,213.2,1.52,3288.15,17.69,64.17,9.68
46,06809,澜起科技,257.6,-4.31,3144.11,16.72,109.72,13.34
47,02338,潍柴动力,36.38,3.82,3143.31,5.16,24.83,2.93
48,02601,中国太保,29.26,-0.88,2814.91,2.6,4.68,0.78
49,00001,长和,73.0,-0.34,2795.93,2.73,23.61,0.5
50,02378,保诚,110.6,1.94,2766.56,0.11,8.94,1.8
51,00669,创科实业,147.9,0.89,2703.2,6.58,26.55,4.63
52,02611,国泰海通,14.47,0.35,2550.89,1.74,10.3,0.69
53,02476,胜宏科技,255.2,-0.39,2508.07,18.47,47.9,11.3
54,01378,中国宏桥,24.38,0.83,2393.97,7.43,9.55,1.65
55,01347,华虹宏力,137.5,-2.62,2389.37,29.73,425.21,4.53
56,01919,中远海控,15.52,0.65,2369.61,1.89,8.42,0.89
57,01109,华润置地,32.9,0.24,2346.08,3.23,8.34,0.73
58,01339,中国人民保险集团,5.265,-1.03,2328.39,1.11,4.93,0.64
59,06951,三环集团,107.1,0.09,2138.49,2.27,66.46,8.09
60,02020,安踏体育,75.45,1.28,2110.07,3.26,14.03,2.9
61,03692,翰森制药,34.54,4.92,2094.56,7.68,34.05,5.34
