排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,441.0,-4.46,40054.8,295.46,15.01,3.07
2,03750,宁德时代,652.5,-0.23,30188.92,9.79,31.33,6.91
3,00005,汇丰控股,163.0,1.48,28009.21,12.96,14.85,2.06
4,01398,工商银行,7.21,0.7,25696.89,8.57,6.19,0.58
5,09988,阿里巴巴-W,121.9,-0.57,23374.31,71.28,19.92,1.93
6,00939,建设银行,8.825,0.86,23086.23,13.12,6.03,0.57
7,01288,农业银行,5.89,1.73,20614.0,4.93,6.26,0.64
8,00941,中国移动,81.2,-0.61,17610.02,8.99,11.6,1.05
9,00857,中国石油股份,9.4,-1.16,17203.97,6.51,9.69,0.94
10,03988,中国银行,5.285,1.54,17028.93,7.8,6.21,0.55
11,03968,招商银行,48.38,0.75,12201.36,3.45,7.23,0.95
12,00883,中国海洋石油,23.86,-0.42,11340.65,10.69,8.11,1.2
13,02318,中国平安,55.5,-0.09,10049.74,18.04,6.78,0.87
14,01088,中国神华,42.72,-0.65,9265.73,2.01,15.71,1.65
15,02899,紫金矿业,34.46,-4.06,9163.16,21.5,13.27,4.1
16,01211,比亚迪股份,88.4,-1.34,8059.6,10.63,26.15,3.07
17,02628,中国人寿,27.6,2.0,7801.06,13.72,4.83,1.15
18,01299,友邦保险,72.55,-0.14,7506.49,19.52,15.47,2.27
19,00300,美的集团,96.4,0.31,7353.9,4.08,14.84,2.79
20,01810,小米集团-W,25.88,-1.82,6666.31,30.35,16.83,2.23
21,03328,交通银行,7.295,0.55,6446.14,1.73,5.97,0.49
22,09999,网易,191.7,-0.42,6151.19,15.1,16.06,3.28
23,02513,智谱,1317.0,9.02,6132.26,86.07,-117.89,-5.92
24,02359,药明康德,203.2,2.16,6022.05,13.12,24.16,6.28
25,00981,中芯国际,67.55,0.22,5783.0,62.31,106.77,2.93
26,01658,邮储银行,4.81,0.0,5776.57,1.82,5.86,0.49
27,03690,美团-W,91.25,-0.44,5635.12,19.62,-12.67,3.32
28,02388,中银香港,50.75,1.87,5365.69,4.24,13.37,1.5
29,02888,渣打集团,238.8,2.14,5226.01,1.03,12.37,1.44
30,00388,香港交易所,408.2,0.39,5175.31,12.08,27.43,9.38
31,00386,中国石油化工股份,4.22,-0.82,5103.06,4.8,12.49,0.54
32,09633,农夫山泉,42.54,-0.33,4784.25,2.59,27.23,10.95
33,02475,立讯精密,60.5,-4.95,4681.38,1.98,24.35,4.41
34,00992,联想集团,34.9,20.18,4329.23,118.48,69.33,7.65
35,06030,中信证券,26.98,0.15,4215.43,3.16,11.18,1.21
36,00728,中国电信,4.54,-1.41,4154.42,2.93,11.72,0.78
37,00998,中信银行,7.445,0.4,4142.78,0.8,5.19,0.49
38,03993,洛阳钼业,17.33,-4.25,3707.63,5.79,13.72,3.68
39,01276,恒瑞医药,54.85,-2.14,3640.5,3.42,40.04,5.05
40,03986,兆易创新,501.0,-2.72,3515.74,21.3,109.0,12.27
41,06809,澜起科技,286.8,1.34,3500.5,14.16,122.16,14.85
42,00267,中信股份,11.89,0.0,3458.83,1.03,5.32,0.4
43,02259,紫金黄金国际,128.2,-5.46,3431.07,12.31,27.53,5.26
44,02328,中国财险,15.34,-1.16,3412.04,3.12,8.08,1.03
45,00016,新鸿基地产,117.6,0.0,3407.79,2.96,15.49,0.55
46,06160,百济神州,219.4,1.29,3383.77,15.89,66.04,9.96
47,02338,潍柴动力,35.64,-2.09,3079.37,4.34,24.33,2.87
48,02601,中国太保,28.82,0.35,2772.58,2.1,4.61,0.77
49,00001,长和,72.3,1.47,2769.12,4.32,23.39,0.48
50,02378,保诚,107.1,0.0,2678.41,0.08,8.65,1.74
51,00669,创科实业,144.9,0.07,2648.15,6.76,26.01,4.54
52,06951,三环集团,130.8,9.0,2611.71,5.5,81.17,9.88
53,01347,华虹宏力,147.2,3.08,2557.93,57.99,455.21,4.57
54,02611,国泰海通,14.42,1.19,2535.19,0.87,10.24,0.69
55,01109,华润置地,34.12,-2.51,2433.08,4.09,8.65,0.76
56,02476,胜宏科技,238.6,-5.99,2344.92,18.99,44.79,10.56
57,01919,中远海控,15.23,-0.33,2325.34,2.3,8.26,0.87
58,01339,中国人民保险集团,5.115,0.0,2262.06,0.9,4.79,0.63
59,01378,中国宏桥,22.7,-7.12,2229.0,13.76,8.89,1.54
60,09992,泡泡玛特,154.2,2.12,2053.6,21.25,14.52,8.4
61,03692,翰森制药,33.86,1.07,2053.32,3.99,33.38,5.24
62,02020,安踏体育,72.35,-0.62,2023.38,2.65,13.45,2.78
63,00066,港铁公司,32.32,0.06,2011.86,1.05,8.81,0.98
64,02714,牧原股份,34.66,0.52,2000.92,0.82,18.35,2.05
65,00002,中电控股,78.65,0.96,1987.05,3.88,18.33,1.8
66,06690,海尔智家,21.1,0.09,1978.68,3.19,9.44,1.4
67,00175,吉利汽车,17.91,-0.83,1931.62,6.57,11.21,1.79
68,00762,中国联通,6.265,-0.95,1916.97,1.71,8.65,0.47
69,02269,药明生物,45.72,0.04,1895.09,13.45,34.87,3.61
70,03288,海天味业,32.3,-0.37,1889.89,0.29,23.12,3.97
71,01024,快手-W,40.82,-1.73,1766.16,15.44,9.02,1.91
72,06818,中国光大银行,2.98,-0.33,1760.75,0.2,4.15,0.31
73,06031,三一重工,18.59,-2.16,1709.35,0.77,18.1,1.67
74,06936,顺丰控股,32.42,-0.98,1704.69,0.41,13.37,1.44
75,01113,长实集团,48.1,3.62,1683.39,2.24,15.52,0.42
76,01801,信达生物,95.15,-0.42,1659.11,11.31,184.19,7.7
77,00788,中国铁塔,9.315,0.0,1639.52,2.05,10.8,0.69
78,01038,长江基建集团,63.15,3.52,1591.13,1.49,6.32,1.08
79,02423,贝壳-W,44.6,-1.98,1544.25,2.49,40.54,2.16
80,00027,银河娱乐,34.94,2.16,1530.11,7.38,14.28,1.81
81,06886,华泰证券,16.92,1.81,1527.35,1.74,7.78,0.76
82,01988,民生银行,3.41,-0.29,1492.98,0.45,4.51,0.23
83,01377,鼎泰高科,351.0,-1.4,1488.4,0.55,213.68,43.79
84,00688,中国海外发展,13.48,-2.03,1475.37,2.21,10.5,0.34
85,09973,奇瑞汽车,25.24,-0.63,1466.09,0.4,7.07,2.35
86,03606,福耀玻璃,55.4,-1.42,1445.8,0.61,14.39,3.26
87,01898,中煤能源,10.81,-1.1,1433.26,0.74,8.9,0.77
88,01336,新华保险,45.86,-0.22,1430.62,2.44,3.48,1.02
89,01816,中广核电力,2.82,0.0,1424.07,0.69,13.38,1.0
90,01766,中国中车,4.945,-1.3,1419.16,0.45,9.39,0.71
91,02600,中国铝业,8.235,-6.21,1412.71,6.07,8.58,1.55
92,01972,太古地产,24.0,-0.33,1381.8,0.39,41.87,0.51
93,02057,中通快递-W,180.4,-1.15,1377.23,2.12,13.38,1.97
94,01776,广发证券,17.14,-0.41,1341.18,0.85,7.66,0.86
95,00100,MINIMAX-W,376.8,5.43,1315.92,67.62,-9.03,-1.99
96,00012,恒基地产,27.06,-1.02,1310.08,1.37,23.17,0.41
97,06099,招商证券,14.88,-0.67,1294.04,0.49,8.7,0.92
98,09987,百胜中国,376.4,0.27,1290.01,2.99,17.01,3.09
99,00003,香港中华煤气,6.775,0.3,1264.21,1.52,22.23,2.13
100,00358,江西铜业股份,36.46,-4.0,1262.51,3.24,13.67,1.33
