排名,代码,名称,最新价,总市值,流通市值
1,601398,工商银行,7.68,2737200054444,2070621792300
2,601939,建设银行,10.24,2678787906140,98239053885
3,601288,农业银行,6.59,2306388193223,2103819349020
4,600941,中国移动,94.43,2047591443781,85248369681
5,601857,中国石油,10.88,1991268238660,1761712206660
6,601988,中国银行,5.97,1923608098530,1258270123631
7,300750,宁德时代,385.99,1785840965837,1643173221809
8,600519,贵州茅台,1292.01,1615117929308,1615117929308
9,600938,中国海油,32.99,1568013181932,98640100000
10,601138,工业富联,62.88,1247796522818,1247796522818
11,688981,中芯国际,145.09,1242087341815,290116530234
12,300308,中际旭创,1072.52,1196111457165,1190432610701
13,601628,中国人寿,41.73,1179486139650,868965906900
14,601318,中国平安,54.3,983244960329,578841534007
15,601088,中国神华,45.32,982965162657,747373840121
16,600036,招商银行,38.91,981304192335,802672227732
17,601899,紫金矿业,33.06,879089025403,681095281208
18,002594,比亚迪,92.65,844708354397,323034740775
19,688256,寒武纪,1249.0,784737918281,784737918281
20,688041,海光信息,312.0,725193484392,725193484392
21,600900,长江电力,28.94,708110220701,708110220701
22,300502,新易盛,497.3,693363848953,623735122473
23,000333,美的集团,84.77,646349158599,583285069206
24,600028,中国石化,5.19,627603418812,491765347196
25,601328,交通银行,6.95,614128300350,181203455005
26,601658,邮储银行,5.11,613685723344,370617061092
27,688347,华虹宏力,341.0,592564703082,139042750000
28,688825,长鑫科技,-,579188473427,38996317489
29,601728,中国电信,6.04,552703117742,468883561342
30,002371,北方华创,740.0,537010008000,536581287520
31,002475,立讯精密,61.19,472709746440,448221349102
32,603993,洛阳钼业,20.03,428528032825,349740668785
33,600030,中信证券,28.62,424164050246,348492888876
34,601998,中信银行,7.55,420120975093,307760644617
35,688235,百济神州,272.45,419959635975,31346805587
36,601166,兴业银行,18.26,386433814707,386433814707
37,603259,药明康德,127.45,380279849405,315219567353
38,002384,东山精密,206.65,378501696488,286483384058
39,600276,恒瑞医药,54.91,364448645081,350271014865
40,688012,中微公司,375.2,359382448970,353512328658
41,601211,国泰海通,19.05,335831037042,257116139177
42,601319,中国人保,7.59,335660088525,269427972465
43,002415,海康威视,35.77,327827455344,323589805943
44,688802,沐曦股份-U,813.78,325593378000,15078200039
45,300059,东方财富,20.28,320874213465,270804838337
46,603986,兆易创新,451.96,317160685567,302131614491
47,601601,中国太保,32.81,315643403139,224585810139
48,600183,生益科技,125.1,303868359117,301709782011
49,600000,浦发银行,9.05,301417836615,301417836615
50,601869,长飞光纤,356.12,294833567061,144705200382
51,000858,五 粮 液,74.84,290499543094,290492462182
52,688795,摩尔线程-U,610.36,286886422528,18448430076
53,688008,澜起科技,225.5,275231323736,258144399486
54,002379,宏桥控股,20.45,266486367231,23238843249
55,688820,盛合晶微,140.97,262595264454,24374085584
56,600150,中国船舶,33.76,254064974683,254064974683
57,601816,京沪高铁,5.04,246585424025,246585424025
58,601225,陕西煤业,25.25,244798750000,244798750000
59,300274,阳光电源,117.79,244203573633,186994943615
60,000338,潍柴动力,27.99,241839775182,138729427279
61,600309,万华化学,75.49,236319303047,236319303047
62,300476,胜宏科技,238.93,234816775370,206721028209
63,601919,中远海控,15.27,233144237676,191738319456
64,300394,天孚通信,212.09,231353093974,230836221525
65,002916,深南电路,337.47,229873290815,224353245092
66,002714,牧原股份,39.7,229187944178,130235820265
67,000651,格力电器,40.57,227249030912,224027924360
68,000725,京东方Ａ,6.06,224488628068,214324832749
69,002463,沪电股份,115.74,222725835772,222546085650
70,301666,大普微-UW,510.0,222470343600,13523334930
71,600188,兖矿能源,22.15,222316272243,132043947243
72,688072,拓荆科技,743.0,215974485112,210040907916
73,000001,平安银行,11.08,215017573634,215014055235
74,603288,海天味业,36.65,214469384198,203796009938
75,600919,江苏银行,11.54,211774284303,211774284303
76,002142,宁波银行,31.85,210324366725,210192232191
77,003816,中国广核,4.16,210075031733,163634351733
78,300408,三环集团,105.55,209818799374,197358046204
79,601066,中信建投,26.91,208732656987,174798507552
80,601336,新华保险,65.72,205016602552,137055073425
81,600690,海尔智家,21.86,204994984149,136691201064
82,002938,鹏鼎控股,87.61,203039386607,202451489077
83,688808,联讯仪器,1938.0,198968000646,37395927072
84,600406,国电南瑞,24.37,195733897522,195159253068
85,601668,中国建筑,4.7,194205835087,194205835087
86,300433,蓝思科技,36.58,193096341025,181791626329
87,600025,华能水电,10.17,189478228594,189478228594
88,601898,中煤能源,14.27,189201126718,130599045708
89,001399,惠科股份,25.79,188211157841,11104315992
90,601688,华泰证券,20.85,188210109938,152345906510
91,601985,中国核电,9.09,186963138853,171649059441
92,601818,光大银行,3.16,186710341353,146645537173
93,300604,长川科技,291.24,184768077141,142553660729
94,600031,三一重工,19.97,183624238607,169233569039
95,300760,迈瑞医疗,150.8,182836162215,182679011876
96,600930,华电新能,4.37,182291428570,46947764055
97,688498,源杰科技,1445.0,179903044765,177579148080
98,000776,广发证券,22.82,178562974561,134730405277
99,002352,顺丰控股,33.9,178493943844,162690007280
100,600989,宝丰能源,24.29,178127314400,178127314400
