排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,510300,沪深300ETF华泰柏瑞,39.25,23.57,32.84,31.54,23.2,49.14,4.68,-0.23,14.44,78.95,1.46,49.84,4.698,4.786,0,-0.38,0.78,0.5,28.35,,,沪深300
2,588000,科创50ETF华夏,43.97,4.03,39.0,37.8,3.16,56.79,1.76,-1.57,79.33,85.9,7.7,90.9,1.777,1.91,0,-0.96,0.8,0.51,49.03,,,科创板
3,159915,创业板ETF易方达,9.27,20.96,25.69,11.06,26.91,50.07,3.44,-1.55,40.12,38.56,5.64,65.6,3.541,3.772,0,-2.85,0.85,0.6,51.8,,,创业板
4,512880,证券ETF国泰,112.55,20.67,35.35,101.65,12.76,30.68,1.1,-0.18,15.36,10.73,1.3,20.28,1.089,1.097,0,1.38,0.98,0.91,19.19,,,证券
5,588200,科创芯片ETF嘉实,40.48,8.69,42.46,38.62,7.79,58.91,1.17,-2.74,122.39,81.37,,,1.18,1.288,0,-0.85,0.85,0.59,27.07,,,半导体
6,588170,科创半导体ETF华夏,33.14,17.09,50.68,34.82,16.84,62.23,1.0,-3.01,43.41,82.42,,,1.001,1.05,0,-0.1,0.85,0.62,52.04,,,半导体
7,159516,半导体设备ETF国泰,32.09,15.89,50.16,34.42,16.16,62.77,0.72,-3.1,115.59,96.47,,,0.726,0.761,0,-0.83,0.99,0.64,34.15,,,半导体
8,510500,中证500ETF南方,50.37,33.04,37.37,41.52,30.05,47.83,7.92,-0.66,28.17,73.07,2.48,79.6,7.889,8.121,0,0.39,0.71,0.52,21.25,,,中证500
9,515880,通信ETF国泰,37.76,31.35,35.04,30.1,26.62,47.85,0.67,-1.18,49.59,93.83,,,0.66,0.737,0,1.52,0.97,0.69,31.9,,,通信
10,563360,A500ETF华泰柏瑞,38.59,25.66,31.08,31.32,25.97,50.09,1.29,-0.31,16.41,79.11,,,1.297,1.328,0,-0.46,0.92,0.85,38.7,,,中证A500
11,512890,红利低波ETF华泰柏瑞,77.58,87.67,71.15,94.35,84.6,46.65,1.18,-0.25,7.91,71.9,0.87,61.24,1.172,1.149,1,0.68,0.58,0.54,5.12,,,红利
12,159995,芯片ETF华夏,34.45,5.06,33.99,33.04,4.99,53.97,1.15,-2.62,,,,,1.169,1.301,0,-1.63,0.85,0.59,6.39,,,半导体
