排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
91,601872,招商轮船,93.4,105.23,89.69,85.16,96.25,70.57,22.36,2.33,16.64,55.43,3.85,99.91,19.558,17.561,1.0,14.33,1.29,1.8,49.05,79.75,99.83,航运港口,三周期共振超买 / 高位+估值顶区
43,300394,天孚通信,90.96,101.45,51.5,84.65,86.15,43.35,284.66,2.52,133.71,96.93,49.69,98.39,260.216,245.787,1.0,9.39,1.15,1.0,130.43,94.63,97.19,通信设备,高位+估值顶区
55,300408,三环集团,101.44,86.49,55.59,95.03,59.8,54.03,130.96,2.3,78.92,97.83,11.55,99.1,116.683,120.888,0.0,12.24,0.78,0.81,57.59,96.2,98.43,元件,高位+估值顶区
36,601869,长飞光纤,81.19,106.95,59.67,94.44,96.45,53.43,454.99,-2.58,109.42,88.91,23.02,98.03,424.168,391.123,1.0,7.27,0.98,1.0,64.43,81.82,96.78,通信设备,高位+估值顶区
77,688072,拓荆科技,115.88,37.04,56.92,110.87,1.29,58.02,720.06,3.76,96.72,49.07,16.55,93.85,656.132,699.121,0.0,9.74,1.18,1.26,46.26,49.07,93.85,半导体,高位+估值顶区
106,600487,亨通光电,93.34,91.09,30.98,79.65,58.24,34.09,69.49,1.46,40.94,94.75,5.08,95.89,65.543,66.006,0.0,6.02,1.43,1.13,,90.83,95.37,,高位+估值顶区
30,002371,北方华创,108.0,18.12,42.33,94.64,-4.7,50.82,686.51,3.16,87.65,43.71,12.29,79.91,667.981,727.657,0.0,2.77,1.4,1.38,66.31,74.46,90.0,半导体,高位+估值顶区
71,688801,燧原科技-U,104.71,,,115.39,,,517.13,3.43,-187.69,16.67,84.18,100.0,,,,,0.68,,23.4,16.67,100.0,半导体,高位+估值顶区
66,688498,源杰科技,83.2,93.83,79.5,89.5,71.25,62.9,1835.0,2.82,303.91,54.02,72.72,98.79,1628.838,1549.586,1.0,12.66,1.23,0.96,63.99,54.02,98.79,半导体,高位+估值顶区
90,300604,长川科技,95.37,36.41,56.98,72.85,12.62,63.09,279.73,4.71,96.67,42.58,32.08,98.3,269.853,286.784,0.0,3.66,1.47,1.36,64.83,57.6,97.02,半导体,高位+估值顶区
100,301377,鼎泰高科,85.72,44.8,41.76,79.25,27.84,47.48,408.89,2.43,181.94,86.56,55.52,94.84,396.969,426.083,0.0,3.0,0.94,0.72,9.5,86.56,94.84,通用设备,高位+估值顶区
32,688347,华虹宏力,85.76,-3.15,36.75,47.31,-10.65,48.63,234.0,5.93,643.62,70.98,9.54,94.99,232.183,275.898,0.0,0.78,1.72,1.38,56.43,70.98,94.99,半导体,高位+估值顶区
20,688256,寒武纪,84.52,28.32,41.29,83.17,10.05,48.54,1113.14,0.65,210.08,79.12,51.64,89.53,1067.822,1182.014,0.0,4.24,1.15,1.06,135.15,74.13,87.02,半导体,高位+估值顶区
26,300502,新易盛,87.57,38.0,40.08,72.46,20.51,40.73,445.0,4.87,47.31,45.37,25.54,94.28,407.807,453.944,0.0,9.12,1.22,1.05,185.11,57.11,90.0,通信设备,高位+估值顶区
