排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,688825,长鑫科技,17.87,76.2,,-3.48,79.76,,55.54,3.87,46.08,17.5,27.99,55.0,56.329,,,-1.4,1.31,0.87,144.64,17.5,55.0,半导体
2,601398,工商银行,58.33,84.35,98.22,70.21,90.28,92.17,8.07,-0.86,7.69,95.23,0.73,68.43,8.043,7.715,1.0,0.34,0.95,0.8,19.97,95.87,92.73,银行Ⅱ
3,601939,建设银行,39.57,80.76,98.73,50.87,93.76,104.26,10.81,-0.92,8.16,96.98,0.79,73.11,10.859,10.368,1.0,-0.45,0.97,0.83,10.27,98.6,98.84,银行Ⅱ
4,601288,农业银行,31.26,77.31,53.76,48.38,95.38,38.97,6.81,-1.16,8.0,90.88,0.83,82.28,6.89,6.609,1.0,-1.16,1.05,0.82,19.56,84.21,84.71,银行Ⅱ
5,601988,中国银行,56.92,90.07,102.86,63.16,95.24,103.35,6.54,-0.61,8.46,99.62,0.77,93.9,6.451,6.058,1.0,1.38,0.99,0.88,14.43,99.34,99.26,银行Ⅱ
6,600941,中国移动,-0.39,63.53,79.87,1.07,88.69,65.84,96.63,-0.28,15.9,51.4,1.47,32.92,98.306,95.268,1.0,-1.7,1.09,0.87,7.21,51.4,32.92,通信服务
7,601857,中国石油,5.2,53.98,39.58,9.05,94.58,41.68,10.56,-0.56,10.98,43.67,1.18,82.33,10.902,10.34,1.0,-3.14,0.91,0.97,12.54,71.74,82.56,炼化及贸易
8,600519,贵州茅台,-0.86,15.24,32.21,3.57,63.08,39.7,1257.12,-0.78,19.3,1.98,6.25,2.22,1291.795,1282.687,1.0,-2.68,1.14,0.83,31.36,3.47,3.88,白酒Ⅱ
9,600938,中国海油,2.23,64.63,26.06,9.93,94.45,28.65,32.3,-0.83,11.1,80.34,1.79,71.11,33.687,31.664,1.0,-4.12,0.63,0.75,11.11,80.34,71.11,油气开采Ⅱ
10,300750,宁德时代,4.73,-6.98,-4.77,8.58,4.11,24.09,301.95,-0.77,16.44,3.38,3.68,2.59,345.493,370.654,0.0,-12.6,0.88,1.4,115.38,5.62,4.13,电池
