排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,688825,长鑫科技,55.54,3770282862737,250098784449,半导体,14463718659.0,81.06,873.6417332025,776.05,3427.75691436574,84.7418874692
2,601398,工商银行,8.07,2876198494708,2175770555190,银行Ⅱ,1996827590.0,4.315,9.0769670235,1736.82,3.318798593719,0.0
3,601939,建设银行,10.81,2827900123572,103707438721,银行Ⅱ,1026529737.0,4.76,10.7174470481,1695.64,4.620054789111,0.0
4,601288,农业银行,6.81,2383384460675,2174053075391,银行Ⅱ,1956083841.0,5.07,11.0651273055,1463.81,4.925094975271,0.0
5,601988,中国银行,6.54,2107269173264,1378406467093,银行Ⅱ,1443274318.0,4.33,8.4801658344,1235.94,5.104982524173,0.0
6,600941,中国移动,96.63,2095995305506,87234458988,通信服务,720625707.0,5.6,-1.054491889,789.34,-6.293108565323,29.5120205935
7,601857,中国石油,10.56,1932701525758,1709897141758,炼化及贸易,1253586972.0,6.3,5.3426812439,1039.34,22.029798875204,21.8708980937
8,600519,贵州茅台,1257.12,1571502582249,1571502582249,白酒Ⅱ,3135849108.0,16.75,1.3000994756,445.17,-1.951594855028,89.5552128279
9,600938,中国海油,32.3,1535217513683,96577000000,油气开采Ⅱ,1110508211.0,10.21,16.8837424377,858.18,23.420534134871,53.4636940575
10,300750,宁德时代,301.95,1397193466937,1286488752462,电池,11537664647.91,12.08,54.8003691485,432.84,41.983941749454,23.9283938867
11,601138,工业富联,62.71,1244423027130,1244423027130,消费电子,6990336132.0,13.36,54.634987688,237.4,95.985786599041,7.1506831245
12,300308,中际旭创,926.43,1091250828712,1028278937689,通信设备,27079558744.68,37.62,182.4913813287,136.51,241.696005716117,46.2521843492
13,601628,中国人寿,37.8,1068405849000,787129434000,保险Ⅱ,942562675.0,21.07,81.5399084582,1344.89,228.574918765728,0.0
14,688981,中芯国际,122.0,1044596279370,244072456898,半导体,4711862657.0,2.9,19.435688378,44.67,94.163023835373,23.1558234006
15,600036,招商银行,40.59,1023673532945,837328854373,银行Ⅱ,1972732196.0,6.71,4.8314692679,764.45,2.021887094622,0.0
16,601088,中国神华,46.23,1002702547874,762380684660,煤炭开采,758405684.0,5.83,7.9322551775,287.15,4.103977087336,35.4841606017
17,601318,中国平安,53.37,966404853273,568927673480,保险Ⅱ,3266258427.0,9.0,15.010118462,925.85,36.060370038356,0.0
18,601899,紫金矿业,31.41,835214346277,647102322527,工业金属,5565369845.0,19.6,15.7816890732,391.7,68.170288138556,37.7472369593
19,002594,比亚迪,84.3,768579754730,293959893265,乘用车,2515193161.56,4.86,-7.1281672659,123.25,-20.535238859941,18.8473478975
20,688256,寒武纪,1113.14,700002550465,700002550465,半导体,13514873571.0,18.05,108.1331369113,23.11,122.613513635372,55.2505731603
21,600900,长江电力,28.27,691716514831,691716514831,电力,2034531513.0,6.55,3.3562259885,147.56,13.015444431533,57.8922527476
22,601328,交通银行,7.46,659193830304,194500399185,银行Ⅱ,1635514714.0,4.045,6.7295003299,478.74,4.037726008345,0.0
23,000333,美的集团,84.4,643916818436,581127988133,白色家电,2201833151.31,11.33,3.4561222865,264.46,1.661997971068,25.2557645483
24,601658,邮储银行,5.33,640106635112,386573177225,银行Ⅱ,779259999.0,4.8,7.2645809882,515.03,4.621353701146,0.0
25,600028,中国石化,5.16,622886712528,488384806557,炼化及贸易,936663059.0,3.06,1.9523055217,256.27,19.289670902574,19.2430394532
26,300502,新易盛,445.0,620658087820,558352067860,通信设备,18511043622.23,34.86,100.3392340098,75.29,90.984424978074,48.4397325072
27,601728,中国电信,6.19,566429188547,480528020647,通信服务,446270100.0,4.2,-3.8643498262,195.88,-14.898970046109,29.7628442917
28,688041,海光信息,241.38,561048728406,561048728406,半导体,6488472536.0,7.56,66.5195709856,17.98,49.691219941746,55.2090490096
29,601998,中信银行,8.96,498580653885,365236473612,银行Ⅱ,440570682.0,4.805,3.0507963718,376.02,3.081309282307,0.0
30,002371,北方华创,686.51,498192892692,497778572236,半导体,6630755824.9,8.58,24.9038763685,33.7,5.051223129423,40.0682862059
31,603259,药明康德,160.0,485391530400,395724839360,医疗服务,6031776636.0,13.19,38.9349828598,110.8,29.427935686791,53.9094753581
32,688347,华虹宏力,234.0,451267781796,95413500000,半导体,5642727170.0,0.86,19.4147741706,3.99,436.692371841556,19.4457765387
33,002475,立讯精密,54.1,418749136747,396419659081,消费电子,6713114043.99,8.76,40.1605518581,78.43,18.036983291456,11.7785360877
34,600030,中信证券,26.54,414668184506,323165662850,证券Ⅱ,2245282483.0,7.81,50.0035284024,233.43,69.601525447949,0.0
