排名,代码,名称,最新价,总市值,流通市值
1,688825,长鑫科技,58.0,3879091392466,261176260318
2,601398,工商银行,7.77,2769276617582,2094886891428
3,601939,建设银行,10.53,2754652016763,101021214591
4,601288,农业银行,6.78,2372884969659,2164475749068
5,600941,中国移动,96.25,2087394364151,86891407199
6,601857,中国石油,11.2,2049834951562,1813527271562
7,601988,中国银行,6.05,1949385091475,1275131364818
8,300750,宁德时代,391.15,1809716071567,1666330690582
9,600938,中国海油,33.86,1609364241898,101241400000
10,600519,贵州茅台,1272.83,1591141364201,1591141364201
11,601138,工业富联,62.84,1247002759127,1247002759127
12,300308,中际旭创,943.0,1103059766463,1046673210654
13,688981,中芯国际,124.8,1068420227222,249545406115
14,601628,中国人寿,37.03,1046642026150,771095315900
15,601088,中国神华,46.41,1006606646049,765349071492
16,600036,招商银行,38.9,981051993879,802465938288
17,601318,中国平安,53.35,966042700433,568714472178
18,601899,XD紫金矿,34.74,923761425968,715706293684
19,002594,比亚迪,90.47,824832863706,315433923345
20,600900,长江电力,27.96,684131367339,684131367339
21,688256,寒武纪,1035.0,650863898280,650863898280
22,000333,美的集团,84.3,643107679156,580393243202
23,601328,交通银行,7.12,629150143668,185635769731
24,600028,中国石化,5.1,616720122532,483237624413
25,300502,新易盛,442.0,616261454328,554375475836
26,601658,邮储银行,4.98,598073366390,361188447013
27,601728,中国电信,6.43,588390901835,499159155535
28,688041,海光信息,246.21,572275281385,572275281385
29,002371,北方华创,714.43,518454135156,518040228707
30,603259,药明康德,162.86,485934690263,402798420864
31,601998,中信银行,8.39,466862911395,342001564018
32,688235,百济神州,289.25,446105988604,33279733955
33,600030,中信证券,27.12,423730262389,330228062415
34,002475,立讯精密,54.65,422871852398,400315365254
35,688347,华虹宏力,233.22,405272551474,95095455000
36,603993,洛阳钼业,18.62,398362055477,325120881317
37,601166,兴业银行,18.1,383047757185,383047757185
38,002384,东山精密,201.08,368299642535,278761572061
39,688012,中微公司,362.5,347217851150,341546426275
40,600183,生益科技,132.8,322571687376,320280248210
41,600276,恒瑞医药,47.74,316859921985,304533568561
42,002415,海康威视,34.4,315271581320,311185623624
43,601319,中国人保,6.95,307356734552,246709408252
44,601211,国泰海通,17.38,305558787136,233745775537
45,600000,浦发银行,9.05,301417836615,301417836615
46,601869,XD长飞光,363.6,301026297269,147744610970
47,300059,东方财富,18.91,299197799636,253249635538
48,300394,天孚通信,273.08,297882516396,297217008421
49,601601,中国太保,30.42,292650787061,208226161061
50,603986,兆易创新,409.06,287055823608,273453310522
51,688802,沐曦股份-U,700.0,280070000000,12970016500
52,000858,五 粮 液,71.19,276331673876,276324938305
53,688836,C宇树-W,672.41,271965866859,20231283805
54,601919,中远海控,17.01,259710771635,213586693775
55,688795,摩尔线程-U,542.89,255173618727,16409116266
56,600150,中国船舶,33.68,253462924980,253462924980
57,000338,潍柴动力,29.16,251948833308,144528406554
58,601225,陕西煤业,25.73,249452350000,249452350000
59,300476,胜宏科技,253.74,249371818451,219534565344
60,688008,澜起科技,200.55,244778900112,229582524687
61,002916,深南电路,358.25,244027932659,238167985463
62,688808,联讯仪器,2322.22,238414587441,44809891520
63,601816,京沪高铁,4.87,238268058532,238268058532
64,002379,宏桥控股,18.23,237557284822,20716093517
65,688820,盛合晶微,127.5,237503697368,22045086983
66,300274,阳光电源,113.08,234438747826,179517516296
67,002463,沪电股份,121.21,233252104320,233063859008
68,600309,万华化学,73.98,231592290891,231592290891
69,000651,格力电器,41.24,231001972759,227727670708
70,300408,三环集团,113.9,227426245237,212970928116
71,002714,牧原股份,39.07,225550959346,128169108432
72,002142,宁波银行,34.06,224918302376,224775027657
73,000725,京东方Ａ,6.0,222265968384,212202804702
74,000001,平安银行,11.41,221421526639,221418865747
75,600919,江苏银行,11.94,219114814088,219114814088
76,600188,兖矿能源,21.41,214889001748,127632546748
77,002938,鹏鼎控股,89.2,206724269894,206125702838
78,603288,海天味业,35.05,205079128792,194871713572
79,688498,源杰科技,1587.0,197582098299,195029832528
80,300433,蓝思科技,37.19,196316372955,184823143335
81,688072,拓荆科技,673.5,195772295724,190393743582
82,600690,XD海尔智,20.86,195617354499,130438172653
83,003816,中国广核,3.84,193915460609,151047140609
84,601066,中信建投,24.78,192210897070,160962728247
85,601898,中煤能源,14.3,189598886620,130873605720
86,300760,迈瑞医疗,154.45,187162422118,186986768295
87,603268,松发股份,182.81,186231643984,42640394476
88,600406,国电南瑞,23.17,186095790135,185549441674
89,301666,大普微-UW,422.66,184371206718,11207397532
90,601336,新华保险,58.79,183398144614,122602978799
91,601668,中国建筑,4.39,181396514049,181396514049
92,300604,长川科技,279.42,180388576647,136768108368
93,601985,中国核电,8.71,179147298065,164473411192
94,600025,华能水电,9.58,178485882982,178485882982
95,601818,光大银行,3.02,178438364204,140148582994
96,301377,鼎泰高科,416.5,176614715011,41175579011
97,600989,宝丰能源,24.06,176440641600,176440641600
98,601766,中国中车,6.04,173341139092,146939900210
99,600031,三一重工,18.8,172866083416,159318532696
100,002352,顺丰控股,32.5,171122512535,155971245918
