排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.691,0.84,1118.95,1118.95,30.01,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(527.14亿)；沪深300ETF华夏(412.59亿)；沪深300ETF嘉实(308.89亿)；沪深300ETF天弘(83.34亿)
2,588000,科创50ETF华夏,1.788,3.89,911.93,911.93,61.88,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(432.54亿)；科创50ETF工银(111.68亿)；科创50ETF广发(79.61亿)
3,159915,创业板ETF易方达,3.494,1.81,654.16,654.16,51.92,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(117.17亿)；创业板ETF天弘(66.17亿)
4,512880,证券ETF国泰,1.106,0.91,638.1,638.1,26.9,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(388.68亿)；证券ETF天弘(121.98亿)；券商ETF银华(96.4亿)；证券ETF南方(81.85亿)
5,588200,科创芯片ETF嘉实,1.203,4.79,511.39,511.39,38.06,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(77.94亿)
6,588170,科创半导体ETF华夏,1.031,3.72,456.38,456.38,64.29,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(120.89亿)
7,159516,半导体设备ETF国泰,0.743,3.63,446.73,446.73,34.18,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(221.56亿)；半导体设备ETF广发(142.06亿)；半导体设备ETF华夏(95.69亿)
8,515880,通信ETF国泰,0.678,4.63,426.18,426.18,36.28,中证全指通信设备指数,指数型-股票,通信,
9,563360,A500ETF华泰柏瑞,1.295,1.09,413.7,413.7,37.7,中证A500指数,指数型-股票,中证A500,A500ETF南方(345.33亿)；A500ETF易方达(286.9亿)；中证A500ETF国泰(264.02亿)；A500ETF华夏(201.43亿)
10,510500,中证500ETF南方,7.973,2.36,412.47,412.47,33.04,中证500指数,指数型-股票,中证500,中证500ETF嘉实(90.44亿)；中证500ETF华夏(83.83亿)
11,512890,红利低波ETF华泰柏瑞,1.183,-0.67,330.54,330.54,10.95,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(127.28亿)
12,159995,芯片ETF华夏,1.181,4.42,287.35,287.35,7.97,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(68.66亿)
13,512400,有色金属ETF南方,1.967,1.18,266.77,266.77,11.58,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.635,1.43,249.84,249.84,14.26,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.346,0.29,247.42,247.42,3.51,中证医疗指数,指数型-股票,医药,
