排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
103,002352,顺丰控股,-4.06,-9.21,14.99,-2.7,5.08,26.07,30.98,-0.45,14.99,0.8,1.59,0.05,32.311,32.819,0.0,-4.12,0.94,0.73,,1.4,0.08,,三周期共振超卖 / 估值+超卖双低
88,601336,新华保险,-10.4,9.98,7.23,-10.73,23.42,7.61,58.41,0.19,4.12,0.09,1.47,40.96,59.803,60.426,0.0,-2.33,0.49,0.47,5.23,0.17,62.23,保险Ⅱ,三周期共振超卖 / 估值+超卖双低
32,600030,中信证券,-7.16,-5.54,65.03,1.61,6.54,80.67,26.61,-1.15,10.48,0.05,1.41,39.3,27.468,27.99,0.0,-3.12,0.77,0.73,20.8,0.08,56.45,证券Ⅱ,估值+超卖双低
48,300059,东方财富,-3.19,-9.1,14.61,-2.08,-5.15,25.81,18.22,-0.49,19.77,0.28,2.93,7.2,19.001,19.763,0.0,-4.11,0.6,0.45,17.23,0.5,12.56,证券Ⅱ,三周期共振超卖 / 估值+超卖双低
51,000858,五 粮 液,-0.76,-2.63,5.28,2.67,10.85,9.21,69.85,0.14,20.72,22.21,2.29,0.33,71.309,72.68,0.0,-2.05,0.54,0.42,8.19,30.91,0.58,白酒Ⅱ,三周期共振超卖 / 估值+超卖双低
86,601066,中信建投,-6.71,-6.04,37.05,-3.48,-2.86,54.75,23.6,-0.67,14.56,0.45,2.09,12.24,24.866,26.237,0.0,-5.09,0.71,0.56,2.7,0.08,8.26,证券Ⅱ,估值+超卖双低
108,000776,广发证券,-11.04,14.35,46.14,4.85,30.7,55.94,20.49,-1.96,8.49,0.05,1.16,47.3,21.264,21.559,0.0,-3.64,1.0,0.82,,0.08,61.4,,估值+超卖双低
101,688795,摩尔线程-U,-4.89,-6.78,1.02,-2.2,-5.53,15.39,346.02,-3.31,-219.37,75.66,13.36,0.53,489.905,583.609,0.0,-29.37,0.41,1.59,,75.66,0.53,,三周期共振超卖
16,601318,中国平安,-5.08,72.24,25.9,-1.28,89.07,18.17,54.73,-0.18,6.22,0.09,0.96,22.16,54.466,51.927,1.0,0.48,0.72,0.67,26.61,0.17,38.68,保险Ⅱ,估值+超卖双低
110,601600,中国铝业,4.15,64.46,6.12,34.18,84.29,6.5,9.29,-1.59,9.12,3.36,1.89,70.27,9.596,9.138,1.0,-3.19,0.85,0.82,,5.87,55.45,,估值+超卖双低 / 多头回踩MA20
92,600406,国电南瑞,9.32,2.65,1.19,17.73,26.02,9.92,22.21,-0.36,21.24,8.95,3.43,24.01,22.876,23.138,0.0,-2.91,0.83,0.54,5.11,0.33,0.83,电网设备,三周期共振超卖 / 估值+超卖双低
45,601211,国泰海通,14.0,-5.82,42.42,13.74,-6.0,45.84,17.37,0.29,9.45,3.12,0.92,23.53,17.654,18.191,0.0,-1.61,0.83,0.66,8.55,5.45,41.07,证券Ⅱ,估值+超卖双低
28,688041,海光信息,-1.12,-6.74,5.92,1.02,-5.22,31.98,223.69,-3.12,165.48,54.84,20.49,71.77,243.071,292.024,0.0,-7.97,0.82,0.74,33.1,54.84,71.77,半导体,三周期共振超卖
99,601688,华泰证券,-1.86,24.15,13.9,13.42,28.81,16.65,18.8,-0.69,8.27,0.05,0.95,29.97,19.086,19.586,0.0,-1.5,0.83,0.61,6.39,0.08,52.31,证券Ⅱ,估值+超卖双低
104,301666,大普微-UW,2.26,0.64,10.02,-3.41,4.09,23.24,365.35,-2.08,132.03,9.62,43.71,0.96,419.154,486.756,0.0,-12.84,0.65,0.54,,9.62,0.96,,三周期共振超卖 / 估值+超卖双低
77,600690,海尔智家,1.32,46.29,33.95,0.75,64.09,27.77,21.12,0.52,11.02,6.58,1.64,3.6,21.228,20.683,1.0,-0.51,0.87,0.65,4.86,8.76,6.28,白色家电,估值+超卖双低 / 多头回踩MA20
79,300760,迈瑞医疗,-11.79,74.68,46.01,3.57,95.67,41.59,160.1,-1.62,24.67,11.23,4.78,3.95,161.737,151.013,1.0,-1.01,0.81,0.7,10.54,17.85,6.28,医疗器械,估值+超卖双低 / 多头回踩MA20
55,603986,兆易创新,2.35,5.33,10.71,19.21,3.09,27.43,356.88,-3.89,31.68,9.42,6.74,39.68,391.788,482.63,0.0,-8.91,0.9,0.6,94.98,16.45,69.26,半导体,三周期共振超卖 / 估值+超卖双低
42,601601,中国太保,11.61,75.16,19.62,37.33,88.08,10.43,32.96,-0.03,5.62,1.94,0.99,15.44,32.247,30.891,1.0,2.21,0.56,0.46,6.75,3.39,26.94,保险Ⅱ,估值+超卖双低
80,601898,中煤能源,2.21,65.93,28.15,15.53,83.73,33.64,14.42,-2.1,10.43,50.33,1.15,89.39,14.806,13.741,1.0,-2.61,0.95,0.89,6.11,84.13,81.65,煤炭开采,多头回踩MA20
66,002379,宏桥控股,6.2,16.93,4.55,33.92,54.48,5.45,17.58,-3.19,9.29,61.03,3.96,77.98,18.54,18.004,1.0,-5.18,0.69,0.5,5.15,84.38,63.39,工业金属,三周期共振超卖
83,688802,沐曦股份-U,-0.98,-8.82,16.92,3.05,-7.61,54.37,461.1,-5.71,20736.86,94.48,13.3,0.55,633.717,735.942,0.0,-27.24,0.68,1.13,6.53,94.48,0.55,半导体,三周期共振超卖
64,600309,万华化学,9.79,65.27,18.84,32.94,86.15,24.69,73.51,-1.33,13.97,29.92,2.03,8.1,74.933,72.721,1.0,-1.9,0.84,0.72,17.65,25.04,14.13,化学制品,估值+超卖双低 / 多头回踩MA20
37,603993,洛阳钼业,31.43,17.82,4.15,52.82,39.22,11.57,17.89,-1.43,13.76,11.36,4.27,86.55,18.666,18.606,1.0,-4.16,0.57,0.47,19.48,19.83,82.64,工业金属,多头回踩MA20
60,601816,京沪高铁,33.29,33.17,78.37,21.61,52.69,77.06,4.84,0.62,17.38,1.61,1.13,2.17,4.877,4.805,1.0,-0.76,0.9,0.84,5.3,2.15,2.89,铁路公路,多头回踩MA20
94,601766,中国中车,26.21,85.84,62.81,13.99,97.17,49.16,6.13,0.0,12.63,5.35,1.0,13.35,6.162,5.796,1.0,-0.52,1.01,0.81,6.77,9.34,23.31,轨交设备Ⅱ,多头回踩MA20
57,002714,牧原股份,9.23,80.16,55.44,6.08,87.52,42.53,42.59,0.97,-219.37,13.16,3.11,12.36,41.453,39.245,1.0,2.74,0.98,0.76,15.23,15.37,21.57,养殖业,估值+超卖双低
9,600519,贵州茅台,3.17,24.61,36.38,-1.76,63.08,39.7,1277.96,0.22,19.62,3.5,6.36,2.6,1297.563,1277.219,1.0,-1.51,0.64,0.51,21.17,6.12,4.55,白酒Ⅱ,估值+超卖双低 / 多头回踩MA20
6,600941,中国移动,9.68,76.77,87.41,-5.36,88.69,65.84,98.16,0.45,16.16,60.46,1.5,37.35,98.186,94.693,1.0,-0.03,1.12,0.93,8.73,60.46,37.35,通信服务,多头回踩MA20
33,002475,立讯精密,2.76,13.72,17.65,24.14,25.45,33.7,52.78,-4.71,22.95,18.18,4.39,21.02,55.513,59.254,0.0,-4.92,1.46,1.06,64.2,31.74,32.07,消费电子,三周期共振超卖 / 估值+超卖双低
