排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,00700,腾讯控股,14.95,31.42,8.05,-3.01,52.91,7.85,442.8,2.26,15.1,,3.08,,448.9,452.863,0.0,-1.36,1.12,1.0,106.65,,,
2,00005,汇丰控股,93.05,73.8,93.85,75.7,60.73,91.26,166.7,1.96,15.18,,2.11,,162.17,157.103,1.0,2.79,3.17,2.63,51.48,,,
3,01398,工商银行,75.31,101.16,97.8,63.35,91.92,89.58,7.7,1.99,6.47,,0.6,,7.417,7.115,1.0,3.75,1.34,1.59,21.26,,,
4,03750,宁德时代,6.64,15.15,29.85,-2.27,33.55,43.13,574.5,1.23,27.59,,6.09,,622.925,643.067,0.0,-7.77,0.79,0.95,11.29,,,
5,00939,建设银行,89.42,105.73,102.95,81.9,97.52,96.68,9.76,2.04,6.5,,0.62,,9.165,8.753,1.0,6.49,1.08,1.33,31.31,,,
6,01288,农业银行,75.87,98.97,99.18,71.74,87.07,85.23,6.54,2.27,6.78,,0.7,,6.181,5.898,1.0,5.81,0.84,0.98,5.43,,,
7,09988,阿里巴巴-W,19.75,59.51,20.14,1.46,79.38,18.19,110.1,2.42,25.77,,1.74,,118.23,111.956,1.0,-6.88,1.29,1.04,114.56,,,
8,03988,中国银行,89.63,105.99,101.31,89.64,100.75,98.64,6.07,1.93,6.92,,0.62,,5.541,5.323,1.0,9.46,1.01,1.75,19.24,,,
9,00857,中国石油股份,41.95,104.97,40.26,31.96,106.19,37.29,10.16,1.4,9.28,,0.99,,9.905,9.616,1.0,2.57,1.17,1.04,8.34,,,
10,00941,中国移动,31.36,46.25,29.97,6.17,60.99,32.83,79.65,0.5,11.5,,1.03,,80.955,80.462,1.0,-1.61,1.76,1.37,15.12,,,
11,03968,招商银行,102.29,99.31,98.81,97.18,78.74,69.84,53.35,2.79,7.82,,1.02,,49.546,48.138,1.0,7.68,1.37,1.94,11.93,,,
12,00883,中国海洋石油,35.14,112.17,34.2,25.71,117.98,29.7,25.06,1.29,7.55,,1.21,,24.655,23.35,1.0,1.64,1.3,0.94,14.5,,,
13,03308,中际旭创,13.36,30.59,,7.39,47.79,,1006.0,1.11,50.88,,24.45,,1074.5,,,-6.38,0.74,,13.21,,,
14,02318,中国平安,65.47,84.59,15.43,57.04,84.78,11.51,57.15,0.35,5.71,,0.87,,55.96,55.411,1.0,2.13,0.86,1.25,25.05,,,
15,01088,中国神华,20.85,106.18,57.88,8.35,113.14,52.74,45.74,2.14,15.91,,1.88,,44.675,43.138,1.0,2.38,1.14,1.28,5.03,,,
16,02899,紫金矿业,26.95,90.88,37.49,16.47,107.87,26.33,36.6,0.72,12.66,,4.19,,36.552,33.037,1.0,0.13,1.33,1.1,23.01,,,
17,02628,中国人寿,81.23,90.53,48.06,81.65,67.43,39.01,30.9,3.28,3.11,,1.14,,28.465,28.517,0.0,8.55,1.32,1.44,23.57,,,
18,01299,友邦保险,81.47,73.16,20.89,90.96,54.28,17.12,77.5,0.26,12.87,,2.51,,74.305,74.814,0.0,4.3,1.02,0.99,23.13,,,
19,01211,比亚迪股份,1.69,53.45,44.14,-1.89,94.59,45.7,86.15,0.53,23.59,,2.84,,89.87,86.89,1.0,-4.14,0.81,1.16,18.08,,,
20,00300,美的集团,77.43,100.3,104.45,77.61,98.85,95.76,100.8,0.3,15.2,,3.13,,98.123,93.108,1.0,2.73,0.69,0.99,4.48,,,
21,01810,小米集团-W,45.97,67.41,37.67,15.11,68.58,25.67,28.44,3.64,19.59,,2.36,,27.344,26.34,1.0,4.01,1.8,1.02,50.74,,,
22,03328,交通银行,83.94,103.72,105.47,81.79,95.0,97.4,7.99,1.59,6.38,,0.52,,7.534,7.288,1.0,5.99,0.83,1.31,2.9,,,
23,01658,邮储银行,87.21,94.14,94.6,86.2,75.04,65.17,5.48,1.86,6.45,,0.55,,5.025,4.927,1.0,9.05,0.46,1.05,2.8,,,
24,09999,网易,13.11,12.2,35.33,-3.45,24.04,42.99,189.1,3.33,16.41,,3.15,,193.945,198.097,0.0,-2.5,2.26,1.98,24.36,,,
25,00386,中国石油化工股份,74.39,110.45,39.5,77.3,106.55,26.79,4.79,1.38,14.3,,0.6,,4.521,4.315,1.0,5.95,0.97,1.02,5.47,,,
26,00981,中芯国际,21.79,23.65,38.88,31.31,28.61,46.41,67.2,-1.25,70.84,,2.92,,69.735,72.777,0.0,-3.64,2.36,0.99,57.09,,,
27,02359,药明康德,19.08,72.64,83.5,20.02,86.49,85.49,191.1,-0.57,22.94,,5.9,,198.81,167.71,1.0,-3.88,0.96,0.78,10.37,,,
28,02388,中银香港,98.0,100.08,99.93,91.6,91.43,94.79,52.85,1.44,13.4,,1.55,,50.874,48.684,1.0,3.88,1.31,1.75,10.93,,,
29,00388,香港交易所,12.46,88.24,64.28,0.56,112.79,62.58,408.8,1.34,26.17,,8.54,,412.9,396.74,1.0,-0.99,0.91,1.02,14.71,,,
30,02888,渣打集团,76.64,79.77,97.28,55.57,71.79,93.85,237.4,1.71,12.27,,1.43,,233.57,224.818,1.0,1.64,2.95,1.62,3.82,,,
31,03690,美团-W,79.41,40.93,50.9,37.82,50.72,48.97,81.75,5.28,-11.83,,2.59,,83.74,81.691,1.0,-2.38,1.07,1.24,45.4,,,
