排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,510300,沪深300ETF华泰柏瑞,19.52,11.5,11.99,2.14,10.93,33.4,4.55,0.6,13.4,59.78,1.41,37.76,4.627,4.726,0,-1.66,1.47,1.24,43.85,,,沪深300
2,588000,科创50ETF华夏,70.84,10.47,28.32,19.38,-4.94,40.23,1.71,4.4,75.89,79.59,7.68,90.55,1.702,1.87,0,0.47,1.48,1.34,80.4,,,科创板
3,159915,创业板ETF易方达,28.91,19.34,5.12,6.21,14.53,26.58,3.33,1.9,37.8,30.92,5.28,59.36,3.396,3.619,0,-1.94,1.39,1.14,62.65,,,创业板
4,512880,证券ETF国泰,0.55,6.45,24.62,-14.32,7.05,35.61,1.05,0.67,12.4,3.39,1.22,9.6,1.082,1.102,0,-2.59,0.98,0.81,14.31,,,证券
5,588200,科创芯片ETF嘉实,75.17,18.69,33.61,23.3,0.75,44.39,1.15,5.31,105.1,76.18,,,1.137,1.259,0,1.14,1.8,1.15,35.23,,,半导体
6,515880,通信ETF国泰,79.15,77.3,28.4,37.81,49.05,35.35,0.69,5.67,44.64,87.34,,,0.663,0.695,0,4.07,1.23,1.0,34.66,,,通信
7,510500,中证500ETF南方,48.48,42.84,18.06,25.64,28.63,38.95,7.71,1.61,25.94,63.55,2.38,77.2,7.776,7.984,0,-0.85,1.24,1.23,35.35,,,中证500
8,159516,半导体设备ETF国泰,97.09,34.57,41.56,51.91,5.39,50.49,0.71,6.13,101.73,92.6,,,0.694,0.756,0,2.31,1.74,1.14,39.59,,,半导体
9,588170,科创半导体ETF华夏,90.88,35.24,42.4,50.9,4.53,51.21,0.98,6.29,43.41,82.26,,,0.958,1.046,0,2.3,1.84,1.17,67.13,,,半导体
10,563360,A500ETF华泰柏瑞,24.41,13.87,8.21,4.33,12.97,31.08,1.25,1.05,15.04,48.4,,,1.273,1.307,0,-1.65,0.91,0.9,37.21,,,中证A500
