排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,00700,腾讯控股,441.4,-2.56,40181.31,89.9,15.06,3.07,9.9663537853,0.0,0.0,0.0,0.0
2,00005,汇丰控股,160.6,-0.25,27574.54,18.29,14.62,2.03,7.4073136207,0.0,0.0,0.0,0.0
3,01398,工商银行,7.685,1.52,27389.82,13.9,6.46,0.6,4.052663012,0.0,0.0,0.0,0.0
4,03750,宁德时代,592.0,-1.25,27389.8,12.88,28.43,6.27,12.0827161258,0.0,0.0,0.0,0.0
5,00939,建设银行,9.6,1.05,25113.64,29.36,6.39,0.61,4.5376835478999995,0.0,0.0,0.0,0.0
6,01288,农业银行,6.51,2.6,22783.9,6.65,6.75,0.69,4.4593032714000005,0.0,0.0,0.0,0.0
7,09988,阿里巴巴-W,110.4,-3.33,21953.03,110.22,25.84,1.74,0.9987987878,0.0,0.0,0.0,0.0
8,03988,中国银行,5.975,1.27,19252.19,18.67,6.82,0.61,4.0097334841,0.0,0.0,0.0,0.0
9,00857,中国石油股份,10.2,0.29,18668.14,6.52,9.31,0.99,6.3861639668,0.0,0.0,0.0,0.0
10,00941,中国移动,79.5,0.32,17241.34,10.15,11.47,1.03,5.4714246401999995,0.0,0.0,0.0,0.0
11,03968,招商银行,51.45,0.98,12975.61,7.05,7.54,0.98,5.8401593944,0.0,0.0,0.0,0.0
12,03308,中际旭创,1035.0,0.58,12191.36,21.09,52.34,25.15,39.213740819499996,0.0,0.0,0.0,0.0
13,00883,中国海洋石油,25.06,-0.95,11911.01,11.71,7.55,1.21,10.346972879299999,0.0,0.0,0.0,0.0
14,02318,中国平安,56.75,0.35,10276.09,28.61,5.67,0.87,9.1284065146,0.0,0.0,0.0,0.0
15,01088,中国神华,46.2,-0.35,10020.52,5.68,16.07,1.9,6.342903654400001,0.0,0.0,0.0,0.0
16,02899,紫金矿业,36.42,-0.55,9684.34,11.62,12.6,4.16,20.0147693811,0.0,0.0,0.0,0.0
17,02628,中国人寿,30.18,-0.4,8530.29,14.58,3.04,1.12,21.35749495,0.0,0.0,0.0,0.0
18,01211,比亚迪股份,88.25,1.2,8045.93,28.29,24.16,2.91,4.861201831100001,0.0,0.0,0.0,0.0
19,01299,友邦保险,75.95,-0.39,7858.28,21.9,12.61,2.46,10.2330680139,0.0,0.0,0.0,0.0
20,00300,美的集团,100.4,-0.99,7659.31,4.94,15.14,3.12,12.1289184915,0.0,0.0,0.0,0.0
21,01810,小米集团-W,27.56,-0.22,7099.21,24.02,18.98,2.29,5.2939105732,0.0,0.0,0.0,0.0
