排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
67,002714,牧原股份,28.01,88.96,16.42,38.68,-2.57,22.83,67.77,2.59,1.73
68,300394,天孚通信,18.47,-8.81,47.17,203.41,-4.09,102.16,94.27,37.11,94.56
69,002463,沪电股份,19.17,11.82,68.22,112.22,-3.04,50.2,96.1,12.86,97.83
70,000001,平安银行,90.68,81.99,46.96,11.1,0.18,5.0,27.36,0.46,5.35
71,000725,京东方Ａ,16.04,17.77,56.14,5.79,-4.46,36.05,57.08,1.58,70.95
72,600919,江苏银行,81.59,71.63,89.42,11.57,0.26,6.01,80.25,0.8,87.91
73,301666,大普微-UW,56.92,-9.19,,485.66,-4.77,16319.66,23.53,264.13,23.53
74,002142,宁波银行,62.83,88.22,71.34,32.01,0.5,7.02,31.84,0.91,28.28
75,603288,海天味业,54.48,86.58,35.86,35.85,-2.18,28.82,1.88,4.99,1.93
76,003816,中国广核,73.5,26.05,29.33,4.06,-2.4,21.62,89.61,1.63,67.46
77,002938,鹏鼎控股,18.91,6.81,65.82,88.39,0.89,55.18,97.53,5.91,92.27
78,600690,海尔智家,79.68,92.91,11.83,21.76,-0.46,10.9,5.15,1.63,3.61
79,601066,中信建投,20.42,41.11,61.38,26.07,-3.12,17.95,9.11,2.34,21.68
80,688808,联讯仪器,68.55,17.19,,1955.0,0.88,734.61,50.0,195.61,50.0
81,300408,三环集团,48.98,-2.15,62.26,100.84,-4.46,69.68,97.98,8.95,97.98
82,600188,XD兖矿能,52.55,11.45,44.56,19.73,-9.62,20.73,96.53,2.59,75.63
83,300433,蓝思科技,65.73,3.52,52.75,37.32,2.02,57.28,83.62,3.61,82.66
84,601336,新华保险,45.58,83.8,2.64,63.12,-3.96,5.34,2.65,1.59,49.13
85,601668,中国建筑,90.85,103.95,36.68,4.7,0.0,5.12,62.14,0.39,1.3
86,300604,长川科技,53.72,47.75,82.17,303.5,4.21,122.41,53.95,37.8,99.23
87,600406,国电南瑞,92.52,41.05,12.56,23.58,-3.24,22.76,20.95,3.54,29.19
88,600025,华能水电,55.78,94.07,59.97,10.04,-1.28,21.91,78.23,2.64,75.24
89,601818,光大银行,62.18,86.76,22.63,3.15,-0.32,4.92,44.22,0.37,2.5
90,601688,华泰证券,89.42,59.59,19.8,20.4,-2.16,10.5,27.79,1.03,42.44
91,001399,惠科股份,27.63,-1.61,,25.1,-2.68,48.4,9.52,6.94,9.52
92,601985,中国核电,69.34,44.11,69.14,8.9,-2.09,22.24,85.21,1.53,29.96
93,601898,中煤能源,76.54,21.08,10.88,13.67,-4.2,10.21,48.36,1.11,83.72
94,600031,三一重工,85.95,84.69,11.42,19.58,-1.95,21.38,47.16,1.99,16.14
95,300760,迈瑞医疗,52.94,68.76,11.72,146.38,-2.93,22.65,3.02,4.42,1.48
96,002352,顺丰控股,65.12,61.2,22.66,33.5,-1.18,15.46,1.45,1.76,1.45
97,600930,华电新能,13.76,-2.93,0.74,4.16,-4.81,27.1,0.4,1.57,0.4
98,688498,源杰科技,24.48,38.99,74.43,1390.0,-3.81,486.05,66.17,68.54,96.2
99,601995,中金公司,25.0,61.24,57.85,35.61,-2.84,15.18,2.95,1.67,13.31
100,600989,宝丰能源,76.03,49.06,15.81,23.38,-3.75,13.64,8.76,3.29,65.46
