排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
82,600406,国电南瑞,0.08,89.63,18.13,2.39,89.32,18.36,24.06,0.29,23.23,26.81,3.61,33.99
83,301666,大普微-UW,94.48,0.38,20.3,88.06,-5.26,,439.2,1.41,14758.47,29.63,238.87,29.63
84,301377,鼎泰高科,95.61,18.71,51.55,91.39,9.75,53.64,449.57,4.79,306.68,97.34,65.7,97.34
85,601898,中煤能源,81.5,56.54,11.17,91.69,39.83,12.17,14.15,-1.32,10.57,52.8,1.14,88.8
86,300760,迈瑞医疗,36.36,90.83,30.43,29.97,91.07,23.46,153.6,0.07,23.75,6.95,4.64,2.53
87,300433,蓝思科技,84.5,-2.48,28.46,81.64,-6.4,39.45,35.25,1.88,54.1,82.86,3.41,78.94
88,601668,中国建筑,-5.99,85.5,48.53,-7.4,98.76,36.68,4.5,-0.44,4.9,51.12,0.37,0.53
89,300604,长川科技,107.14,28.45,65.06,102.62,31.83,71.58,287.11,2.16,117.84,53.23,36.39,98.95
90,601336,新华保险,13.44,57.6,4.36,9.55,78.23,2.69,58.83,0.81,4.97,0.67,1.49,41.74
91,601985,中国核电,5.64,41.64,70.14,11.47,49.81,81.84,8.81,-0.79,22.01,83.53,1.51,27.19
92,600025,华能水电,2.64,70.5,64.41,8.39,80.55,63.41,9.69,-0.92,21.14,72.14,2.54,70.99
93,601818,光大银行,-11.0,71.53,40.17,-17.93,86.15,32.03,3.03,0.33,4.73,36.62,0.35,0.43
94,688498,源杰科技,106.44,25.44,57.88,106.33,13.84,60.26,1429.0,5.77,499.69,68.03,70.47,96.6
95,001399,惠科股份,76.75,-1.99,,82.04,-3.46,,23.95,-0.42,46.87,26.47,6.72,26.47
96,300033,同花顺,54.25,52.37,33.86,71.43,60.09,32.12,234.0,-0.84,52.72,52.08,25.2,94.97
97,600930,华电新能,14.53,5.27,0.43,16.91,2.96,3.83,4.21,0.0,27.43,2.29,1.59,2.29
98,301308,江波龙,98.33,5.41,29.32,108.76,-5.64,46.2,414.3,-0.77,14.62,46.2,9.43,80.49
99,601688,华泰证券,26.86,4.8,12.58,5.28,23.92,12.41,19.39,0.83,9.98,14.94,0.98,36.19
100,002352,顺丰控股,-5.54,75.97,37.74,0.76,85.16,33.81,33.23,-1.07,15.34,1.2,1.74,1.2
