排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,688825,长鑫科技,65.23,,,51.96,-4.31,123.25,33.33,42.52,33.33
2,601398,工商银行,-8.45,73.78,65.87,7.57,0.66,7.27,88.2,0.68,53.76
3,601939,建设银行,-4.07,71.22,78.85,10.11,1.51,7.74,95.35,0.75,67.53
4,601288,农业银行,-11.82,77.57,23.04,6.5,0.31,7.73,89.4,0.8,76.12
5,600941,中国移动,30.53,95.03,55.77,96.45,0.48,15.4,41.94,1.47,32.22
6,601857,中国石油,14.32,106.79,29.82,10.68,0.47,12.36,54.24,1.2,85.56
7,601988,中国银行,-4.21,67.66,75.8,5.79,1.05,7.61,92.81,0.68,74.53
8,300750,宁德时代,38.85,65.33,36.65,388.0,-4.24,21.12,15.2,4.73,28.74
9,600519,贵州茅台,24.67,101.49,41.5,1308.55,0.16,19.78,4.46,6.04,2.16
10,600938,中国海油,19.84,63.16,12.57,30.96,0.88,11.8,88.48,1.76,69.0
11,601138,工业富联,107.6,35.14,44.84,68.27,3.56,33.33,91.22,7.69,95.05
12,300308,中际旭创,65.04,4.77,44.31,955.0,0.77,74.73,80.38,31.39,97.46
13,601628,中国人寿,11.66,78.97,24.22,38.15,0.26,7.45,5.71,1.8,19.66
14,688981,中芯国际,29.49,0.45,43.76,124.15,-1.04,210.65,90.07,7.09,93.2
15,600036,招商银行,3.92,96.15,64.08,38.97,0.08,6.52,24.65,0.87,9.11
16,601318,中国平安,5.59,97.28,11.29,53.5,-0.96,7.3,6.43,0.95,19.38
17,601088,中国神华,20.39,65.3,43.05,43.97,2.26,18.49,96.64,1.98,88.78
18,601899,紫金矿业,75.23,108.51,30.42,34.5,1.17,14.87,21.44,4.65,87.05
19,002594,比亚迪,-4.99,89.52,40.32,89.45,-1.51,29.6,27.91,3.52,29.11
20,688256,寒武纪,65.63,3.72,53.02,1168.15,2.75,270.13,82.22,57.02,92.78
21,600900,长江电力,-12.43,74.84,81.36,27.75,-0.04,18.82,47.43,2.98,68.01
22,688041,海光信息,58.22,12.49,46.48,291.05,0.76,248.16,91.5,28.79,94.4
23,000333,美的集团,17.63,90.04,84.27,85.32,-0.18,14.73,53.19,2.8,42.78
24,600028,中国石化,3.77,103.29,4.71,5.08,2.01,17.28,85.28,0.74,33.81
25,601328,交通银行,-4.76,88.83,67.15,6.94,0.14,6.36,84.99,0.53,48.3
26,601658,邮储银行,-8.66,80.27,36.71,4.97,0.2,6.79,58.05,0.58,6.44
27,300502,新易盛,60.14,7.72,44.89,421.87,-0.57,54.77,55.92,28.86,96.16
28,601728,中国电信,30.01,99.21,56.0,6.3,1.12,18.2,65.53,1.23,61.7
29,002371,北方华创,77.76,27.54,56.91,742.5,1.13,96.63,46.86,13.71,86.28
30,688347,华虹宏力,36.33,9.66,49.15,258.1,2.22,908.99,80.19,9.91,95.87
31,600030,中信证券,10.37,64.68,82.1,27.92,-0.92,12.95,10.65,1.5,48.25
32,603993,洛阳钼业,75.56,75.05,19.75,20.37,-0.49,18.04,29.35,4.9,96.07
33,002475,立讯精密,21.02,3.77,30.11,55.9,0.05,25.08,31.13,4.89,36.93
34,603259,药明康德,90.87,93.46,93.1,142.7,-3.25,19.65,23.0,5.11,42.51
35,601998,中信银行,3.32,88.4,43.15,7.55,0.0,5.9,64.56,0.57,55.54
36,688235,百济神州,58.21,79.36,51.2,269.0,-4.13,96.9,90.31,12.56,77.96
37,601166,兴业银行,12.79,95.84,51.85,18.48,0.65,5.05,38.75,0.47,8.82
38,688012,中微公司,50.96,30.68,58.96,361.59,1.0,126.92,69.69,14.25,77.41
39,600276,恒瑞医药,11.3,68.11,31.1,52.11,-2.67,42.6,4.17,5.44,2.73
40,002384,东山精密,59.24,-2.97,51.98,187.68,-0.61,168.5,96.4,15.19,97.07
41,002415,海康威视,71.54,98.66,95.15,37.45,-2.58,20.89,18.85,4.07,28.73
42,300059,东方财富,74.56,63.55,31.55,20.01,-1.72,24.15,6.62,3.31,13.05
43,601319,中国人保,-2.92,87.78,10.05,7.12,-0.97,7.39,7.85,0.99,21.78
44,601211,国泰海通,-13.62,52.4,45.0,17.86,-0.78,14.34,57.7,0.96,29.93
45,600000,浦发银行,33.14,94.48,26.29,9.29,0.32,6.15,72.09,0.41,30.17
46,600183,生益科技,103.69,3.04,46.27,127.25,3.63,78.68,98.13,17.24,98.13
47,601601,中国太保,17.5,102.27,9.16,31.67,-1.09,5.65,1.44,0.95,10.41
48,688802,沐曦股份-U,37.28,8.59,58.79,722.7,-0.46,-440.93,31.82,22.08,60.39
49,000858,五 粮 液,18.56,77.45,14.69,74.48,-1.35,22.94,32.85,2.26,0.91
50,688795,摩尔线程-U,86.8,10.95,24.29,586.0,-1.2,-320.67,39.51,23.91,26.54
51,601869,长飞光纤,90.27,-4.73,39.87,328.25,5.07,234.85,94.21,19.1,96.0
52,603986,兆易创新,45.47,-13.93,24.92,385.0,-0.11,93.98,49.21,10.69,70.98
53,600150,中国船舶,89.75,50.02,35.83,34.9,-0.85,23.23,26.76,1.76,24.94
54,688008,澜起科技,41.53,2.86,43.19,208.36,-1.72,99.43,73.79,12.2,79.7
