排名,代码,名称,最新价,总市值,流通市值
1,688825,长鑫科技,51.96,3475130840561,233977904933
2,601398,工商银行,7.57,2697995366164,2040964448920
3,601939,建设银行,10.11,2644779856550,96991878397
4,601288,农业银行,6.5,2274889720175,2075087370051
5,600941,中国移动,96.45,2091731806986,87071960772
6,601857,中国石油,10.68,1954664043096,1729327791096
7,601988,中国银行,5.79,1865609864403,1220332330958
8,300750,宁德时代,388.0,1795142108572,1652911435372
9,600519,贵州茅台,1308.55,1635794278989,1635794278989
10,600938,中国海油,30.96,1471527375345,92570400000
11,601138,工业富联,68.27,1354756180229,1354756180229
12,300308,中际旭创,955.0,1117096582155,1059992487990
13,601628,中国人寿,38.15,1078298495750,794417669500
14,688981,中芯国际,124.15,1062855538539,248245690458
15,600036,招商银行,38.97,982817383071,803909964398
16,601318,中国平安,53.5,968758846733,570313481941
17,601088,中国神华,43.97,953684426347,725110938881
18,601899,紫金矿业,34.5,917379654459,710761863330
19,002594,比亚迪,89.45,815533322189,311877577575
20,688256,寒武纪,1168.15,733940431737,733940431737
21,600900,长江电力,27.75,678993041619,678993041619
22,688041,海光信息,291.05,676498601386,676498601386
23,000333,美的集团,85.32,650828314925,587355056614
24,600028,中国石化,5.08,614301612248,481342574905
25,601328,交通银行,6.94,613244662508,180942730609
26,601658,邮储银行,4.97,596872415855,360463169007
27,300502,新易盛,421.87,588195067279,529127561065
28,601728,中国电信,6.3,576494973804,489067290804
29,002371,北方华创,742.5,538824231000,538394062140
30,688347,华虹宏力,258.1,448507184356,105240275000
31,600030,中信证券,27.92,436229680159,339969303194
32,603993,洛阳钼业,20.37,435802098285,355677355125
33,002475,立讯精密,55.9,431843034945,409471709382
34,603259,药明康德,142.7,425782146019,352937091104
35,601998,中信银行,7.55,420120975093,307760644617
36,688235,百济神州,269.0,414874713689,30949864940
37,601166,兴业银行,18.48,391089643800,391089643800
38,688012,中微公司,361.59,346346214613,340689026970
39,600276,恒瑞医药,52.11,345864485434,332409808498
40,002384,东山精密,187.68,343756101606,260184860973
41,002415,海康威视,37.45,343224439548,338776209440
42,300059,东方财富,20.01,316602219499,267199448478
43,601319,中国人保,7.12,314874812951,252744026871
44,601211,国泰海通,17.86,314851155930,241054816047
45,600000,浦发银行,9.29,309411237807,309411237807
46,600183,生益科技,127.25,309090717008,306895042053
47,601601,中国太保,31.67,304676213880,216782462880
48,688802,沐曦股份-U,722.7,289152270000,13390615607
49,000858,五 粮 液,74.48,289102164212,289095117362
50,688795,摩尔线程-U,586.0,275436535162,17712137140
51,601869,长飞光纤,328.25,271759851701,133380551571
52,603986,兆易创新,385.0,270171838090,257369394590
53,600150,中国船舶,34.9,262644182951,262644182951
54,688008,澜起科技,208.36,254311302056,238523135596
55,000338,潍柴动力,29.38,253849681845,145618812913
56,688820,盛合晶微,136.26,253821598457,23559714135
57,300408,三环集团,127.0,252458432217,237465389559
58,601816,京沪高铁,5.08,248542451200,248542451200
59,300476,胜宏科技,250.15,245843620972,216428515492
60,002379,宏桥控股,18.86,245766889290,21432008982
61,300394,天孚通信,225.28,245741076951,245192059904
62,601225,陕西煤业,24.88,241211600000,241211600000
63,002916,深南电路,353.99,241126162964,235335897206
64,600309,万华化学,74.97,234691457801,234691457801
65,601919,中远海控,15.37,234671049972,192993973152
66,002463,沪电股份,117.2,225535406536,225353388959
67,000651,格力电器,40.25,225456581075,222260881329
68,002714,牧原股份,38.37,221509862045,125872758908
69,300274,阳光电源,106.7,221211658941,169389096116
70,000725,京东方Ａ,5.96,220784195261,210788119337
71,000001,平安银行,11.27,218704698091,218701119359
72,002938,鹏鼎控股,93.85,217500815353,216871044970
73,600919,江苏银行,11.75,215628062440,215628062440
74,688808,联讯仪器,2095.01,215087694032,40425614641
75,603288,海天味业,36.55,213855696358,203211444538
76,600188,兖矿能源,21.27,213483842465,126797957465
77,002142,宁波银行,31.74,209597971738,209466293555
78,600690,海尔智家,22.12,207433167858,138316988451
79,601066,中信建投,25.95,201286229982,168562663358
80,003816,中国广核,3.96,199975318753,155767363753
81,688072,拓荆科技,682.03,198251787458,192805114974
82,601336,新华保险,62.43,194753294238,130193977996
83,600406,国电南瑞,24.17,194127546291,193557617836
84,301666,大普微-UW,439.2,191586225312,11645977846
85,601668,中国建筑,4.57,188834184329,188834184329
86,601898,中煤能源,14.2,188273020280,129958405680
87,300433,蓝思科技,34.82,183805757093,173044954313
88,603268,松发股份,180.0,183369049380,41984962560
89,600031,三一重工,19.76,181693287675,167453947131
90,600025,华能水电,9.75,181653169006,181653169006
91,601985,中国核电,8.83,181615458313,166739405376
92,300760,迈瑞医疗,149.75,181563098752,181407042629
93,301377,鼎泰高科,428.0,181491231752,42312479752
94,601818,光大银行,3.06,180801786247,142004855617
95,300033,同花顺,238.98,179865907200,104771440228
96,002352,顺丰控股,33.72,177546188390,161826166533
97,001248,华润新能,13.32,177443883295,14151218496
98,001399,惠科股份,23.87,176812304373,10277627869
99,300604,长川科技,278.53,176704616557,136332478791
100,601688,华泰证券,19.49,175933575189,142408715486
