排名,代码,名称,最新价,总市值,流通市值
1,688825,长鑫科技,52.88,3536661255752,238120700786
2,601398,工商银行,7.6,2708687553876,2049052815296
3,601939,建设银行,10.3,2694483929028,98814673342
4,601288,农业银行,6.56,2295888702207,2094242022697
5,600941,中国移动,96.11,2084358154167,86765019697
6,601857,中国石油,10.56,1932701525758,1709897141758
7,601988,中国银行,5.95,1917163850293,1254054813334
8,300750,宁德时代,396.3,1833543344400,1688270107830
9,600519,贵州茅台,1355.29,1694223093019,1694223093019
10,600938,中国海油,32.63,1550902398498,97563700000
11,601138,工业富联,65.23,1294430139685,1294430139685
12,688981,中芯国际,129.44,1108143543363,258823376343
13,300308,中际旭创,921.04,1077372393747,1022298933129
14,601628,中国人寿,37.46,1058795849300,780049433800
15,600036,招商银行,38.77,977773413951,799784175512
16,601088,中国神华,44.34,961709517039,731212622925
17,601318,中国平安,52.8,956083497336,562851436382
18,601899,紫金矿业,32.21,856486917975,663583757039
19,002594,比亚迪,89.71,817903793556,312784097085
20,688256,寒武纪,1105.5,694577877230,694577877230
21,600900,长江电力,28.24,690982468300,690982468300
22,688041,海光信息,286.0,664760694026,664760694026
23,000333,美的集团,84.19,642245508132,579612905961
24,601328,交通银行,6.93,612361024665,180682006213
25,600028,中国石化,4.99,603418315968,472814852121
26,300502,新易盛,429.9,599390948452,539199133624
27,601658,邮储银行,4.95,594470514785,359012612995
28,601728,中国电信,6.43,588390901835,499159155535
29,002371,北方华创,738.6,535994043120,535566133733
30,603259,药明康德,162.33,484353298971,401487582333
31,688347,华虹宏力,276.99,481332836090,112942672500
32,688235,百济神州,292.18,450624884185,33616845867
33,600030,中信证券,27.84,434979738382,338995179116
34,002475,立讯精密,56.06,433782178324,410643721430
35,601998,中信银行,7.69,427911297810,313467464517
36,603993,洛阳钼业,18.41,393869250340,321454104460
37,601166,兴业银行,18.17,384529157351,384529157351
38,002384,东山精密,202.11,370186198293,280189483436
39,600276,恒瑞医药,53.76,356815865226,342935162250
40,688012,中微公司,370.42,354803962546,349008626816
41,600183,生益科技,141.74,344286980186,341841282991
42,002415,海康威视,35.66,326819319473,322583701699
43,601211,国泰海通,18.15,319096201756,244101601036
44,300059,东方财富,19.78,312963113528,264128190449
45,601319,中国人保,7.03,310894653798,249549228778
46,600000,浦发银行,9.18,305747595594,305747595594
47,688802,沐曦股份-U,747.0,298874700000,13840860465
48,601601,中国太保,30.43,292746990476,208294611476
49,000858,五 粮 液,75.12,291586393336,291579285932
50,603986,兆易创新,404.5,283855866253,270404987303
51,300394,天孚通信,257.16,280516580916,279889870938
52,601869,长飞光纤,337.51,279426253001,137143244358
53,688795,摩尔线程-U,584.31,274642187475,17661056062
54,300476,胜宏科技,271.3,266629519767,234727388579
55,002379,宏桥控股,20.2,263228587680,22954749811
56,000338,潍柴动力,30.1,260070640692,149187415544
57,002916,深南电路,377.98,257467349578,251284675911
58,688008,澜起科技,210.22,256581502775,240652397605
59,300408,三环集团,128.4,256378664516,240083118263
60,600150,中国船舶,33.78,254215487109,254215487109
61,688820,盛合晶微,135.37,252163729511,23405830783
62,300274,阳光电源,118.13,244908465517,187534526000
63,601816,京沪高铁,4.97,243160626469,243160626469
64,601225,陕西煤业,25.08,243150600000,243150600000
65,601919,中远海控,15.25,232838875216,191487188716
66,002463,沪电股份,120.66,232193704374,232006313241
67,002714,牧原股份,40.15,231785795182,131712047698
68,600309,万华化学,73.11,228868780577,228868780577
69,688808,联讯仪器,2212.0,227098667404,42683070528
70,000651,格力电器,40.24,225400567018,222205661234
71,002938,鹏鼎控股,95.72,221834608904,221192290086
72,000001,平安银行,11.25,218316579728,218313007346
73,000725,京东方Ａ,5.86,217079762455,207251405926
74,600188,兖矿能源,21.5,215792318430,128169068430
75,600919,江苏银行,11.69,214526982972,214526982972
76,002142,宁波银行,32.29,213229946674,213095986733
77,603288,海天味业,36.2,211807830593,201265507313
78,600690,海尔智家,21.79,204338550074,136253489076
79,601066,中信建投,25.97,201441363878,168692576779
80,688072,拓荆科技,685.11,199147078728,193675809451
81,003816,中国广核,3.91,197450377860,153800604110
82,600406,国电南瑞,23.69,190272303336,189713693278
83,301377,鼎泰高科,445.0,188699995630,43993115630
84,301666,大普微-UW,430.0,187573034800,11402027490
85,688498,源杰科技,1500.68,186835225756,184421782658
86,300760,迈瑞医疗,153.39,185877914721,185703466422
87,601898,中煤能源,13.93,184693181162,127487365572
88,601668,中国建筑,4.44,183462533571,183462533571
89,300433,蓝思科技,34.65,182908371146,172200105312
90,601336,新华保险,58.49,182462280634,121977346997
91,300604,长川科技,281.69,181854048228,137879208525
92,601985,中国核电,8.82,181409778293,166550572527
93,600025,华能水电,9.71,180907925235,180907925235
94,601818,光大银行,3.02,178438364204,140148582994
95,001399,惠科股份,23.88,176886377396,10281933536
96,601688,华泰证券,19.56,176565455654,142920188553
97,603268,松发股份,173.26,176502897198,40412858962
98,600930,华电新能,4.2,175199999999,45121420831
99,300033,同花顺,231.91,174544742400,101671875066
100,001248,华润新能,13.08,174246696209,13896241586
