排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
78,603268,松发股份,88.24,105.52,99.51,71.02,101.75,92.14,197.7,2.75,35.86,47.98,15.42,82.6,186.073,165.506,1.0,6.25,1.14,0.81,10.64,74.63,69.67,航海装备Ⅱ,三周期共振超买 / 高位+估值顶区
21,600028,中国石化,83.46,102.64,24.14,67.93,97.43,13.0,5.61,0.36,18.87,88.34,0.8,42.29,5.307,5.06,1.0,5.71,0.98,0.93,12.75,89.5,41.07,炼化及贸易,高位+估值顶区
53,002916,深南电路,92.81,49.53,54.52,77.98,26.01,54.39,383.3,0.21,62.65,93.88,14.48,94.36,360.7,377.612,0.0,6.27,1.0,0.78,29.14,92.81,97.44,元件,高位+估值顶区
13,300308,中际旭创,97.05,14.12,30.32,84.5,-1.01,35.52,908.9,0.72,52.34,58.13,26.86,96.59,887.894,1026.495,0.0,2.37,0.71,0.56,184.21,63.14,94.05,通信设备,高位+估值顶区
74,688498,源杰科技,95.88,72.68,73.59,87.77,52.63,62.9,1718.0,0.17,284.53,52.77,68.08,97.56,1564.332,1554.564,1.0,9.82,0.74,0.55,44.92,52.77,97.56,半导体,高位+估值顶区
63,300408,三环集团,86.92,49.89,48.0,81.42,25.63,54.03,117.77,2.26,70.97,96.92,10.38,97.91,114.867,124.237,0.0,2.53,1.25,0.82,61.36,94.63,96.36,元件,高位+估值顶区
60,002463,沪电股份,87.17,57.64,59.7,69.97,33.3,58.29,127.55,2.12,48.48,94.4,13.64,98.2,119.969,124.873,0.0,6.32,0.91,0.88,61.01,93.97,96.86,元件,高位+估值顶区
73,002938,鹏鼎控股,84.25,40.24,56.41,57.49,21.24,58.5,92.45,3.34,56.55,97.05,6.23,95.14,89.829,94.752,0.0,2.92,1.19,0.88,20.08,95.29,95.7,元件,高位+估值顶区
100,601600,中国铝业,80.46,103.99,13.28,47.5,95.06,6.5,10.03,2.98,9.85,5.41,2.04,82.03,9.565,9.14,1.0,4.86,1.64,1.29,25.06,9.42,73.88,工业金属,高位+估值顶区
61,000338,潍柴动力,86.72,52.01,51.99,54.14,51.03,54.49,27.85,4.66,18.53,83.97,2.5,83.97,27.901,27.838,1.0,-0.18,1.26,1.2,30.86,73.64,93.55,汽车零部件,高位+估值顶区
55,002379,宏桥控股,86.57,70.79,12.89,61.34,68.67,5.45,19.68,3.52,10.39,66.1,4.43,82.6,18.764,17.945,1.0,4.88,1.22,0.91,10.88,86.53,69.75,工业金属,高位+估值顶区
26,300502,新易盛,80.51,17.77,33.76,79.23,9.67,40.73,414.8,-0.38,44.08,38.45,23.8,92.41,414.734,471.898,0.0,0.02,0.79,0.59,120.25,51.74,86.78,通信设备,高位+估值顶区
