排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,688825,长鑫科技,56.87,3860568714509,256087826281,半导体,10277241099.0,81.06,873.6417332025,776.05,3427.75691436574,84.7418874692
2,601398,工商银行,8.0,2851250056712,2156897700312,银行Ⅱ,1717501611.0,4.315,9.0769670235,1736.82,3.318798593719,0.0
3,601939,建设银行,10.82,2830516127386,103803375297,银行Ⅱ,846217429.0,4.76,10.7174470481,1695.64,4.620054789111,0.0
4,601288,农业银行,6.81,2383384460675,2174053075391,银行Ⅱ,1467748313.0,5.07,11.0651273055,1463.81,4.925094975271,0.0
5,600941,中国移动,97.11,2106406955580,87667787564,通信服务,671900904.0,5.6,-1.054491889,789.34,-6.293108565323,29.5120205935
6,601988,中国银行,6.43,2071825807964,1355222260460,银行Ⅱ,938934698.0,4.33,8.4801658344,1235.94,5.104982524173,0.0
7,601857,中国石油,11.32,2071797468900,1832957920900,炼化及贸易,1351581654.0,6.3,5.3426812439,1039.34,22.029798875204,21.8708980937
8,600938,中国海油,34.18,1624573827173,102198200000,油气开采Ⅱ,1338951680.0,10.21,16.8837424377,858.18,23.420534134871,53.4636940575
9,600519,贵州茅台,1290.88,1613705337099,1613705337099,白酒Ⅱ,4168500462.0,16.75,1.3000994756,445.17,-1.951594855028,89.5552128279
10,300750,宁德时代,336.84,1558481344904,1435004592428,电池,12957469558.42,12.08,54.8003691485,432.84,41.983941749454,23.9283938867
11,601138,工业富联,65.24,1294628580608,1294628580608,消费电子,4971511293.0,13.36,54.634987688,237.4,95.985786599041,7.1506831245
12,601628,中国人寿,38.15,1078298495750,794417669500,保险Ⅱ,999347862.0,21.07,81.5399084582,1344.89,228.574918765728,0.0
13,300308,中际旭创,908.9,1070602072705,1008821742027,通信设备,18420917475.47,37.62,182.4913813287,136.51,241.696005716117,46.2521843492
14,600036,招商银行,41.0,1034013669641,845786721589,银行Ⅱ,1773818777.0,6.71,4.8314692679,764.45,2.021887094622,0.0
15,688981,中芯国际,120.51,1031828819509,240967282780,半导体,2646565747.0,2.9,19.435688378,44.67,94.163023835373,23.1558234006
16,601088,中国神华,47.33,1026560925608,780520826410,煤炭开采,1394385888.0,5.83,7.9322551775,287.15,4.103977087336,35.4841606017
17,601318,中国平安,56.26,1018735938639,599735261570,保险Ⅱ,2944585975.0,9.0,15.010118462,925.85,36.060370038356,0.0
18,601899,紫金矿业,34.4,914720582997,708701684016,工业金属,6802972940.0,19.6,15.7816890732,391.7,68.170288138556,37.7472369593
19,002594,比亚迪,85.88,782984926882,299469461845,乘用车,1561326834.31,4.86,-7.1281672659,123.25,-20.535238859941,18.8473478975
20,600900,长江电力,28.05,686333506934,686333506934,电力,1956050913.0,6.55,3.3562259885,147.56,13.015444431533,57.8922527476
21,600028,中国石化,5.61,678392134785,531561386854,炼化及贸易,1275247257.0,3.06,1.9523055217,256.27,19.289670902574,19.2430394532
22,688256,寒武纪,1054.96,663415824280,663415824280,半导体,6913648256.0,18.05,108.1331369113,23.11,122.613513635372,55.2505731603
23,000333,美的集团,86.02,656260364705,592266345953,白色家电,1537157621.96,11.33,3.4561222865,264.46,1.661997971068,25.2557645483
24,601658,邮储银行,5.4,648513288857,391650123267,银行Ⅱ,617522697.0,4.8,7.2645809882,515.03,4.621353701146,0.0
25,601328,交通银行,7.29,644171986986,190068084458,银行Ⅱ,733917962.0,4.045,6.7295003299,478.74,4.037726008345,0.0
26,300502,新易盛,414.8,578337672523,520260061109,通信设备,12024951078.73,34.86,100.3392340098,75.29,90.984424978074,48.4397325072
27,601728,中国电信,6.28,574664831030,487514696230,通信服务,498732315.0,4.2,-3.8643498262,195.88,-14.898970046109,29.7628442917
28,688041,海光信息,235.8,548078921858,548078921858,半导体,3973502045.0,7.56,66.5195709856,17.98,49.691219941746,55.2090490096
29,601998,中信银行,8.9,495241944150,362790693654,银行Ⅱ,288491046.0,4.805,3.0507963718,376.02,3.081309282307,0.0
30,002371,北方华创,646.4,469085498880,468695385491,半导体,2456899585.74,8.58,24.9038763685,33.7,5.051223129423,40.0682862059
31,603259,药明康德,154.88,468177699574,383061644500,医疗服务,4442359326.0,13.19,38.9349828598,110.8,29.427935686791,53.9094753581
32,002475,立讯精密,55.86,432237796540,409181888546,消费电子,4011223894.63,8.76,40.1605518581,78.43,18.036983291456,11.7785360877
33,600030,中信证券,27.33,427011359554,332785138119,证券Ⅱ,1965061395.0,7.81,50.0035284024,233.43,69.601525447949,0.0
34,603993,XD洛阳钼,19.09,408417381260,333327477140,工业金属,3732174148.0,18.29,42.7839090612,161.52,86.272667882062,23.0090744347
35,688235,百济神州,256.8,396058834481,29546190768,化学制药,573002428.0,9.9,26.8363500983,32.71,627.147475232556,89.4529871532
36,688347,华虹宏力,224.0,389250714048,91336000000,半导体,2178524118.0,0.86,19.4147741706,3.99,436.692371841556,19.4457765387
37,601166,兴业银行,18.11,383259385780,383259385780,银行Ⅱ,1034245726.0,4.79,-0.2543953358,411.31,-4.659140956399,0.0
38,601869,长飞光纤,442.03,365958894889,179613724937,通信设备,8886271897.0,19.22,53.637732146,29.25,888.878405244955,53.3612070059
39,600183,生益科技,148.16,359881183747,357324710653,元件,8801337181.0,18.17,50.0454791459,32.87,130.423998654866,30.6922750301
40,002384,东山精密,196.06,359104972724,271802237011,元件,16160062787.41,12.88,63.9481879305,29.57,290.089113632119,20.1513507952
41,601319,中国人保,7.9,349369525606,280432277006,保险Ⅱ,554836757.0,11.2,9.5986593172,367.45,38.503580851866,0.0
42,601601,中国太保,33.43,321608014841,228829735841,保险Ⅱ,890819330.0,9.7,5.8056021068,307.75,10.36399497938,0.0
43,688012,中微公司,333.0,318961501884,313751613654,半导体,3377718853.0,11.56,34.8886347323,28.25,300.216524117415,39.7417373409
44,002415,海康威视,33.75,309314414813,305305662713,计算机设备,2170438700.45,9.17,11.9673178084,78.96,39.565445501572,49.9672613158
45,601211,国泰海通,17.52,308020135249,235628652900,证券Ⅱ,652264273.0,6.12,97.5628794336,202.6,28.736487658757,0.0
46,600000,浦发银行,9.23,307412887509,307412887509,银行Ⅱ,467549947.0,3.96,3.5534844687,309.51,4.082456199348,0.0
47,300059,东方财富,18.91,299197799636,253249635538,证券Ⅱ,2189233304.0,8.46,53.220189051,80.64,44.848976215289,74.3927594104
48,600150,中国船舶,39.53,297487809515,297487809515,航海装备Ⅱ,4688484622.0,6.71,26.005331272,99.54,163.508688638198,17.3661199239
49,600276,恒瑞医药,44.71,296749206367,285205191671,化学制药,3214392264.0,8.04,-1.9390022608,44.65,0.344554541292,86.3263460861
50,300394,天孚通信,258.03,281465598747,280836768283,通信设备,7907332900.69,19.6,15.1492291388,12.04,33.922353315318,60.8695979509
51,000858,五 粮 液,71.16,276215225636,276208492904,白酒Ⅱ,1270641222.59,7.14,20.87072874,87.53,89.29986131838,80.2949204402
52,603986,兆易创新,381.87,268825568828,256127207531,半导体,8816384418.0,23.13,178.6722977786,68.57,1091.4990564908,63.1304509177
53,002916,深南电路,383.3,261091155864,254821462185,元件,2913977784.05,12.43,46.3282888807,22.51,65.546280171141,31.0149106719
54,601225,陕西煤业,26.54,257305300000,257305300000,煤炭开采,1124440403.0,10.9,1.1692536077,112.72,47.574576296288,33.3593436248
55,002379,宏桥控股,19.68,256452406215,22363835459,工业金属,1087503018.11,30.26,11.9504272706,156.45,77.024139178251,25.3784505634
56,688808,联讯仪器,2471.0,253689334157,47680771824,通用设备,2939653025.0,31.1,208.7055946128,5.67,902.997918255574,70.7942535034
57,601919,中远海控,16.54,252534753841,207685121401,航运港口,1377187122.0,5.7,2.5870029553,134.19,-23.47827216587,18.3392709861
58,002714,牧原股份,43.25,249682083228,141881595590,养殖业,1231218871.45,-7.48,-22.3016379839,-60.78,-157.717224941595,-1.5756373647
59,600309,万华化学,78.87,246900297143,246900297143,化学制品,2069157360.0,8.96,31.2585013331,100.63,64.354204430483,17.0841909951
