排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,00700,腾讯控股,22.01,38.63,3.42,38.27,57.25,2.21,440.0,-3.72,15.01,,3.06,
2,03750,宁德时代,34.52,46.23,52.12,39.11,37.11,59.83,638.5,-2.15,30.66,,6.76,
3,00005,汇丰控股,52.97,61.05,91.89,61.46,66.37,98.71,161.5,-0.86,14.71,,2.05,
4,01398,工商银行,94.91,92.77,84.55,104.09,87.97,74.53,7.46,-0.2,6.4,,0.6,
5,00939,建设银行,102.04,99.15,89.45,112.42,94.1,78.46,9.18,-0.76,6.27,,0.6,
6,01288,农业银行,100.1,87.62,79.29,109.87,81.61,64.03,6.24,-0.72,6.62,,0.68,
7,09988,阿里巴巴-W,18.29,76.6,16.64,45.56,98.55,8.33,112.5,-8.54,25.39,,1.78,
8,00857,中国石油股份,99.41,104.25,36.76,103.47,92.66,34.14,10.14,0.1,10.46,,1.01,
9,00941,中国移动,52.32,85.4,51.89,58.38,87.69,44.58,82.35,-0.54,11.88,,1.06,
10,03988,中国银行,109.16,95.85,91.21,115.04,87.05,85.64,5.49,-0.36,6.44,,0.57,
11,03968,招商银行,114.96,83.53,59.1,110.33,80.81,47.73,49.52,0.16,7.4,,0.97,
12,00883,中国海洋石油,106.13,118.24,30.4,106.66,108.49,20.49,25.4,0.87,8.63,,1.27,
13,02318,中国平安,90.78,82.08,11.67,61.75,79.49,10.69,56.6,0.71,5.66,,0.87,
14,02899,紫金矿业,88.73,108.8,33.26,88.72,111.9,6.76,38.44,-0.31,13.29,,4.4,
15,01088,中国神华,109.64,115.06,47.83,104.07,102.46,33.61,45.64,1.38,16.78,,1.77,
16,01211,比亚迪股份,106.52,97.21,56.07,100.65,95.53,42.81,92.8,-0.38,27.45,,3.22,
17,02628,中国人寿,99.92,52.27,28.57,63.54,30.49,30.51,28.66,2.14,5.02,,1.2,
18,01299,友邦保险,98.36,47.32,11.56,95.48,46.03,21.62,74.6,-0.73,12.39,,2.42,
19,00300,美的集团,100.84,97.3,91.8,70.95,94.15,72.59,98.35,1.5,15.14,,2.84,
20,01810,小米集团-W,96.84,68.58,26.37,111.24,70.63,14.57,27.82,-4.14,19.16,,2.31,
21,03328,交通银行,110.05,97.95,84.53,115.47,87.4,73.22,7.55,-0.07,6.18,,0.51,
22,09999,网易,53.1,30.93,46.04,46.0,50.6,49.67,194.9,-3.51,16.91,,3.25,
23,01658,邮储银行,113.12,79.13,42.21,106.33,65.83,25.35,4.99,1.11,6.08,,0.51,
24,02359,药明康德,22.02,87.17,91.12,60.33,99.62,90.73,197.7,-3.94,23.51,,6.11,
25,00981,中芯国际,19.26,19.87,,58.81,28.0,,66.75,-7.93,,,,
26,00386,中国石油化工股份,114.07,108.75,21.37,105.02,92.74,3.72,4.67,5.9,13.93,,0.58,
27,02388,中银香港,75.31,,,89.54,,,50.35,-1.27,,,,
28,00388,香港交易所,93.26,108.72,55.79,98.79,111.24,28.5,417.8,-0.76,26.75,,8.73,
29,03690,美团-W,,,,,,,,,,,,
30,02888,渣打集团,,,,,,,,,,,,
31,09633,农夫山泉,,,,,,,,,,,,
32,02513,智谱,-3.33,,,7.35,,,1007.0,-10.81,,,,
33,02475,立讯精密,,,,,,,,,,,,
34,00998,中信银行,,,,,,,,,,,,
35,00728,中国电信,102.26,,,102.55,,,4.84,-0.92,,,,
36,02259,紫金黄金国际,,,,,,,,,,,,
37,06030,中信证券,10.7,,,5.95,,,26.08,-0.61,,,,
38,00267,中信股份,,,,,,,,,,,,
39,03993,洛阳钼业,,,,,,,,,,,,
40,00992,联想集团,,,,,,,,,,,,
