排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,440.0,-3.72,40053.77,128.82,15.01,3.06
2,03750,宁德时代,638.5,-2.15,29541.19,7.09,30.66,6.76
3,00005,汇丰控股,161.5,-0.86,27733.82,17.12,14.71,2.05
4,01398,工商银行,7.46,-0.2,26587.91,12.45,6.4,0.6
5,00939,建设银行,9.175,-0.76,24001.83,22.0,6.27,0.6
6,01288,农业银行,6.235,-0.72,21821.44,4.19,6.62,0.68
7,09988,阿里巴巴-W,112.5,-8.54,21571.86,405.82,25.39,1.78
8,00857,中国石油股份,10.14,0.1,18558.33,6.9,10.46,1.01
9,00941,中国移动,82.35,-0.54,17859.42,14.45,11.88,1.06
10,03988,中国银行,5.485,-0.36,17673.35,7.27,6.44,0.57
11,03968,招商银行,49.52,0.16,12488.87,5.9,7.4,0.97
12,00883,中国海洋石油,25.4,0.87,12072.61,15.02,8.63,1.27
13,02318,中国平安,56.6,0.71,10248.93,28.34,5.66,0.87
14,02899,紫金矿业,38.44,-0.31,10221.47,26.11,13.29,4.4
15,01088,中国神华,45.64,1.38,9899.06,4.04,16.78,1.77
16,01211,比亚迪股份,92.8,-0.38,8460.76,16.79,27.45,3.22
17,02628,中国人寿,28.66,2.14,8100.66,16.77,5.02,1.2
18,01299,友邦保险,74.6,-0.73,7718.6,43.42,12.39,2.42
19,00300,美的集团,98.35,1.5,7502.92,3.93,15.14,2.84
20,01810,小米集团-W,27.82,-4.14,7166.03,44.2,19.16,2.31
21,03328,交通银行,7.555,-0.07,6675.88,2.28,6.18,0.51
22,09999,网易,194.9,-3.51,6253.87,15.42,16.91,3.25
23,01658,邮储银行,4.99,1.11,5992.74,3.36,6.08,0.51
24,02359,药明康德,197.7,-3.94,5859.05,14.53,23.51,6.11
25,00981,中芯国际,66.75,-7.93,5714.51,86.88,70.36,2.9
26,00386,中国石油化工股份,4.665,5.9,5641.18,20.15,13.93,0.58
27,02388,中银香港,50.35,-1.27,5323.39,3.85,13.27,1.48
28,00388,香港交易所,417.8,-0.76,5297.02,14.77,26.75,8.73
29,03690,美团-W,82.7,-2.71,5107.12,38.02,-11.48,3.01
30,02888,渣打集团,231.4,-1.11,5057.3,1.52,11.97,1.4
