市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
个股,2026-07-23,600188,兖矿能源,71,1,22.15,19.73,-10.93,1,False,93.59,26.99,55.61,23.27,98.84,2.91,89.73,全样本(基准)
个股,2026-07-23,600276,恒瑞医药,39,1,54.91,53.45,-2.66,1,False,34.79,87.87,30.49,44.89,6.17,5.73,4.1,全样本(基准)
个股,2026-07-23,600309,万华化学,61,1,75.49,73.75,-2.3,1,False,111.65,65.99,29.03,17.95,64.39,2.12,9.73,全样本(基准)
个股,2026-07-23,600406,国电南瑞,84,1,24.37,23.58,-3.24,1,False,113.38,53.44,18.51,23.53,29.2,3.66,37.54,全样本(基准)
个股,2026-07-23,600519,贵州茅台,8,1,1292.01,1297.41,0.42,1,False,69.1,79.85,25.37,19.53,2.99,5.96,1.73,全样本(基准)
个股,2026-07-23,600690,海尔智家,81,1,21.86,21.76,-0.46,1,False,86.29,95.44,12.69,10.95,5.4,1.64,3.71,全样本(基准)
个股,2026-07-23,600900,长江电力,21,1,28.94,28.9,-0.14,1,False,75.69,95.94,85.25,19.62,56.1,3.11,80.1,全样本(基准)
个股,2026-07-23,600919,江苏银行,75,1,11.54,11.57,0.26,1,False,74.42,69.8,88.43,6.0,79.86,0.8,87.28,全样本(基准)
个股,2026-07-23,600930,华电新能,96,1,4.37,4.16,-4.81,1,False,35.78,3.31,4.75,28.47,10.89,1.65,2.02,全样本(基准)
个股,2026-07-23,600938,中国海油,9,1,32.99,31.91,-3.27,1,False,97.91,58.9,19.33,12.58,90.89,1.87,78.2,全样本(基准)
个股,2026-07-23,600941,中国移动,4,1,94.43,94.69,0.28,1,False,69.24,62.19,29.9,15.08,37.33,1.44,29.06,全样本(基准)
个股,2026-07-23,600989,宝丰能源,100,1,24.29,23.38,-3.75,1,False,101.06,60.18,19.52,14.17,12.72,3.42,69.91,全样本(基准)
个股,2026-07-23,601066,中信建投,79,1,26.91,26.07,-3.12,1,False,50.02,48.13,67.61,18.53,11.15,2.42,25.66,全样本(基准)
个股,2026-07-23,601088,中国神华,15,1,45.32,45.7,0.84,1,False,75.01,59.14,42.68,19.06,98.31,2.04,93.98,全样本(基准)
个股,2026-07-23,601138,工业富联,10,1,62.88,60.25,-4.18,1,False,64.95,3.11,47.36,30.7,89.65,7.08,91.73,全样本(基准)
个股,2026-07-23,601166,兴业银行,36,1,18.26,18.33,0.38,1,False,75.12,77.54,26.22,4.99,35.47,0.47,7.33,全样本(基准)
个股,2026-07-23,601211,国泰海通,41,1,19.05,19.22,0.89,1,False,103.13,81.2,47.24,15.3,65.83,1.03,38.41,全样本(基准)
个股,2026-07-23,601225,陕西煤业,58,1,25.25,24.7,-2.18,1,False,91.35,69.76,57.0,15.14,98.55,2.4,85.35,全样本(基准)
个股,2026-07-23,601288,农业银行,3,1,6.59,6.66,1.06,1,False,81.03,73.94,4.44,7.84,90.51,0.82,79.47,全样本(基准)
个股,2026-07-23,601318,中国平安,14,1,54.3,54.02,-0.52,1,False,95.79,77.03,2.21,7.4,8.14,0.97,22.12,全样本(基准)
