信号日,ETF-三周期共振偏弱(均<50),ETF-三周期共振偏强(均>50),ETF-全样本(基准),ETF-分化-日低周高,ETF-分化-日高周低,HK-三周期共振偏弱(均<50),HK-三周期共振偏强(均>50),HK-三周期共振超买(均>80),HK-全样本(基准),HK-分化-日低周高,HK-分化-日高周低,个股-三周期共振偏弱(均<50),个股-三周期共振偏强(均>50),个股-三周期共振超买(均>80),个股-三周期共振超卖(均<20),个股-全样本(基准),个股-分化-日低周高,个股-分化-日高周低
2026-07-23,,,,,,,,,,,,0.9672000000000001,0.9926823529411765,0.9945,,0.9860606060606061,1.019,0.97214
2026-07-24,,,,,,,,,,,,0.988304304,0.9923463681447964,1.0133457750000001,1.0192,0.9955008913376188,1.0160788666666665,0.987645633
2026-07-27,,,,,,,,,,,,0.9207240556924801,0.9915164057278025,0.990038822175,1.00717344,0.9688978897404187,1.0203925833096967,0.9307325533983749
2026-07-28,,,,,,,,,,,,0.9090410904524711,0.9936283356720027,0.9905998441742325,0.9904543608960001,0.9675541555963646,1.02768498897175,0.9303935008253512
2026-07-29,,,,,,,,,,,,0.8767246796868857,1.0103792533642066,1.0139780004967445,0.8878432891071745,0.9586976144266532,1.0404519986424376,0.9101341823448792
2026-07-30,,,,,,,,,,,,0.9034408717442534,1.0003408383116645,1.0013901878905778,0.9372961603104442,0.9657910083919817,1.0434346277052124,0.9275278578296924
2026-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9034408717442534,1.0003408383116645,1.0013901878905778,0.9372961603104442,0.9657910083919817,1.0434346277052124,0.9275278578296924
2026-08-01,,,,,,,,,,,,0.9034408717442534,1.0003408383116645,1.0013901878905778,0.9372961603104442,0.9657910083919817,1.0434346277052124,0.9275278578296924
2026-08-02,,,,,,,,,,,,0.8831676585823123,0.9952078393850777,0.980010507379114,0.9362651345341026,0.9531642567482649,1.0294839067327937,0.9333596892357966
2026-08-03,,,,,,,,,,,,0.9328108172117959,0.9796002350625834,0.9621498158821296,0.9799887163168453,0.961603573077514,1.025505686778919,0.9472434146131791
2026-08-04,1.0340166666666666,0.9976,1.0212213114754098,1.0005285714285714,1.025152380952381,1.0259318181818182,1.0070615384615385,1.0323666666666667,1.011127551020408,1.004113888888889,1.04122,0.9967370600621028,0.9731409960126396,0.9643627604586584,1.0127693388776438,0.9810145028036568,1.0276140058232084,0.9691365780334262
