排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,442.0,0.45,40235.83,57.41,15.08,3.07
2,03750,宁德时代,621.0,-2.74,28731.53,11.64,29.82,6.58
3,00005,汇丰控股,163.2,1.05,28023.14,12.38,14.86,2.07
4,01398,工商银行,7.475,0.2,26641.37,9.09,6.41,0.6
5,00939,建设银行,9.18,0.05,24014.92,17.69,6.28,0.6
6,09988,阿里巴巴-W,114.2,1.51,21897.84,141.26,25.77,1.8
7,01288,农业银行,6.25,0.24,21873.94,4.33,6.64,0.68
8,00857,中国石油股份,10.06,-0.79,18411.91,4.42,10.37,1.0
9,03988,中国银行,5.545,1.09,17866.68,12.14,6.51,0.58
10,00941,中国移动,80.15,0.88,17382.3,15.55,11.57,1.04
11,03968,招商银行,49.38,-0.28,12453.56,5.55,7.38,0.97
12,00883,中国海洋石油,25.12,-1.1,11939.52,10.67,8.54,1.26
13,02318,中国平安,56.4,-0.35,10212.71,14.56,5.64,0.86
14,02899,紫金矿业,37.04,-3.64,9849.2,28.95,12.81,4.24
15,01088,中国神华,45.22,-0.92,9807.96,3.88,16.62,1.75
16,01211,比亚迪股份,93.6,0.86,8533.7,18.29,27.69,3.25
17,02628,中国人寿,28.12,-1.88,7948.04,14.31,4.92,1.17
18,01299,友邦保险,74.35,-0.34,7692.73,8.43,12.35,2.41
19,00300,美的集团,98.65,0.31,7525.81,4.42,15.19,2.85
20,01810,小米集团-W,27.76,-0.22,7150.7,22.76,19.12,2.31
21,03328,交通银行,7.535,-0.26,6658.21,1.25,6.16,0.5
22,09999,网易,199.0,2.1,6385.43,15.78,17.27,3.32
23,02359,药明康德,204.2,3.29,6051.69,10.27,24.28,6.31
24,01658,邮储银行,4.945,-0.9,5938.7,1.63,6.03,0.51
25,00981,中芯国际,67.85,1.65,5808.68,40.07,71.52,2.95
26,00386,中国石油化工股份,4.7,0.75,5683.5,10.86,14.03,0.59
27,02388,中银香港,50.4,0.1,5328.68,3.43,13.28,1.49
28,00388,香港交易所,417.8,0.0,5297.02,7.61,26.75,8.73
29,02888,渣打集团,236.4,2.16,5166.58,2.26,12.23,1.43
30,02513,智谱,1059.0,5.16,4930.95,41.32,-94.8,-4.76
31,09633,农夫山泉,43.04,-0.23,4840.48,3.92,27.55,11.08
32,03690,美团-W,77.2,-6.65,4767.47,71.32,-10.72,2.81
33,02475,立讯精密,59.4,0.93,4596.26,2.15,22.84,4.06
34,00728,中国电信,4.94,2.07,4520.45,3.11,13.27,0.83
