排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,688825,长鑫科技,50.89,88.5,,42.8,,,58.6,-0.88,141.08,92.0,48.68,92.0,55.652,,,5.3,0.85,,132.91,92.0,92.0,半导体
2,601398,工商银行,76.82,74.69,81.12,80.96,65.55,65.7,7.86,0.51,5.3,42.4,0.56,29.07,7.701,7.543,1.0,2.06,0.79,0.57,18.82,52.56,36.03,银行Ⅱ
3,601939,建设银行,80.38,84.25,95.79,74.39,73.07,90.43,10.69,1.14,5.36,40.73,0.6,32.33,10.373,10.132,1.0,3.06,0.82,0.62,9.62,50.5,40.08,银行Ⅱ
4,601288,农业银行,73.57,81.96,34.04,81.84,76.27,13.58,6.79,0.0,5.56,52.87,0.62,55.0,6.647,6.51,1.0,2.15,0.6,0.46,14.59,65.54,68.18,银行Ⅱ
5,600941,中国移动,81.34,99.81,61.23,90.51,95.02,40.42,97.86,-0.18,16.1,58.03,1.49,36.29,96.956,93.939,1.0,0.93,0.76,0.55,6.49,58.03,36.29,通信服务
6,601857,中国石油,72.32,110.09,38.64,64.12,108.1,28.94,11.23,1.35,10.43,34.27,1.16,87.07,10.923,10.229,1.0,2.81,0.91,0.61,11.1,42.48,99.5,炼化及贸易
7,601988,中国银行,88.38,98.72,101.11,84.75,84.46,84.11,6.19,0.81,5.82,72.73,0.6,61.13,5.97,5.901,1.0,3.69,0.93,0.76,14.11,88.26,75.79,银行Ⅱ
8,300750,宁德时代,2.63,59.32,26.78,1.96,84.03,45.2,368.5,-1.21,16.07,3.4,3.79,3.53,388.935,385.441,1.0,-5.25,1.26,0.91,97.07,4.21,4.13,电池
9,600938,中国海油,79.16,116.07,26.42,62.1,107.48,16.2,34.19,1.09,11.74,86.96,1.9,79.96,32.789,31.081,1.0,4.27,0.73,0.54,10.61,86.96,79.96,油气开采Ⅱ
10,600519,贵州茅台,57.88,78.85,39.27,44.08,83.66,37.09,1297.4,0.39,29.49,13.07,9.74,24.67,1315.582,1265.113,1.0,-1.38,0.54,0.36,20.86,4.38,13.06,白酒Ⅱ
11,601138,工业富联,56.33,56.81,36.09,35.73,46.12,34.58,64.04,0.28,18.26,75.07,2.98,52.0,64.033,65.508,0.0,0.01,1.66,1.14,103.15,76.61,64.46,消费电子
12,601628,中国人寿,101.86,48.66,24.7,118.24,49.25,16.2,38.27,-0.88,47.6,95.73,1.79,16.67,37.672,37.303,1.0,1.59,0.99,0.96,13.6,94.71,20.5,保险Ⅱ
13,688981,中芯国际,37.94,6.1,45.35,29.71,6.23,59.31,125.88,-0.36,149.52,66.29,6.29,87.42,126.231,137.704,0.0,-0.28,0.81,0.48,37.65,64.3,89.01,半导体
14,601088,中国神华,89.52,109.24,65.92,96.97,100.05,44.99,47.63,-0.36,13.44,99.47,1.93,99.67,45.351,43.703,1.0,5.03,1.04,0.68,10.8,99.59,99.59,煤炭开采
15,601318,中国平安,108.94,99.74,18.26,113.92,81.99,3.99,55.85,-0.04,9.94,47.53,0.87,5.67,53.594,52.148,1.0,4.21,0.51,0.59,27.71,58.84,7.02,保险Ⅱ
16,300308,中际旭创,4.49,6.66,36.07,2.54,12.13,58.78,858.35,-0.9,64.41,72.67,9.85,99.73,915.36,1069.124,0.0,-6.23,1.09,0.81,280.49,78.18,99.67,通信设备
17,600036,招商银行,82.62,83.92,68.1,97.44,79.8,44.8,39.35,-0.58,5.45,5.47,0.86,4.53,39.068,37.93,1.0,0.72,0.7,0.53,18.93,6.78,5.62,银行Ⅱ
18,601899,紫金矿业,83.77,107.97,32.62,82.11,106.77,13.67,34.65,0.23,20.06,47.13,3.65,74.0,33.504,30.1,1.0,3.42,0.7,0.67,68.4,45.54,67.77,工业金属
19,002594,比亚迪,89.05,82.62,46.84,84.43,76.87,43.25,92.32,0.91,19.09,1.53,3.94,42.07,90.657,89.388,1.0,1.83,1.05,0.69,23.01,1.9,28.18,乘用车
20,600900,长江电力,30.78,61.0,85.86,45.47,62.77,87.1,28.05,-0.18,23.08,84.4,3.14,98.27,28.135,27.529,1.0,-0.3,0.81,0.54,18.87,80.66,97.85,电力
21,600028,中国石化,100.35,100.4,13.0,90.61,84.07,-0.74,5.46,3.21,12.43,65.33,0.96,78.2,5.152,4.964,1.0,5.98,1.07,1.23,17.52,71.65,94.63,炼化及贸易
22,688256,寒武纪,45.53,0.43,43.29,38.43,-4.03,64.81,1046.63,-0.13,197.53,78.03,48.55,84.43,1081.937,1248.734,0.0,-3.26,0.89,0.78,116.37,73.06,80.91,半导体
23,000333,美的集团,87.48,76.7,87.57,91.53,69.37,83.06,86.23,0.06,14.05,37.27,2.83,24.53,84.994,81.584,1.0,1.45,0.77,0.56,14.59,38.1,30.41,白色家电
24,601328,交通银行,58.86,86.48,77.41,67.57,83.79,54.29,7.1,0.42,5.05,63.53,0.52,58.13,7.03,6.822,1.0,1.0,0.82,0.6,8.21,78.76,72.07,银行Ⅱ
25,601658,邮储银行,59.94,52.83,38.57,82.1,55.5,29.85,4.99,-0.2,7.04,70.0,0.61,14.47,4.984,4.981,1.0,0.12,0.62,0.57,4.44,77.52,17.93,银行Ⅱ
26,601728,中国电信,-9.87,95.08,56.0,-6.19,106.05,38.98,6.3,-0.79,19.37,79.54,1.22,59.49,6.408,6.025,1.0,-1.69,1.02,0.63,5.74,79.59,59.42,通信服务
27,688041,海光信息,28.28,-4.13,28.69,17.49,-6.36,57.96,245.49,-0.2,181.61,64.12,22.49,76.96,267.528,301.496,0.0,-8.24,0.95,0.92,57.28,64.12,76.96,半导体
28,300502,新易盛,7.7,14.9,40.13,9.23,23.62,62.19,399.0,-2.47,70.73,75.27,8.94,83.6,421.822,489.794,0.0,-5.41,1.05,0.78,175.48,80.08,79.67,通信设备
29,002371,北方华创,24.06,10.38,50.49,28.18,16.62,65.7,697.51,-2.85,45.08,8.33,6.57,25.67,725.388,736.609,0.0,-3.84,0.76,0.49,40.01,10.33,14.88,半导体
30,601998,中信银行,99.63,111.9,83.15,102.03,105.71,42.98,8.72,0.69,4.68,38.47,0.52,40.73,7.985,7.588,1.0,9.2,0.69,0.89,5.01,47.69,50.5,银行Ⅱ
31,603259,药明康德,7.52,81.16,87.6,13.74,94.33,89.1,157.4,-1.59,11.57,0.13,1.98,0.13,156.964,129.752,1.0,0.28,0.57,0.44,46.27,0.17,0.17,医疗服务
32,002475,立讯精密,72.42,16.66,31.57,71.11,5.47,47.48,56.6,-1.01,19.49,1.07,3.54,1.0,55.845,61.355,0.0,1.35,0.92,0.84,62.43,1.32,1.16,消费电子
33,600030,中信证券,112.83,19.76,82.22,105.53,16.87,80.77,27.93,0.0,15.66,32.07,1.22,7.87,27.658,27.772,0.0,0.98,0.88,0.82,27.18,38.84,9.17,证券Ⅱ
34,688347,华虹宏力,55.31,-2.4,46.66,48.98,-5.42,60.85,248.01,-1.86,614.67,68.78,9.11,93.94,249.947,283.283,0.0,-0.77,0.81,0.52,34.06,68.78,93.94,半导体
35,688235,百济神州,-2.33,63.07,53.04,9.63,85.11,36.44,271.7,-2.88,97.87,89.13,11.83,75.11,283.788,260.217,1.0,-4.26,0.84,0.61,10.36,89.13,75.11,化学制药
36,603993,洛阳钼业,93.63,61.27,14.38,89.96,48.05,16.35,19.51,0.0,45.5,76.2,2.49,55.13,19.232,18.747,1.0,1.45,0.67,0.72,36.29,77.85,59.59,工业金属
37,601166,兴业银行,14.58,46.87,31.81,55.78,70.22,37.54,17.43,-3.22,4.05,21.2,0.48,7.2,18.192,17.894,1.0,-4.19,2.31,2.34,42.14,26.28,8.93,银行Ⅱ
38,002384,东山精密,27.56,21.77,54.87,27.18,21.51,62.52,195.62,-2.48,12.0,1.8,1.4,1.6,195.166,220.221,0.0,0.23,0.9,0.62,111.42,2.23,1.98,元件
39,600183,生益科技,79.66,46.57,56.38,55.83,30.61,52.8,145.65,3.32,36.22,79.67,3.01,27.33,132.335,143.238,0.0,10.06,1.39,1.35,144.75,74.79,33.64,元件
40,688012,中微公司,46.35,21.83,60.25,46.36,22.36,69.3,367.0,-2.4,89.02,56.33,7.7,65.33,365.15,372.53,0.0,0.51,0.76,0.46,46.17,69.83,80.99,半导体
