排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.654,-2.78,1056.18,1056.18,71.47,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(506.95亿)；沪深300ETF华夏(406.27亿)；沪深300ETF嘉实(297.44亿)；沪深300ETF天弘(82.65亿)
2,588000,科创50ETF华夏,1.761,-6.73,830.11,830.11,108.89,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(399.41亿)；科创50ETF工银(107.41亿)；科创50ETF广发(71.05亿)
3,512880,证券ETF国泰,1.062,-1.39,630.02,630.02,20.1,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(385.22亿)；证券ETF天弘(119.55亿)；券商ETF银华(94.11亿)；证券ETF南方(78.8亿)
4,159915,创业板ETF易方达,3.498,-6.04,601.36,601.36,106.11,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(110.66亿)；创业板ETF天弘(64.1亿)
5,588200,科创芯片ETF嘉实,1.177,-7.69,494.3,494.3,50.82,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(73.85亿)
6,159516,半导体设备ETF国泰,0.736,-7.42,428.33,428.33,58.87,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(206.23亿)；半导体设备ETF广发(133.42亿)；半导体设备ETF华夏(88.81亿)
7,563360,A500ETF华泰柏瑞,1.281,-3.61,404.73,404.73,47.02,中证A500指数,指数型-股票,中证A500,A500ETF南方(340.01亿)；A500ETF易方达(278.91亿)；中证A500ETF国泰(253.78亿)；A500ETF华夏(198.57亿)
8,588170,科创半导体ETF华夏,1.022,-7.43,404.32,404.32,99.65,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(113.98亿)
9,515880,通信ETF国泰,0.652,-8.04,400.05,400.05,51.27,中证全指通信设备指数,指数型-股票,通信,
10,510500,中证500ETF南方,7.804,-4.65,386.19,386.19,38.08,中证500指数,指数型-股票,中证500,中证500ETF嘉实(84.6亿)；中证500ETF华夏(78.8亿)
11,512890,红利低波ETF华泰柏瑞,1.175,1.21,327.06,327.06,9.31,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(127.09亿)
12,159995,芯片ETF华夏,1.163,-7.99,270.99,270.99,14.03,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(63.68亿)
13,512170,医疗ETF华宝,0.344,-2.55,250.17,250.17,5.72,中证医疗指数,指数型-股票,医药,
14,512400,有色金属ETF南方,1.864,-3.57,243.93,243.93,8.62,有色金属,指数型-股票,有色金属,
15,159949,创业板50ETF华安,1.64,-6.18,239.67,239.67,24.07,创业板50指数,指数型-股票,创业板,
16,159326,电网设备ETF华夏,1.66,-5.09,207.55,207.55,8.56,中证电网设备主题指数,指数型-股票,其他,
17,510880,红利ETF华泰柏瑞,3.36,0.6,205.42,205.42,6.79,上证红利指数,指数型-股票,红利,
18,159819,人工智能ETF易方达,1.739,-7.35,202.82,202.82,8.14,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(80.34亿)
19,510050,上证50ETF华夏,2.999,-1.58,201.05,201.05,17.93,上证50指数,指数型-股票,上证50,
20,515450,红利低波50ETF南方,1.405,0.93,198.31,198.31,2.73,标普中国A股大盘红利低波50指数,指数型-股票,红利,
21,512480,半导体ETF国联安,1.045,-7.69,194.52,194.52,22.87,中证全指半导体产品与设备指数,指数型-股票,半导体,
22,512100,中证1000ETF南方,3.048,-5.14,191.33,191.33,55.62,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(65.22亿)
23,515180,红利ETF易方达,1.427,0.49,183.18,183.18,3.75,中证红利指数,指数型-股票,红利,中证红利ETF招商(114.61亿)
24,159992,创新药ETF银华,0.897,-2.39,175.96,175.96,11.59,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(116.39亿)
25,510180,上证180ETF华安,3.952,-2.15,174.5,174.5,0.72,上证180指数,指数型-股票,上证180,
26,515050,通信ETF华夏,1.012,-8.08,174.4,174.4,15.56,中证5G通信主题指数,指数型-股票,通信,
27,562500,机器人ETF华夏,0.956,-7.81,173.27,173.27,15.01,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(60.23亿)
28,159781,科创创业ETF易方达,1.102,-6.61,172.86,172.86,8.49,中证科创创业50指数,指数型-股票,科创板,科创创业50ETF华夏(56.96亿)
29,159530,机器人ETF易方达,1.337,-9.11,171.63,171.63,17.43,国证机器人产业指数,指数型-股票,机器人,
30,159201,自由现金流ETF华夏,1.175,-0.84,163.43,163.43,2.91,国证自由现金流指数,指数型-股票,货币市场,
31,512010,医药ETF易方达,0.396,-1.25,161.67,161.67,4.79,沪深300医药卫生指数,指数型-股票,医药,
