排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,99.9,26.86,38.47,109.87,21.64,49.14,4.73,-0.61,14.55,80.72,1.48,57.52
2,588000,科创50ETF华夏,104.04,6.72,42.62,104.74,5.45,56.79,1.81,-1.36,82.26,91.45,8.17,96.19
3,159915,创业板ETF易方达,101.02,19.78,32.92,102.79,10.5,50.07,3.57,0.31,44.84,56.4,5.91,70.16
4,512880,证券ETF国泰,21.47,38.71,32.45,46.38,56.24,30.68,1.09,-0.55,15.27,9.84,1.31,21.56
5,588200,科创芯片ETF嘉实,106.81,6.17,44.87,105.1,2.85,58.91,1.2,-1.32,126.09,85.34,,
6,563360,A500ETF华泰柏瑞,104.3,27.73,36.17,117.18,21.31,50.09,1.31,-0.91,16.56,88.49,,
7,510500,中证500ETF南方,110.08,28.69,39.73,119.89,17.64,47.83,7.99,-0.58,28.53,74.01,2.55,81.8
8,159516,半导体设备ETF国泰,105.96,15.66,52.36,107.35,14.79,62.77,0.74,-2.89,119.66,97.73,,
9,515880,通信ETF国泰,96.35,11.48,31.94,99.24,3.62,47.85,0.65,0.93,48.48,91.53,,
10,588170,科创半导体ETF华夏,106.27,15.75,52.21,106.42,15.69,62.23,1.02,-2.76,42.88,81.72,,
11,512890,红利低波ETF华泰柏瑞,0.95,84.75,60.92,-3.83,91.81,46.65,1.16,0.09,7.66,66.97,0.84,56.04
12,159995,芯片ETF华夏,104.58,3.96,37.29,103.18,0.94,53.97,1.19,-1.24,,,,
13,512170,医疗ETF华宝,82.93,107.79,44.89,93.04,108.2,20.43,0.35,-0.85,29.92,32.1,3.65,17.72
14,159949,创业板50ETF华安,94.32,16.21,26.09,96.05,8.21,46.66,1.67,0.42,,,,
15,512400,有色金属ETF南方,81.85,66.23,8.21,109.04,58.99,3.66,1.92,-4.86,16.41,90.39,,
16,512100,中证1000ETF南方,107.77,35.15,28.39,117.28,20.99,32.23,3.12,-0.29,32.69,70.97,2.48,51.68
17,159326,电网设备ETF华夏,95.29,16.77,25.05,107.3,9.73,39.81,1.69,-1.11,12.62,85.02,,
18,159819,人工智能ETF易方达,87.94,15.9,43.22,93.68,13.85,61.04,1.82,0.11,49.63,68.48,,
19,510880,红利ETF华泰柏瑞,78.36,107.91,71.34,80.97,101.49,52.15,3.31,-0.27,8.44,71.13,0.83,59.48
20,510050,上证50ETF华夏,80.94,69.1,38.06,99.06,76.69,37.31,3.04,-1.14,11.67,80.79,1.26,59.84
21,512480,半导体ETF国联安,106.96,5.69,40.45,107.21,0.82,56.06,1.07,-1.02,94.25,90.59,,
22,515450,红利低波50ETF南方,-2.55,77.82,63.75,-4.64,84.85,66.16,1.4,-0.28,8.24,73.28,0.84,56.04
23,562500,机器人ETF华夏,106.59,27.09,27.14,110.2,15.53,30.53,1.02,0.99,55.1,63.04,,
24,159530,机器人ETF易方达,105.75,24.44,23.41,107.97,12.41,21.54,1.43,2.07,,,,
25,159992,创新药ETF银华,98.34,98.16,82.71,103.2,90.41,46.78,0.92,0.33,30.98,47.23,,
26,515180,红利ETF易方达,65.32,108.67,52.82,72.61,101.98,39.06,1.42,-0.63,8.3,55.76,0.82,44.96
27,510180,上证180ETF华安,92.31,58.93,36.33,112.38,53.75,36.29,4.02,-1.2,12.28,71.96,1.24,47.96
28,159781,科创创业ETF易方达,95.51,7.64,36.87,97.89,2.82,55.73,1.13,-0.35,44.28,63.62,,
29,515050,通信ETF华夏,97.37,11.87,37.37,101.18,4.64,52.09,1.02,0.1,49.0,94.07,,
30,510210,上证指数ETF富国,100.28,55.03,24.93,113.51,41.55,25.12,1.0,-0.79,15.51,76.29,,
31,512010,医药ETF易方达,83.85,105.83,77.69,94.87,110.34,43.6,0.4,-1.23,24.92,11.42,,
32,517520,黄金股ETF永赢,71.92,101.05,6.08,100.44,107.33,-6.0,2.04,-5.94,22.14,60.02,,
33,159201,自由现金流ETF华夏,69.44,110.8,18.05,63.88,96.86,11.78,1.19,0.17,,,,
34,159928,消费ETF汇添富,39.8,101.03,34.98,46.19,99.96,24.44,0.68,-1.45,20.52,23.29,3.64,5.68
35,159206,卫星ETF永赢,99.85,29.11,5.58,117.5,23.1,14.25,1.4,-3.51,,,,
36,159870,化工ETF鹏华,80.35,54.41,21.12,104.4,45.31,26.76,0.82,-2.73,23.07,61.82,,
37,512070,证券保险ETF易方达,-7.47,64.47,11.58,6.41,82.54,10.48,0.79,-1.0,9.69,1.88,,
38,512690,酒ETF鹏华,42.52,101.11,29.07,49.32,96.7,20.54,0.44,-1.12,19.96,21.48,,
39,515220,煤炭ETF国泰,96.83,82.61,39.95,104.42,45.56,29.77,1.26,-0.16,18.61,86.96,1.76,96.2
40,513630,港股低波红利ETF摩根,11.97,79.12,33.31,-0.17,77.02,29.03,1.58,0.0,,,,
