排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.728,-0.65,1175.44,1175.44,25.41,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(528.7亿)；沪深300ETF华夏(429.96亿)；沪深300ETF嘉实(312.65亿)；沪深300ETF天弘(88.91亿)
2,588000,科创50ETF华夏,1.806,-1.58,895.32,895.32,58.44,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(416.49亿)；科创50ETF工银(109.65亿)；科创50ETF广发(78.02亿)
3,159915,创业板ETF易方达,3.565,0.17,662.18,662.18,53.56,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(114.91亿)；创业板ETF天弘(63.82亿)
4,512880,证券ETF国泰,1.093,-0.55,634.34,634.34,15.19,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(392.98亿)；证券ETF天弘(120.06亿)；券商ETF银华(98.17亿)；证券ETF南方(81.34亿)
5,588200,科创芯片ETF嘉实,1.196,-1.64,511.65,511.65,31.88,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(73.84亿)
6,563360,A500ETF华泰柏瑞,1.306,-0.91,434.45,434.45,46.58,中证A500指数,指数型-股票,中证A500,A500ETF南方(354.67亿)；A500ETF易方达(287.95亿)；中证A500ETF国泰(278.88亿)；A500ETF华夏(211.04亿)
7,510500,中证500ETF南方,7.989,-0.6,428.7,428.7,17.56,中证500指数,指数型-股票,中证500,中证500ETF嘉实(90.85亿)；中证500ETF华夏(84.72亿)
8,159516,半导体设备ETF国泰,0.739,-3.02,415.17,415.17,46.42,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(199.3亿)；半导体设备ETF广发(123.18亿)；半导体设备ETF华夏(84.32亿)
9,515880,通信ETF国泰,0.646,0.31,398.55,398.55,27.74,中证全指通信设备指数,指数型-股票,通信,
10,588170,科创半导体ETF华夏,1.018,-2.96,390.58,390.58,67.16,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(108.18亿)
11,512890,红利低波ETF华泰柏瑞,1.163,0.09,320.38,320.38,6.63,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(123.41亿)
