排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,00700,腾讯控股,434.0,-0.32,39507.72,76.68,14.8,3.02,9.9663537853,0.0,0.0,0.0,0.0
2,00005,汇丰控股,166.0,0.67,28485.72,10.39,15.11,2.1,7.4073136207,0.0,0.0,0.0,0.0
3,01398,工商银行,7.545,0.47,26890.85,6.9,6.35,0.59,4.052663012,0.0,0.0,0.0,0.0
4,03750,宁德时代,562.0,0.0,26002.45,15.13,26.99,5.95,12.0827161258,0.0,0.0,0.0,0.0
5,00939,建设银行,9.61,0.52,25139.8,18.34,6.4,0.61,4.5376835479,0.0,0.0,0.0,0.0
6,01288,农业银行,6.3,0.0,22048.93,5.19,6.53,0.67,4.4593032714000005,0.0,0.0,0.0,0.0
7,09988,阿里巴巴-W,109.8,0.27,21833.72,51.1,25.7,1.73,0.9987987878,0.0,0.0,0.0,0.0
8,00857,中国石油股份,10.43,0.77,19089.09,7.66,9.52,1.01,6.3861639668,0.0,0.0,0.0,0.0
9,03988,中国银行,5.915,0.68,19058.86,7.4,6.75,0.6,4.0097334841,0.0,0.0,0.0,0.0
10,00941,中国移动,78.95,0.06,17125.0,6.6,11.39,1.02,5.4714246402,0.0,0.0,0.0,0.0
11,03308,中际旭创,1173.0,1.03,13816.88,22.95,59.32,28.51,39.2137408195,0.0,0.0,0.0,0.0
12,03968,招商银行,51.85,-0.1,13076.49,7.19,7.6,0.99,5.8401593944,0.0,0.0,0.0,0.0
13,00883,中国海洋石油,25.82,-0.15,12272.23,20.59,7.78,1.25,10.3469728793,0.0,0.0,0.0,0.0
14,01088,中国神华,46.86,2.72,10163.67,4.86,16.3,1.92,6.342903654400001,0.0,0.0,0.0,0.0
15,02318,中国平安,55.45,0.36,10040.69,17.91,5.54,0.85,9.1284065146,0.0,0.0,0.0,0.0
16,02899,紫金矿业,37.6,1.73,9998.11,12.61,13.0,4.3,20.0147693811,0.0,0.0,0.0,0.0
17,02628,中国人寿,29.48,-0.47,8332.44,10.1,2.97,1.09,21.35749495,0.0,0.0,0.0,0.0
18,01299,友邦保险,76.95,0.07,7961.74,18.33,12.78,2.5,10.2330680139,0.0,0.0,0.0,0.0
19,00300,美的集团,98.65,0.31,7526.23,5.05,14.88,3.06,12.1289184915,0.0,0.0,0.0,0.0
20,01211,比亚迪股份,81.8,-2.44,7457.87,22.67,22.4,2.7,4.861201831100001,0.0,0.0,0.0,0.0
21,03328,交通银行,7.89,0.38,6971.9,2.61,6.31,0.52,3.737201525,0.0,0.0,0.0,0.0
22,01810,小米集团-W,26.38,-2.01,6795.3,31.71,18.17,2.19,5.2939105732,0.0,0.0,0.0,0.0
23,01658,邮储银行,5.33,-0.65,6401.07,1.02,6.27,0.53,4.3711714694,0.0,0.0,0.0,0.0
24,00386,中国石油化工股份,4.92,0.1,5949.54,4.26,14.69,0.61,3.1847966031,0.0,0.0,0.0,0.0
25,09999,网易,183.2,-2.66,5878.45,11.71,15.9,3.06,10.7852666043,0.0,0.0,0.0,0.0
26,02359,药明康德,193.2,-1.13,5802.89,4.62,23.28,5.97,13.5914693084,0.0,0.0,0.0,0.0
27,00981,中芯国际,65.0,-0.54,5565.47,26.29,68.53,2.82,2.904731861,0.0,0.0,0.0,0.0
28,02388,中银香港,51.95,0.58,5492.56,6.24,13.17,1.52,6.5877436166,0.0,0.0,0.0,0.0
29,02888,渣打集团,242.6,1.34,5292.14,1.8,12.53,1.46,6.6700750452,0.0,0.0,0.0,0.0
30,00388,香港交易所,400.4,-0.4,5076.42,8.86,25.63,8.37,17.7907965287,0.0,0.0,0.0,0.0
31,03690,美团-W,77.8,-3.47,4804.53,24.88,-11.26,2.47,-2.9180030463,0.0,0.0,0.0,0.0
32,02475,立讯精密,61.9,3.51,4789.75,1.61,23.8,4.23,8.785947626899999,0.0,0.0,0.0,0.0
33,00998,中信银行,8.39,0.18,4668.63,1.78,5.73,0.54,4.4222819408,0.0,0.0,0.0,0.0
34,09633,农夫山泉,40.58,-1.27,4563.82,2.79,23.47,10.67,23.1923670815,0.0,0.0,0.0,0.0
35,02259,紫金黄金国际,163.2,2.0,4367.79,10.26,22.11,5.96,16.3776706455,0.0,0.0,0.0,0.0
36,02513,智谱,913.5,-0.27,4253.47,31.26,-84.93,80.09,112.7113004271,0.0,0.0,0.0,0.0
37,00728,中国电信,4.55,-0.66,4163.57,2.73,12.23,0.77,4.2002292243,0.0,0.0,0.0,0.0
38,06030,中信证券,25.82,0.47,4034.19,3.04,8.95,1.12,6.958091817000001,0.0,0.0,0.0,0.0
39,00992,联想集团,32.42,6.79,4024.87,31.42,64.46,7.11,-8.1975118141,0.0,0.0,0.0,0.0
40,00267,中信股份,13.78,1.92,4008.64,2.56,5.76,0.43,4.2655899518,0.0,0.0,0.0,0.0
41,03993,洛阳钼业,17.8,1.08,3808.19,5.37,12.05,3.69,18.7382109913,0.0,0.0,0.0,0.0
42,02328,中国财险,16.83,-0.41,3743.46,3.8,6.8,1.07,10.9540719938,0.0,0.0,0.0,0.0
43,00016,新鸿基地产,118.3,-1.25,3428.07,6.7,15.58,0.55,1.6533406048,0.0,0.0,0.0,0.0
44,03986,兆易创新,480.4,-1.07,3381.88,7.48,37.21,7.85,24.3618478864,0.0,0.0,0.0,0.0
45,06809,澜起科技,271.4,-1.67,3312.54,6.42,94.54,13.39,11.5991871723,0.0,0.0,0.0,0.0
46,06160,百济神州,208.6,-1.97,3217.21,7.3,62.79,7.92,9.7400031378,0.0,0.0,0.0,0.0
47,01276,恒瑞医药,45.94,-0.82,3049.13,0.83,34.65,4.11,7.102739472,0.0,0.0,0.0,0.0
48,02338,潍柴动力,34.02,6.45,2939.4,7.08,19.89,2.66,8.1369210579,0.0,0.0,0.0,0.0
49,02601,中国太保,29.3,-0.68,2818.76,2.75,4.4,0.77,9.9060255352,0.0,0.0,0.0,0.0
50,00001,长和,70.35,1.44,2694.44,3.92,7.13,0.47,4.6967757312,0.0,0.0,0.0,0.0
51,02378,保诚,106.7,-0.28,2659.85,0.04,9.38,1.73,4.7795591182,0.0,0.0,0.0,0.0
52,02611,国泰海通,15.04,1.14,2644.19,1.72,7.17,0.7,5.7601224554,0.0,0.0,0.0,0.0
53,01339,中国人民保险集团,5.855,-0.76,2589.31,3.39,3.98,0.66,11.5194857125,0.0,0.0,0.0,0.0
54,01919,中远海控,16.89,2.05,2578.79,3.4,8.49,0.96,5.7476166698,0.0,0.0,0.0,0.0
55,09888,百度集团-W,92.2,2.96,2520.34,30.61,-68.73,0.8,2.1424243888,0.0,0.0,0.0,0.0
56,00669,创科实业,131.7,0.15,2406.88,9.03,23.64,4.12,10.2516830983,0.0,0.0,0.0,0.0
57,01378,中国宏桥,24.46,4.0,2401.82,9.29,7.67,1.57,12.9546453199,0.0,0.0,0.0,0.0
58,06951,三环集团,116.4,-1.02,2324.18,1.65,61.7,8.56,8.7222563948,0.0,0.0,0.0,0.0
59,02714,牧原股份,39.42,-0.25,2275.26,0.95,-162.76,2.5,-7.6992811818,0.0,0.0,0.0,0.0
60,01109,华润置地,30.06,-1.25,2143.56,4.75,8.11,0.64,3.3840657433,0.0,0.0,0.0,0.0
61,03692,翰森制药,34.8,-3.55,2110.32,5.73,27.71,4.85,11.6444531106,0.0,0.0,0.0,0.0
62,09992,泡泡玛特,156.1,0.26,2078.91,5.67,13.92,7.83,22.2264851354,0.0,0.0,0.0,0.0
63,02476,胜宏科技,211.4,2.22,2077.61,5.63,36.37,4.76,10.478419101,0.0,0.0,0.0,0.0
64,00066,港铁公司,33.1,0.42,2060.42,1.25,9.02,1.01,8.0062750795,0.0,0.0,0.0,0.0
65,02020,安踏体育,73.5,-3.23,2055.54,10.36,11.26,2.49,13.803790331400002,0.0,0.0,0.0,0.0
66,02269,药明生物,48.84,-0.93,2029.17,10.64,35.74,3.66,5.1192520988,0.0,0.0,0.0,0.0
67,00002,中电控股,79.05,2.33,1997.16,3.43,18.42,1.81,5.5000183426,0.0,0.0,0.0,0.0
68,06690,海尔智家,21.06,-0.75,1959.23,1.6,9.64,1.43,8.6552337484,0.0,0.0,0.0,0.0
69,01347,华虹宏力,111.6,0.54,1939.3,16.11,241.71,3.46,0.8663995917999999,0.0,0.0,0.0,0.0
70,06031,三一重工,20.26,2.07,1862.91,0.51,18.37,1.76,6.3079169081,0.0,0.0,0.0,0.0
71,00175,吉利汽车,16.6,-1.89,1790.4,5.89,9.44,1.64,9.7138448665,0.0,0.0,0.0,0.0
72,00762,中国联通,5.775,0.7,1767.04,5.29,9.78,0.41,2.5538526275,0.0,0.0,0.0,0.0
73,01801,信达生物,98.2,-2.0,1713.44,14.36,119.93,7.15,6.2497601434000005,0.0,0.0,0.0,0.0
74,01113,长实集团,48.1,2.3,1683.39,4.41,12.73,0.42,2.1803216119,0.0,0.0,0.0,0.0
75,01038,长江基建集团,66.3,1.77,1670.5,0.88,6.64,1.13,15.4089885767,0.0,0.0,0.0,0.0
76,06818,中国光大银行,2.81,-1.23,1660.3,0.77,4.42,0.28,3.0741502589,0.0,0.0,0.0,0.0
77,03288,海天味业,27.92,-1.34,1633.61,0.53,19.62,3.63,10.420282621,0.0,0.0,0.0,0.0
78,06936,顺丰控股,30.78,-0.65,1616.66,0.53,13.09,1.37,5.4448505078,0.0,0.0,0.0,0.0
79,00788,中国铁塔,9.11,-0.38,1603.44,2.12,10.56,0.68,3.6566222263,0.0,0.0,0.0,0.0
80,06886,华泰证券,17.68,1.14,1595.95,1.54,6.84,0.78,5.5268129494,0.0,0.0,0.0,0.0
81,01816,中广核电力,3.105,0.49,1567.99,1.15,13.85,1.1,4.8075938509,0.0,0.0,0.0,0.0
82,01766,中国中车,5.385,-0.46,1545.43,0.6,9.75,0.76,4.584387216400001,0.0,0.0,0.0,0.0
83,02423,贝壳-W,44.96,-1.88,1544.72,8.19,28.53,2.06,5.8781826801,0.0,0.0,0.0,0.0
84,01898,中煤能源,11.57,1.4,1534.03,2.06,8.79,0.8,5.0138541572,0.0,0.0,0.0,0.0
85,02600,中国铝业,8.9,2.17,1526.79,3.71,7.65,1.57,14.8924941754,0.0,0.0,0.0,0.0
86,06869,长飞光纤光缆,183.6,7.24,1520.03,66.94,38.54,8.07,19.3870784704,0.0,0.0,0.0,0.0
87,01988,民生银行,3.46,0.96,1514.87,1.1,4.61,0.23,2.8021344815,0.0,0.0,0.0,0.0
88,01888,建滔积层板,48.0,4.76,1512.7,29.96,34.42,8.25,16.6475217964,0.0,0.0,0.0,0.0
89,01336,新华保险,48.1,0.71,1500.5,2.57,2.99,1.05,19.3882324921,0.0,0.0,0.0,0.0
90,09973,奇瑞汽车,25.24,0.96,1466.09,0.46,7.23,2.35,16.3366100628,0.0,0.0,0.0,0.0
91,00027,银河娱乐,33.22,-1.48,1454.78,3.94,13.58,1.72,6.2950651365,0.0,0.0,0.0,0.0
92,03606,福耀玻璃,55.6,0.09,1451.02,1.78,15.1,3.3,10.4822414191,0.0,0.0,0.0,0.0
93,01972,太古地产,24.84,0.32,1430.16,0.66,43.34,0.53,1.3435185682,0.0,0.0,0.0,0.0
94,01776,广发证券,18.15,1.34,1420.21,0.6,6.61,0.89,7.000162719,0.0,0.0,0.0,0.0
95,00688,中国海外发展,12.96,-0.38,1418.46,3.29,11.15,0.31,1.8012087869,0.0,0.0,0.0,0.0
96,01024,快手-W,32.32,-2.18,1398.48,17.97,7.85,1.48,7.477270901200001,0.0,0.0,0.0,0.0
97,01377,鼎泰高科,328.0,-2.5,1390.87,0.55,127.97,37.53,23.5340532533,0.0,0.0,0.0,0.0
98,01171,兖矿能源,13.79,2.76,1384.08,4.9,10.64,1.58,7.5364685554,0.0,0.0,0.0,0.0
99,00003,香港中华煤气,7.33,0.41,1367.77,1.44,21.49,2.27,6.0920679946,0.0,0.0,0.0,0.0
100,00358,江西铜业股份,39.28,2.29,1360.16,5.85,10.06,1.35,10.5349612556,0.0,0.0,0.0,0.0
101,00012,恒基地产,,,,,,,,,,,
102,06099,招商证券,,,,,,,,,,,
103,06613,蓝思科技,,,,,,,,,,,
