排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,688825,长鑫科技,67.77,,,30.32,,,55.18,4.35,130.89,100.0,45.16,100.0
2,601398,工商银行,19.11,58.58,65.35,12.89,71.21,65.7,7.56,-0.53,7.26,87.85,0.68,53.23
3,601939,建设银行,73.09,63.78,82.65,44.31,69.52,90.43,10.24,-0.58,7.84,96.17,0.76,69.49
4,601288,农业银行,20.81,64.48,21.9,17.89,75.8,13.57,6.47,-1.37,7.69,89.0,0.8,75.32
5,600941,中国移动,49.72,99.93,60.65,20.01,89.76,40.42,97.71,1.66,16.08,57.3,1.49,35.81
6,601857,中国石油,17.0,101.79,29.49,12.4,109.4,28.93,10.66,0.95,12.33,54.04,1.2,85.13
7,601988,中国银行,67.19,65.97,82.4,57.87,65.67,84.11,5.88,-1.18,7.72,95.89,0.69,79.29
8,300750,宁德时代,40.03,81.18,40.65,40.11,65.41,45.2,393.93,-0.6,21.44,16.36,4.8,31.07
9,600519,贵州茅台,79.87,108.16,48.19,85.74,101.74,37.09,1341.99,-0.98,20.28,9.56,6.19,2.77
10,600938,中国海油,76.03,91.17,19.91,80.18,65.82,16.2,32.67,0.12,12.46,90.65,1.85,77.1
11,601138,工业富联,66.34,48.86,40.54,69.98,34.88,34.58,66.19,1.47,28.0,87.87,7.47,93.91
12,688981,中芯国际,99.23,11.96,51.73,84.37,5.99,59.31,132.87,2.65,225.45,94.11,7.59,94.24
13,300308,中际旭创,51.19,7.22,43.29,41.95,0.39,58.78,943.0,2.38,73.79,79.15,31.0,97.32
14,601628,中国人寿,3.2,59.38,19.03,16.49,82.26,16.2,36.84,-1.66,7.19,3.87,1.74,11.76
15,600036,招商银行,-7.59,81.55,58.69,1.9,94.05,44.8,38.46,-0.8,6.43,22.72,0.86,7.22
16,601088,中国神华,89.2,81.32,47.74,73.66,65.11,44.99,44.72,0.86,18.81,97.23,2.02,90.96
17,601318,中国平安,-7.56,78.07,6.1,-0.78,96.25,3.99,51.75,-1.99,7.06,3.54,0.92,15.02
18,601899,紫金矿业,2.66,98.31,22.81,11.05,112.95,13.67,32.53,0.99,14.02,13.44,4.38,82.31
19,002594,比亚迪,0.97,78.53,39.07,8.85,91.89,43.25,88.9,-0.9,29.42,27.64,3.49,28.65
20,600900,长江电力,40.88,68.54,86.61,38.23,74.84,87.1,28.1,-0.5,19.05,50.41,3.02,71.59
21,688256,寒武纪,41.0,2.58,47.0,48.95,7.78,64.81,1093.0,-1.13,206.1,78.49,50.66,88.47
22,688041,海光信息,68.65,6.7,42.55,82.24,15.11,57.96,280.99,-1.75,207.87,75.39,25.74,88.47
23,000333,美的集团,0.75,69.8,75.96,19.04,81.83,83.06,83.03,-1.38,14.33,48.97,2.73,36.44
24,300502,新易盛,95.33,18.41,50.33,76.63,7.45,62.19,448.08,4.23,58.17,61.21,30.66,97.37
25,601328,交通银行,5.41,74.18,63.31,8.58,86.74,54.29,6.88,-0.72,6.31,83.02,0.52,47.11
26,600028,中国石化,5.54,86.3,2.97,3.06,105.02,-0.74,5.0,0.2,17.01,84.89,0.73,32.47
27,601728,中国电信,85.09,110.31,65.78,49.6,92.77,38.98,6.57,2.18,18.98,77.71,1.28,70.01
28,601658,邮储银行,-1.56,57.78,32.06,1.49,78.87,29.85,4.92,-0.61,6.72,55.99,0.57,5.12
29,002371,北方华创,82.06,23.83,56.36,88.95,29.39,65.7,738.66,0.01,96.13,46.58,13.64,85.8
30,603259,药明康德,81.12,99.81,94.79,91.03,101.9,89.1,159.24,-1.9,21.93,31.29,5.7,50.0
31,688235,百济神州,63.31,89.12,63.99,74.43,96.25,36.44,287.71,-1.53,103.64,90.1,13.43,82.85
32,688347,华虹宏力,73.33,4.6,47.95,103.19,13.52,60.85,253.24,-8.57,891.88,79.4,9.73,95.09
33,002475,立讯精密,68.96,9.95,31.53,59.07,7.37,47.48,56.58,0.93,25.43,32.9,4.96,38.69
34,601998,中信银行,60.3,88.76,50.64,45.11,82.03,42.98,7.7,0.13,6.02,69.25,0.58,60.4
35,600030,中信证券,5.48,35.32,74.83,20.18,65.14,80.77,27.31,-1.9,12.67,8.13,1.46,44.91
36,603993,洛阳钼业,-10.76,58.05,7.7,-7.38,81.49,16.35,18.44,0.16,16.33,21.62,4.44,89.96
37,601166,兴业银行,-6.0,76.73,43.26,-6.73,91.74,37.54,18.03,-0.77,4.92,32.71,0.46,6.12
38,002384,东山精密,98.21,15.78,58.35,98.68,2.02,62.52,205.19,1.52,184.22,96.84,16.6,97.42
39,688012,中微公司,93.93,29.35,62.11,94.71,32.66,69.3,374.85,1.2,131.57,71.6,14.77,77.96
40,600276,恒瑞医药,32.3,67.46,33.05,63.12,83.43,27.32,52.62,-2.12,43.01,4.4,5.49,2.87
41,600183,生益科技,92.44,29.86,55.04,98.45,13.54,52.8,143.21,1.04,88.55,98.66,19.4,98.66
42,002415,海康威视,-12.48,70.23,77.49,-8.02,96.92,92.46,34.88,-2.19,19.45,8.94,3.79,22.48
43,601211,国泰海通,42.71,32.66,45.94,51.62,53.21,40.02,17.95,-1.1,14.37,58.01,0.97,30.13
44,300059,东方财富,-13.3,46.53,26.55,-4.92,63.06,26.6,19.47,-1.57,23.5,4.3,3.22,10.47
45,601319,中国人保,1.71,59.45,4.59,11.37,85.82,3.83,6.86,-2.42,7.12,4.79,0.95,11.39
46,600000,浦发银行,-5.9,79.42,22.59,-4.12,90.71,16.38,9.1,-0.87,5.92,65.09,0.4,27.02
47,688802,沐曦股份-U,76.98,11.21,62.34,79.48,9.91,68.52,748.0,0.13,-456.37,22.5,22.85,71.88
