排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
88,300274,阳光电源,-3.56,2.58,-9.84,-3.13,7.13,8.79,91.5,-6.34,17.27,28.88,3.78,34.87,110.782,122.927,0.0,-17.41,1.85,1.91,101.13,33.31,7.69,光伏设备,三周期共振超卖 / 估值+超卖双低
47,600276,恒瑞医药,4.79,-11.11,8.04,12.77,2.39,27.32,46.07,-2.64,39.58,2.19,4.74,0.05,50.986,51.844,0.0,-9.64,1.2,1.03,41.27,3.8,0.08,化学制药,三周期共振超卖 / 估值+超卖双低
38,601166,兴业银行,3.31,30.8,33.91,14.58,46.87,37.54,17.54,0.63,4.92,32.64,0.44,3.28,18.114,17.885,1.0,-3.17,0.94,1.21,22.73,53.88,5.7,银行Ⅱ,多头回踩MA20
63,601816,京沪高铁,31.45,69.84,77.06,21.76,75.68,63.53,4.89,0.62,17.56,1.43,1.14,2.74,4.938,4.789,1.0,-0.97,1.08,0.84,6.53,1.9,3.64,铁路公路,多头回踩MA20
90,600406,国电南瑞,35.86,47.05,9.92,42.67,53.27,18.36,22.97,-0.17,21.96,14.65,3.54,28.78,23.631,23.171,1.0,-2.8,1.01,0.57,7.97,1.32,3.64,电网设备,多头回踩MA20
27,601728,中国电信,9.01,89.04,58.54,-9.87,95.08,38.98,6.37,1.11,19.59,80.62,1.24,62.15,6.403,6.031,1.0,-0.52,1.2,0.73,6.5,80.66,62.07,通信服务,多头回踩MA20
31,603259,药明康德,6.88,70.9,85.29,7.52,81.16,89.1,154.78,-1.66,21.41,29.19,5.57,48.79,158.278,130.722,1.0,-2.21,1.05,0.74,72.83,48.76,75.62,医疗服务,估值+超卖双低 / 多头回踩MA20
95,601668,中国建筑,32.01,35.29,36.05,82.75,60.92,36.68,4.33,-2.91,5.65,77.83,0.36,0.05,4.463,4.437,1.0,-2.98,2.12,1.76,18.55,100.0,0.08,房屋建设Ⅱ,多头回踩MA20
19,002594,比亚迪,28.73,47.75,37.48,89.05,82.62,43.25,88.2,-4.46,27.32,24.12,3.35,26.59,90.344,89.314,1.0,-2.37,2.54,1.84,56.93,41.9,1.16,乘用车,多头回踩MA20
98,600025,华能水电,14.87,39.81,58.39,31.61,52.7,63.41,9.55,-0.1,21.51,75.69,2.54,70.36,9.691,9.591,1.0,-1.45,0.76,0.77,2.22,78.84,48.51,电力,多头回踩MA20
