排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,688825,长鑫科技,4.16,78.7,,11.3,88.5,,54.8,-1.35,45.47,6.67,27.61,56.67,56.175,,,-2.45,0.79,,111.25,6.67,56.67,半导体
2,601398,工商银行,68.4,88.8,101.12,75.4,74.69,92.17,8.13,0.37,7.74,95.87,0.73,69.9,7.822,7.592,1.0,3.94,0.72,0.63,19.88,97.02,94.55,银行Ⅱ
3,601939,建设银行,66.29,92.19,103.26,74.91,84.25,104.26,10.98,0.27,8.29,97.77,0.8,74.69,10.596,10.201,1.0,3.62,0.65,0.53,8.19,99.67,99.83,银行Ⅱ
4,601288,农业银行,56.62,93.82,60.32,61.98,81.96,38.97,6.96,1.02,8.18,93.49,0.85,86.56,6.743,6.542,1.0,3.22,0.77,0.58,17.65,88.68,88.18,银行Ⅱ
5,600941,中国移动,91.98,105.51,97.96,100.69,99.81,65.84,100.3,-0.23,16.51,72.44,1.53,41.61,97.817,94.232,1.0,2.54,0.65,0.59,6.42,72.44,41.61,通信服务
6,601988,中国银行,74.64,99.08,104.3,81.87,98.72,103.35,6.57,0.46,8.5,99.91,0.77,94.35,6.162,5.948,1.0,6.62,0.76,0.84,15.97,99.83,99.83,银行Ⅱ
7,601857,中国石油,39.41,100.79,45.19,50.44,110.09,41.68,11.17,-0.36,11.61,50.09,1.25,91.69,11.048,10.316,1.0,1.1,0.77,0.66,10.27,83.39,90.91,炼化及贸易
8,600519,贵州茅台,84.91,86.33,46.79,68.6,78.85,39.7,1330.0,2.4,20.42,11.73,6.62,4.27,1311.277,1270.427,1.0,1.43,2.06,1.23,60.23,20.41,7.27,白酒Ⅱ
9,300750,宁德时代,1.0,24.56,8.21,-3.28,59.32,24.09,351.0,0.43,19.11,10.54,4.28,13.69,379.269,382.295,0.0,-7.45,0.9,0.86,80.2,17.36,20.5,电池
10,600938,中国海油,28.35,102.02,30.81,38.16,116.07,28.65,33.41,-0.06,11.48,85.04,1.85,76.67,33.462,31.041,1.0,-0.16,0.74,0.61,10.3,85.04,76.67,油气开采Ⅱ
11,601138,工业富联,64.8,65.24,37.94,58.28,56.81,37.74,63.69,0.78,26.94,86.91,7.19,91.81,63.947,64.838,0.0,-0.4,1.31,1.01,83.37,78.68,87.69,消费电子
