排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
6,601988,中国银行,97.41,107.7,103.35,88.38,98.72,84.11,6.51,5.17,8.42,99.95,0.76,94.05,5.995,5.911,1.0,8.59,1.96,1.71,31.99,99.92,99.83,银行Ⅱ,三周期共振超买 / 高位+估值顶区
53,601225,陕西煤业,105.02,114.05,86.58,95.75,109.43,52.37,27.62,2.03,13.13,92.53,2.65,95.67,25.7,24.284,1.0,7.47,1.34,1.16,13.67,87.02,92.48,煤炭开采,三周期共振超买 / 高位+估值顶区
66,600188,兖矿能源,104.58,116.94,62.34,91.91,108.42,46.98,23.62,2.61,22.17,96.91,3.08,94.53,21.705,20.337,1.0,8.82,1.18,0.94,13.01,94.63,90.5,煤炭开采,高位+估值顶区
78,601898,中煤能源,106.52,120.69,33.64,102.62,110.48,12.17,16.19,5.4,11.71,64.08,1.29,96.91,14.236,13.753,1.0,13.73,1.15,1.18,9.69,94.63,94.63,煤炭开采,高位+估值顶区
77,003816,中国广核,116.66,105.69,39.72,119.91,80.59,33.87,4.27,0.71,21.73,89.83,1.74,79.37,3.978,3.991,0.0,7.34,0.85,1.12,5.39,89.01,82.31,电力,高位+估值顶区
3,601939,建设银行,95.37,101.52,104.26,80.38,84.25,90.43,10.98,2.71,8.29,97.86,0.8,74.74,10.4,10.148,1.0,5.58,1.36,1.06,16.34,99.83,100.0,银行Ⅱ,三周期共振超买 / 高位+估值顶区
14,601088,中国神华,93.53,114.3,73.1,89.52,109.24,44.99,48.78,2.41,19.6,99.0,2.35,99.38,45.603,43.724,1.0,6.97,1.74,1.22,19.22,98.26,98.93,煤炭开采,高位+估值顶区
9,600938,中国海油,91.84,118.4,28.65,79.16,116.07,16.2,34.71,1.52,11.92,87.44,1.93,82.25,32.933,31.082,1.0,5.4,1.14,0.8,15.79,87.44,82.25,油气开采Ⅱ,高位+估值顶区
30,601998,中信银行,96.03,111.92,82.25,99.63,111.9,42.98,8.85,1.49,6.86,91.06,0.66,75.4,8.033,7.616,1.0,10.17,0.9,1.16,6.59,98.18,96.86,银行Ⅱ,三周期共振超买 / 高位+估值顶区
71,000001,平安银行,98.99,105.95,101.59,96.4,100.39,72.1,11.72,0.6,5.23,35.54,0.49,12.94,11.369,10.973,1.0,3.09,0.88,0.78,10.63,61.74,22.48,银行Ⅱ,三周期共振超买
23,600028,中国石化,100.41,105.14,13.0,100.35,100.4,-0.74,5.46,0.0,18.36,87.35,0.78,39.87,5.162,4.975,1.0,5.77,0.72,0.89,12.79,87.85,37.77,炼化及贸易,高位+估值顶区
