信号日,三周期共振偏弱(均<50),三周期共振偏强(均>50),三周期共振超买(均>80),三周期共振超卖(均<20),全样本(基准),分化-日低周高,分化-日高周低
2026-07-31,1.005,0.9885235294117647,0.98676,,0.992881,0.9973916666666667,0.9843181818181819
2026-08-04,1.0310614772727271,0.9948642017647058,1.010220219,,1.0036259581820002,1.0012141028378378,1.0248917772727273
2026-08-05,1.0283733527069805,0.9869337128420672,1.003072910950575,,0.9942420554729985,0.9928398453930762,1.0144525224556493
2026-08-06,1.0292903189464777,1.017071079582399,1.0266116885942151,,1.0045821728499176,0.9927984770661848,1.0594942144526802
2026-08-07,1.024821483478385,1.0341486276186598,1.041723412650322,,1.0114645653161123,1.0036305421521325,1.0512879501734649
2026-08-10,1.0164948089251231,1.0252475626452278,1.0301602827699035,0.989,1.0005114155383041,0.9937151285913705,1.0255664383258876
2026-08-11,1.0276254270828533,1.0245093844001232,1.0333022716323517,0.9780221,1.0010717019310056,0.985279121435882,1.0514946225530175
2026-08-12,1.0273787969803534,1.0414479395555385,1.1135554147291309,0.9987561685200002,1.0000726323724785,0.9850506205332511,1.0468470163213333
2026-08-13,1.0183321559069431,1.0199089026238217,1.0909502398101296,0.9981569148188881,0.9926060900991855,0.980535470137909,1.0381930809864102
2026-08-14,1.0410104130189908,1.0338612564117156,1.0936412504016613,,1.0061740227447513,0.989566201817879,1.0742183808966386
2026-08-17,1.0308175632358658,1.0368271458910467,1.0969768562153863,0.9945136420797992,1.0012679182098478,0.9874905263701634,1.0180367595757445
