市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
HK,2026-07-31,001766,中国中车,80,1,5.26,5.17,-1.71,1,False,92.78,63.64,15.83,9.99,,0.76,,全样本(基准)
HK,2026-07-31,001776,广发证券,92,1,17.08,16.97,-0.64,1,False,26.98,45.87,36.21,7.63,,0.86,,全样本(基准)
HK,2026-07-31,001801,信达生物,81,1,86.7,86.8,0.12,1,False,6.28,67.29,37.52,167.57,,7.02,,全样本(基准)
HK,2026-07-31,001810,小米集团-W,20,1,28.78,28.14,-2.22,1,False,56.37,80.06,14.57,18.77,,2.48,,全样本(基准)
HK,2026-07-31,001816,中广核电力,86,1,2.89,2.93,1.38,1,False,48.81,49.22,6.23,13.72,,1.02,,全样本(基准)
HK,2026-07-31,001898,中煤能源,89,1,10.71,10.47,-2.24,1,False,35.99,26.91,6.79,8.82,,0.76,,全样本(基准)
HK,2026-07-31,001919,中远海控,54,1,15.77,15.16,-3.87,1,False,81.31,111.77,59.13,8.55,,0.9,,全样本(基准)
HK,2026-07-31,001929,周大福,99,1,12.37,12.37,0.0,0,True,37.02,64.94,14.53,13.55,,3.94,,全样本(基准)
HK,2026-07-31,001972,太古地产,90,1,23.9,24.08,0.75,1,False,91.34,96.31,24.52,-89.76,,0.51,,全样本(基准)
HK,2026-07-31,001988,民生银行,75,1,3.63,3.52,-3.03,1,False,89.2,108.28,20.17,4.81,,0.24,,全样本(基准)
HK,2026-07-31,002020,安踏体育,57,1,78.95,75.35,-4.56,1,False,74.11,101.95,39.92,14.68,,3.03,,全样本(基准)
HK,2026-07-31,002057,中通快递-W,88,1,186.8,191.9,2.73,1,False,35.43,82.01,62.44,13.86,,2.04,,全样本(基准)
HK,2026-07-31,002259,紫金黄金国际,43,1,118.2,116.5,-1.44,1,False,77.38,72.74,-4.64,25.38,,4.85,,全样本(基准)
HK,2026-07-31,002269,药明生物,74,1,38.74,40.52,4.59,1,False,47.98,95.98,46.64,29.54,,3.06,,全样本(基准)
HK,2026-07-31,002318,中国平安,13,1,58.65,57.55,-1.88,1,False,97.26,84.5,10.69,7.16,,0.92,,全样本(基准)
HK,2026-07-31,002328,中国财险,37,1,16.4,16.01,-2.38,1,False,92.59,78.62,24.95,8.64,,1.1,,全样本(基准)
HK,2026-07-31,002338,潍柴动力,48,1,32.94,33.56,1.88,1,False,61.83,15.01,61.07,22.48,,2.66,,全样本(基准)
HK,2026-07-31,002359,药明康德,31,1,160.7,181.8,13.13,1,False,66.01,93.59,90.73,20.99,,5.03,,全样本(基准)
HK,2026-07-31,002378,保诚,45,1,118.6,116.1,-2.11,1,False,98.18,102.76,37.63,9.59,,1.93,,全样本(基准)
HK,2026-07-31,002388,中银香港,25,1,52.2,50.7,-2.87,1,False,97.6,99.65,81.56,13.76,,1.54,,全样本(基准)
HK,2026-07-31,002423,贝壳-W,83,1,43.42,44.86,3.32,1,False,53.64,73.92,39.97,39.47,,2.1,,全样本(基准)
HK,2026-07-31,002476,胜宏科技,70,1,184.4,191.7,3.96,1,False,10.75,-9.45,,34.61,,8.16,,全样本(基准)
HK,2026-07-31,002513,智谱,32,1,987.5,1028.0,4.1,1,False,21.06,-7.29,38.69,-88.4,,-4.44,,全样本(基准)
HK,2026-07-31,002600,中国铝业,87,1,8.46,8.34,-1.42,1,False,68.83,23.52,-6.11,8.82,,1.59,,全样本(基准)
HK,2026-07-31,002601,中国太保,47,1,30.56,30.12,-1.44,1,False,75.37,65.02,4.43,4.89,,0.81,,全样本(基准)
HK,2026-07-31,002611,国泰海通,50,1,14.93,14.46,-3.15,1,False,24.04,69.3,23.02,10.63,,0.71,,全样本(基准)
HK,2026-07-31,002628,中国人寿,17,1,29.2,28.32,-3.01,1,False,108.32,43.1,30.51,5.11,,1.22,,全样本(基准)
HK,2026-07-31,002714,牧原股份,67,1,33.12,31.6,-4.59,1,False,42.41,78.2,4.24,17.54,,1.96,,全样本(基准)
HK,2026-07-31,002888,渣打集团,28,1,237.6,234.4,-1.35,1,False,88.17,95.84,96.49,12.32,,1.43,,全样本(基准)
HK,2026-07-31,002899,紫金矿业,15,1,33.24,33.14,-0.3,1,False,70.55,84.93,6.76,12.8,,3.96,,全样本(基准)
HK,2026-07-31,003288,海天味业,66,1,32.88,32.12,-2.31,1,False,76.37,92.51,37.23,23.54,,4.04,,全样本(基准)
HK,2026-07-31,003328,交通银行,21,1,7.56,7.36,-2.65,1,False,87.34,71.8,73.22,6.19,,0.51,,全样本(基准)
HK,2026-07-31,003606,福耀玻璃,77,1,59.4,57.35,-3.45,1,False,91.89,96.18,22.69,15.43,,3.5,,全样本(基准)
HK,2026-07-31,003690,美团-W,24,1,92.5,92.45,-0.05,1,False,87.41,111.45,52.21,-12.84,,3.36,,全样本(基准)
HK,2026-07-31,003692,翰森制药,64,1,32.18,31.44,-2.3,1,False,22.8,68.67,1.77,31.73,,4.98,,全样本(基准)
HK,2026-07-31,003750,宁德时代,3,1,622.5,647.0,3.94,1,False,47.17,8.15,59.83,29.89,,6.59,,全样本(基准)
HK,2026-07-31,003968,招商银行,11,1,50.9,49.3,-3.14,1,False,93.94,100.29,47.73,7.61,,1.0,,全样本(基准)
HK,2026-07-31,003986,兆易创新,42,1,459.0,447.6,-2.48,1,False,20.06,-15.25,40.94,99.87,,11.24,,全样本(基准)
HK,2026-07-31,003988,中国银行,10,1,5.51,5.33,-3.27,1,False,96.56,78.41,85.64,6.47,,0.57,,全样本(基准)
HK,2026-07-31,003993,洛阳钼业,38,1,16.89,17.11,1.3,1,False,32.51,38.7,4.68,13.37,,3.59,,全样本(基准)
HK,2026-07-31,006030,中信证券,35,1,27.32,26.96,-1.32,1,False,11.79,63.32,42.72,10.74,,1.23,,全样本(基准)
HK,2026-07-31,006031,三一重工,65,1,21.1,20.84,-1.23,1,False,82.84,70.18,13.63,20.55,,1.89,,全样本(基准)
HK,2026-07-31,006099,招商证券,96,1,14.57,14.63,0.41,1,False,26.41,2.33,47.35,8.52,,0.9,,全样本(基准)
HK,2026-07-31,006160,百济神州,44,1,194.0,194.1,0.05,1,False,43.64,101.35,31.63,74.67,,8.81,,全样本(基准)
HK,2026-07-31,006618,京东健康,98,1,39.4,39.52,0.3,1,False,70.89,92.47,-7.28,21.12,,1.9,,全样本(基准)
HK,2026-07-31,006690,海尔智家,60,1,22.6,20.98,-7.17,1,False,91.92,97.97,16.33,10.11,,1.49,,全样本(基准)
HK,2026-07-31,006809,澜起科技,41,1,269.0,262.4,-2.45,1,False,12.93,1.03,55.4,114.58,,13.93,,全样本(基准)
HK,2026-07-31,006818,中国光大银行,69,1,3.19,3.12,-2.19,1,False,73.01,48.34,12.77,4.44,,0.33,,全样本(基准)
HK,2026-07-31,006886,华泰证券,79,1,16.89,16.71,-1.07,1,False,18.88,51.8,16.93,7.77,,0.76,,全样本(基准)
HK,2026-07-31,006936,顺丰控股,71,1,33.82,33.04,-2.31,1,False,93.14,112.65,45.18,13.95,,1.5,,全样本(基准)
HK,2026-07-31,009633,农夫山泉,30,1,43.78,42.72,-2.42,1,False,84.44,56.48,1.66,28.03,,11.27,,全样本(基准)
HK,2026-07-31,009973,奇瑞汽车,78,1,26.68,26.9,0.82,1,False,95.28,49.22,26.18,7.47,,2.48,,全样本(基准)
HK,2026-07-31,009987,百胜中国,95,1,372.8,381.4,2.31,1,False,83.28,88.94,23.05,16.87,,3.06,,全样本(基准)
