排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,33.67,7.59,29.46,4.65,1.11,14.23,73.72,1.45,48.2
2,588000,科创50ETF华夏,10.83,-7.94,35.38,1.71,4.52,73.72,74.45,7.37,85.85
3,159915,创业板ETF易方达,61.45,5.62,29.59,3.51,5.56,41.55,44.96,5.47,62.44
4,512880,证券ETF国泰,49.53,59.39,35.35,1.1,-0.09,15.35,10.14,1.31,22.12
5,588200,科创芯片ETF嘉实,10.05,-11.06,36.82,1.1,5.67,108.34,77.58,,
6,510500,中证500ETF南方,58.42,2.09,26.58,7.6,2.43,26.53,67.03,2.35,76.28
7,515880,通信ETF国泰,55.09,-0.25,30.39,0.64,9.97,43.54,87.9,,
8,563360,A500ETF华泰柏瑞,44.63,6.38,27.0,1.28,1.83,16.08,68.94,,
9,588170,科创半导体ETF华夏,9.65,-0.58,40.75,0.87,4.95,39.05,76.5,,
10,159516,半导体设备ETF国泰,10.16,-1.06,41.33,0.64,5.79,95.03,93.52,,
11,512890,红利低波ETF华泰柏瑞,58.34,103.37,71.16,1.18,-1.91,7.96,72.8,0.87,61.32
12,512100,中证1000ETF南方,87.32,6.13,12.74,2.94,2.55,29.92,64.1,2.28,35.68
13,159949,创业板50ETF华安,62.79,6.6,26.09,1.67,6.11,,,,
14,512170,医疗ETF华宝,74.43,94.82,31.0,0.33,0.61,27.45,21.08,3.35,8.84
15,159995,芯片ETF华夏,11.86,-11.26,29.87,1.1,5.87,,,,
16,512400,有色金属ETF南方,67.15,34.55,0.21,1.81,1.8,16.37,90.09,,
17,510880,红利ETF华泰柏瑞,47.7,94.1,60.71,3.24,-1.37,8.69,77.53,0.85,61.44
18,510050,上证50ETF华夏,-10.87,49.28,26.54,2.98,-0.33,11.67,80.76,1.26,60.44
19,159819,人工智能ETF易方达,41.07,8.35,43.77,1.82,5.87,47.71,60.55,,
20,159326,电网设备ETF华夏,85.6,4.43,21.42,1.65,1.98,12.8,90.14,,
21,515450,红利低波50ETF南方,35.51,95.84,72.53,1.42,-2.34,8.53,79.44,0.87,61.32
22,510210,上证指数ETF富国,54.4,14.56,5.32,0.97,0.21,14.96,69.82,,
23,515180,红利ETF易方达,52.82,95.5,46.14,1.4,-1.69,8.54,60.33,0.85,48.88
24,512480,半导体ETF国联安,10.99,-12.95,31.55,0.97,5.32,80.48,75.45,,
25,562500,机器人ETF华夏,111.81,8.31,20.01,0.99,2.59,52.29,50.38,,
26,515050,通信ETF华夏,44.93,-2.48,34.34,0.99,9.39,43.46,86.49,,
27,159530,机器人ETF易方达,117.38,7.01,16.08,1.38,2.07,,,,
