排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,00700,腾讯控股,453.0,-0.48,41237.25,90.93,15.45,3.15,9.9663537853,0.0,0.0,0.0,0.0
2,03750,宁德时代,599.5,-2.76,27736.8,14.16,28.79,6.35,12.0827161258,0.0,0.0,0.0,0.0
3,00005,汇丰控股,161.0,-0.25,27643.22,10.56,14.66,2.04,7.4073136207,0.0,0.0,0.0,0.0
4,01398,工商银行,7.57,1.68,26979.95,27.44,6.37,0.59,4.052663012,0.0,0.0,0.0,0.0
5,00939,建设银行,9.5,3.94,24852.04,49.61,6.33,0.6,4.5376835478999995,0.0,0.0,0.0,0.0
6,09988,阿里巴巴-W,114.2,0.26,22708.66,93.86,26.73,1.8,0.9987987878,0.0,0.0,0.0,0.0
7,01288,农业银行,6.345,1.93,22206.42,8.58,6.57,0.67,4.4593032714000005,0.0,0.0,0.0,0.0
8,03988,中国银行,5.9,5.73,19010.53,39.86,6.73,0.6,4.0097334841,0.0,0.0,0.0,0.0
9,00857,中国石油股份,10.17,-0.2,18613.23,11.89,9.29,0.99,6.3861639668,0.0,0.0,0.0,0.0
10,00941,中国移动,79.25,-0.19,17187.12,8.01,11.44,1.02,5.4714246401999995,0.0,0.0,0.0,0.0
11,03968,招商银行,50.95,3.94,12849.51,13.61,7.47,0.97,5.8401593944,0.0,0.0,0.0,0.0
12,03308,中际旭创,1029.0,-1.06,12120.69,17.68,52.04,25.01,39.213740819499996,0.0,0.0,0.0,0.0
13,00883,中国海洋石油,25.3,-0.55,12025.08,10.91,7.62,1.22,10.346972879299999,0.0,0.0,0.0,0.0
14,02318,中国平安,56.55,-0.62,10239.87,45.13,5.65,0.87,9.1284065146,0.0,0.0,0.0,0.0
15,01088,中国神华,46.36,1.18,10055.22,6.51,16.12,1.9,6.342903654400001,0.0,0.0,0.0,0.0
16,02899,紫金矿业,36.62,-4.34,9737.52,26.37,12.67,4.19,20.0147693811,0.0,0.0,0.0,0.0
17,02628,中国人寿,30.3,2.99,8564.21,21.3,3.05,1.12,21.35749495,0.0,0.0,0.0,0.0
18,01211,比亚迪股份,87.2,-5.17,7950.2,37.67,23.88,2.88,4.861201831100001,0.0,0.0,0.0,0.0
19,01299,友邦保险,76.25,0.99,7889.32,25.35,12.66,2.47,10.2330680139,0.0,0.0,0.0,0.0
20,00300,美的集团,101.4,2.68,7735.6,15.52,15.29,3.15,12.1289184915,0.0,0.0,0.0,0.0
21,01810,小米集团-W,27.62,-0.72,7114.66,24.99,19.02,2.29,5.2939105732,0.0,0.0,0.0,0.0
22,03328,交通银行,7.8,3.86,6892.38,6.72,6.24,0.51,3.737201525,0.0,0.0,0.0,0.0
23,01658,邮储银行,5.3,6.96,6365.04,13.0,6.23,0.53,4.3711714694,0.0,0.0,0.0,0.0
24,09999,网易,192.4,0.1,6173.65,14.54,16.7,3.21,10.7852666043,0.0,0.0,0.0,0.0
25,00981,中芯国际,70.75,0.86,6056.95,29.67,74.58,3.07,2.904731861,0.0,0.0,0.0,0.0
26,00386,中国石油化工股份,4.785,0.42,5786.29,6.76,14.29,0.6,3.1847966031,0.0,0.0,0.0,0.0
27,02359,药明康德,189.3,-3.96,5635.92,19.54,22.61,5.85,13.5914693084,0.0,0.0,0.0,0.0
28,02388,中银香港,52.7,3.43,5571.86,15.59,13.36,1.55,6.5877436166,0.0,0.0,0.0,0.0
29,02513,智谱,1195.0,9.63,5564.2,127.55,-106.97,-5.37,77.98409694440001,0.0,0.0,0.0,0.0
30,00388,香港交易所,425.2,0.28,5390.84,17.04,27.22,8.89,17.7907965287,0.0,0.0,0.0,0.0
31,02888,渣打集团,230.8,0.17,5042.45,0.87,11.94,1.39,6.6700750452,0.0,0.0,0.0,0.0
32,02475,立讯精密,63.0,-0.87,4874.83,1.71,24.23,4.3,8.785947626899999,0.0,0.0,0.0,0.0
33,03690,美团-W,78.9,1.81,4872.45,72.39,-11.42,2.5,-2.9180030463,0.0,0.0,0.0,0.0
34,09633,农夫山泉,43.02,-1.1,4838.23,4.35,24.88,11.31,23.192367081500002,0.0,0.0,0.0,0.0
35,00998,中信银行,8.355,0.48,4649.15,3.57,5.71,0.54,4.4222819408,0.0,0.0,0.0,0.0
36,00728,中国电信,4.9,0.62,4483.85,3.07,13.17,0.83,4.2002292243,0.0,0.0,0.0,0.0
37,06030,中信证券,27.36,-0.29,4274.8,6.19,9.48,1.19,6.958091817000001,0.0,0.0,0.0,0.0
38,02259,紫金黄金国际,152.0,-5.71,4068.04,20.17,20.59,5.55,16.3776706455,0.0,0.0,0.0,0.0
39,00267,中信股份,13.17,2.01,3831.19,5.28,5.5,0.42,4.2655899518,0.0,0.0,0.0,0.0
40,02328,中国财险,17.04,6.63,3790.17,9.6,6.88,1.08,10.954071993800001,0.0,0.0,0.0,0.0
41,00992,联想集团,30.04,0.27,3726.36,32.82,59.68,6.59,-8.1975118141,0.0,0.0,0.0,0.0
42,03993,洛阳钼业,16.85,-4.75,3604.94,11.1,11.41,3.49,18.7382109913,0.0,0.0,0.0,0.0
43,03986,兆易创新,486.2,0.04,3422.71,10.38,37.66,7.95,24.3618478864,0.0,0.0,0.0,0.0
44,00016,新鸿基地产,116.2,-4.68,3367.22,9.21,15.3,0.54,1.6533406048000001,0.0,0.0,0.0,0.0
45,06160,百济神州,215.4,-4.01,3322.08,11.47,64.83,8.18,9.7400031378,0.0,0.0,0.0,0.0
46,06809,澜起科技,269.0,-5.61,3283.25,13.01,93.71,13.27,11.5991871723,0.0,0.0,0.0,0.0
47,01276,恒瑞医药,46.06,-3.92,3057.09,2.23,34.74,4.12,7.102739472,0.0,0.0,0.0,0.0
48,02601,中国太保,30.22,0.2,2907.27,3.63,4.54,0.79,9.9060255352,0.0,0.0,0.0,0.0
49,02338,潍柴动力,31.84,-2.81,2751.05,4.95,18.61,2.49,8.1369210579,0.0,0.0,0.0,0.0
50,00001,长和,70.5,0.5,2700.18,6.01,7.15,0.47,4.6967757312,0.0,0.0,0.0,0.0
51,02378,保诚,107.4,-0.37,2681.06,0.12,9.45,1.74,4.7795591182,0.0,0.0,0.0,0.0
52,02611,国泰海通,15.2,-0.93,2672.32,2.86,7.25,0.7,5.7601224553999995,0.0,0.0,0.0,0.0
53,01919,中远海控,17.22,0.12,2629.17,6.79,8.66,0.98,5.7476166698,0.0,0.0,0.0,0.0
54,01339,中国人民保险集团,5.72,5.93,2529.61,3.8,3.89,0.64,11.5194857125,0.0,0.0,0.0,0.0
55,00669,创科实业,135.5,0.22,2476.42,10.9,24.32,4.24,10.251683098300001,0.0,0.0,0.0,0.0
56,06951,三环集团,114.7,0.61,2290.24,1.18,60.8,8.43,8.7222563948,0.0,0.0,0.0,0.0
