排名,代码,名称,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,601398,工商银行,62.88,75.64,47.59,7.29,88.96,0.69,55.16
2,601939,建设银行,71.42,71.7,83.72,7.82,96.48,0.75,69.48
3,601288,农业银行,75.91,68.8,2.38,7.75,89.92,0.81,77.1
4,600941,中国移动,76.06,60.2,28.7,15.02,37.09,1.43,28.82
5,601857,中国石油,89.96,92.48,26.37,12.63,55.69,1.23,89.54
6,601988,中国银行,57.26,66.2,75.3,7.8,97.88,0.7,81.58
7,300750,宁德时代,79.5,14.97,32.64,21.81,16.86,4.82,31.18
8,600519,贵州茅台,82.06,85.07,27.97,19.72,3.76,6.02,1.78
9,600938,中国海油,94.36,54.58,16.76,12.35,90.69,1.84,76.33
10,688981,中芯国际,40.29,57.33,88.18,263.99,97.6,8.89,96.23
11,601138,工业富联,33.18,-2.53,42.87,29.64,89.29,6.84,90.91
12,300308,中际旭创,48.34,0.36,71.37,79.14,84.91,33.24,98.07
13,601628,中国人寿,88.25,108.87,22.08,8.0,7.52,1.94,35.73
14,601088,中国神华,79.32,59.89,43.43,19.11,98.36,2.05,94.21
15,601318,中国平安,88.87,74.03,1.18,7.36,7.33,0.96,20.49
16,600036,招商银行,70.21,100.97,35.36,6.48,23.53,0.86,8.2
17,601899,紫金矿业,98.6,88.26,10.77,13.88,12.54,4.34,82.16
18,002594,比亚迪,61.17,79.38,32.89,30.31,29.36,3.6,30.57
19,688256,寒武纪,36.71,11.34,81.15,302.93,87.1,63.95,95.95
20,688041,海光信息,35.87,48.03,79.28,282.73,97.59,32.8,97.9
21,600900,长江电力,80.68,98.73,87.51,19.73,57.18,3.12,81.34
22,300502,新易盛,55.94,32.5,83.36,66.05,70.59,34.81,98.41
23,688347,华虹宏力,79.26,82.49,98.29,1373.74,86.87,14.98,99.72
24,000333,美的集团,87.91,98.02,85.77,14.63,52.65,2.78,41.56
25,600028,中国石化,88.26,111.86,-2.48,17.62,86.02,0.75,35.87
26,601328,交通银行,71.34,89.82,39.9,6.37,85.54,0.53,48.79
27,601658,邮储银行,61.3,96.84,24.84,6.98,68.43,0.59,13.54
28,688825,长鑫科技,,,,,,,
29,002371,北方华创,39.07,34.12,76.0,99.43,47.69,14.11,87.7
30,601728,中国电信,66.51,63.72,28.84,17.39,47.9,1.18,44.54
31,002475,立讯精密,42.77,-1.39,51.0,26.55,38.52,5.17,42.53
32,688235,百济神州,74.94,90.51,50.28,135.13,95.96,12.94,80.07
33,603993,洛阳钼业,97.21,46.02,16.86,17.37,26.23,4.72,94.17
34,600030,中信证券,70.55,68.43,79.22,12.45,6.22,1.44,42.09
35,601998,中信银行,78.16,65.1,26.49,5.85,63.26,0.56,53.28
36,002384,东山精密,16.35,25.78,78.91,195.27,97.44,17.6,98.02
37,601166,兴业银行,71.05,74.75,24.8,4.96,34.28,0.46,6.85
38,688012,中微公司,37.22,47.5,80.91,137.94,73.03,15.48,78.92
39,603259,药明康德,47.15,84.41,85.14,18.66,18.97,4.46,32.87
40,600276,恒瑞医药,37.67,90.8,32.32,45.28,6.46,5.78,4.77
41,688802,沐曦股份-U,20.91,48.61,90.44,-515.55,5.59,25.81,89.51
42,601211,国泰海通,93.53,79.76,46.09,15.21,64.95,1.02,38.09
43,601319,中国人保,84.72,103.66,4.57,7.84,13.53,1.05,32.6
44,603986,兆易创新,21.21,2.23,58.42,114.73,64.22,13.05,80.52
45,002415,海康威视,92.85,90.77,89.29,21.86,31.97,3.79,22.81
46,300059,东方财富,80.92,68.24,25.77,24.24,6.61,3.32,13.11
47,601601,中国太保,105.32,90.49,3.1,5.84,1.83,0.99,13.31
48,600183,生益科技,21.6,14.22,63.99,77.91,98.12,17.07,98.12
49,601869,长飞光纤,30.54,-11.76,66.09,261.89,94.74,21.29,96.75
50,600000,浦发银行,68.95,81.12,6.63,5.97,67.45,0.4,25.51
51,688795,摩尔线程-U,15.66,15.71,42.46,-341.42,33.11,25.46,44.37
52,000858,五 粮 液,87.72,44.48,7.96,23.03,33.46,2.27,0.87
53,688820,盛合晶微,18.97,5.58,,276.81,26.98,18.86,26.98
54,688008,澜起科技,32.27,5.96,66.24,106.42,81.39,13.06,85.45
55,600150,中国船舶,13.03,6.57,25.18,21.98,25.99,1.66,18.71
56,601816,京沪高铁,93.51,84.83,53.5,18.36,3.99,1.16,5.45
57,002379,宏桥控股,93.75,58.28,-1.77,12.29,72.61,4.63,83.17
58,601225,陕西煤业,82.6,65.91,53.3,14.92,98.17,2.36,83.7
59,300394,天孚通信,27.31,-2.88,51.21,109.31,94.79,39.7,95.08
60,300476,胜宏科技,35.98,-5.17,26.75,50.49,84.23,13.57,89.1
61,000338,潍柴动力,62.98,4.21,61.36,20.52,92.19,2.43,81.05
62,600309,万华化学,105.35,56.53,25.84,17.6,62.44,2.08,8.97
63,601919,中远海控,97.67,109.78,30.92,9.23,58.29,0.98,28.93
64,002916,深南电路,25.18,7.72,65.81,63.34,95.08,12.73,90.84
65,688072,拓荆科技,36.15,64.22,83.96,139.85,85.08,31.73,98.55
66,000651,格力电器,94.04,99.08,84.41,7.84,31.53,1.51,5.64
67,300274,阳光电源,36.21,-5.76,13.47,19.11,36.55,4.68,45.13
68,002714,牧原股份,59.45,95.03,19.42,23.28,68.8,2.64,1.88
69,600188,兖矿能源,108.07,28.54,56.71,23.49,98.99,2.93,90.94
70,000725,京东方Ａ,15.44,22.1,59.51,37.6,57.62,1.64,74.11
71,002463,沪电股份,25.39,14.71,69.8,51.1,96.62,13.09,98.02
72,301666,大普微-UW,44.71,-6.71,,16856.31,25.76,272.82,25.76
73,603288,海天味业,81.4,94.31,40.51,29.3,2.17,5.08,2.65
74,000001,平安银行,76.09,74.58,41.27,4.95,25.17,0.46,3.81
75,002938,鹏鼎控股,36.69,12.5,68.69,57.06,97.79,6.11,94.52
76,600919,江苏银行,57.46,61.22,83.84,5.93,77.82,0.79,84.67
77,002142,宁波银行,60.55,79.99,65.95,6.92,30.52,0.9,27.15
78,601066,中信建投,32.48,47.55,67.09,18.48,10.85,2.41,25.11
79,003816,中国广核,98.3,30.1,32.57,21.89,90.56,1.65,69.46
80,600690,海尔智家,91.97,96.96,13.2,10.98,5.69,1.64,3.71
81,300408,三环集团,32.52,-0.38,63.45,71.16,98.07,9.14,98.07
82,601336,新华保险,75.31,98.56,8.21,5.52,4.97,1.65,53.09
83,300604,长川科技,34.33,49.86,83.51,124.65,54.58,38.5,99.47
84,300433,蓝思科技,37.84,1.98,51.55,56.48,83.61,3.56,81.87
85,601668,中国建筑,90.0,103.95,36.68,5.12,62.1,0.39,1.21
86,688808,联讯仪器,40.79,12.88,,709.46,46.67,188.91,46.67
87,600406,国电南瑞,111.02,43.72,13.84,22.93,23.05,3.57,30.33
88,001399,惠科股份,23.17,-0.12,,50.36,21.05,7.22,21.05
89,600025,华能水电,82.9,102.14,67.71,22.3,80.62,2.68,77.24
90,601898,中煤能源,100.8,30.4,17.55,10.71,54.68,1.16,91.22
91,601985,中国核电,90.01,62.48,82.63,22.66,88.57,1.55,36.11
92,601688,华泰证券,96.31,63.96,21.98,10.62,30.09,1.05,43.97
93,601818,光大银行,66.21,86.76,22.63,4.92,44.21,0.37,2.46
94,300760,迈瑞医疗,88.36,86.83,17.25,23.56,5.78,4.6,2.02
95,600031,三一重工,90.62,90.36,14.18,21.68,47.69,2.02,18.66
96,002352,顺丰控股,88.57,70.08,27.67,15.77,1.93,1.79,1.98
97,000063,中兴通讯,28.2,38.74,23.66,40.09,92.29,2.34,33.37
98,600930,华电新能,25.24,0.68,3.06,27.95,2.43,1.62,1.21
99,000776,广发证券,89.48,56.38,60.97,11.27,6.46,1.28,74.93
100,688702,盛科通信-U,73.29,72.82,95.96,-1161.98,10.03,79.02,100.0
