date,close
2023-05-11,5.663
2023-05-12,5.463
2023-05-15,5.423
2023-05-16,5.263
2023-05-17,5.263
2023-05-18,5.213
2023-05-19,5.113
2023-05-22,5.093
2023-05-23,4.983
2023-05-24,4.783
2023-05-25,4.733
2023-05-26,4.683
2023-05-29,4.733
2023-05-30,4.893
2023-05-31,4.833
2023-06-01,4.943
2023-06-02,5.013
2023-06-05,4.933
2023-06-06,4.953
2023-06-07,4.953
2023-06-08,5.103
2023-06-09,5.113
2023-06-12,4.983
2023-06-13,4.933
2023-06-14,4.883
2023-06-15,4.943
2023-06-16,5.053
2023-06-19,4.843
2023-06-20,4.773
2023-06-21,4.803
2023-06-26,4.623
2023-06-27,4.833
2023-06-28,4.893
2023-06-29,4.913
2023-06-30,4.925
2023-07-03,4.965
2023-07-04,4.915
2023-07-05,4.935
2023-07-06,4.875
2023-07-07,4.825
2023-07-10,4.875
2023-07-11,4.915
2023-07-12,4.825
2023-07-13,4.895
2023-07-14,4.895
2023-07-17,4.845
2023-07-18,4.805
2023-07-19,4.835
2023-07-20,4.795
2023-07-21,4.685
2023-07-24,4.745
2023-07-25,5.005
2023-07-26,5.015
2023-07-27,4.995
2023-07-28,5.205
2023-07-31,5.295
2023-08-01,5.285
2023-08-02,5.255
2023-08-03,5.295
2023-08-04,5.275
2023-08-07,5.215
2023-08-08,5.195
2023-08-09,5.225
2023-08-10,5.185
2023-08-11,5.045
2023-08-14,5.085
2023-08-15,5.105
2023-08-16,5.125
2023-08-17,5.125
2023-08-18,5.035
2023-08-21,5.005
2023-08-22,5.115
2023-08-23,5.035
2023-08-24,4.765
2023-08-25,4.855
2023-08-28,5.005
2023-08-29,4.935
2023-08-30,4.805
2023-08-31,4.815
2023-09-01,4.905
2023-09-04,4.985
2023-09-05,4.905
2023-09-06,4.915
2023-09-07,4.855
2023-09-08,4.855
2023-09-11,4.875
2023-09-12,4.845
2023-09-13,4.865
2023-09-14,4.895
2023-09-15,4.815
2023-09-18,4.795
