date,close
2023-05-11,4.381
2023-05-12,4.241
2023-05-15,4.431
2023-05-16,4.341
2023-05-17,4.281
2023-05-18,4.431
2023-05-19,4.401
2023-05-22,4.471
2023-05-23,4.331
2023-05-24,4.181
2023-05-25,4.151
2023-05-26,4.201
2023-05-29,4.271
2023-05-30,4.201
2023-05-31,4.141
2023-06-01,4.161
2023-06-02,4.211
2023-06-05,4.261
2023-06-06,4.221
2023-06-07,4.281
2023-06-08,4.431
2023-06-09,4.511
2023-06-12,4.461
2023-06-13,4.481
2023-06-14,4.251
2023-06-15,4.211
2023-06-16,4.121
2023-06-19,4.061
2023-06-20,3.981
2023-06-21,3.991
2023-06-26,3.881
2023-06-27,3.961
2023-06-28,3.941
2023-06-29,3.881
2023-06-30,3.891
2023-07-03,3.981
2023-07-04,3.981
2023-07-05,3.931
2023-07-06,3.901
2023-07-07,3.881
2023-07-10,3.891
2023-07-11,3.941
2023-07-12,3.961
2023-07-13,4.109
2023-07-14,4.109
2023-07-17,4.039
2023-07-18,4.019
2023-07-19,4.039
2023-07-20,4.049
2023-07-21,4.009
2023-07-24,4.009
2023-07-25,4.219
2023-07-26,4.179
2023-07-27,4.239
2023-07-28,4.489
2023-07-31,4.449
2023-08-01,4.419
2023-08-02,4.189
2023-08-03,4.239
2023-08-04,4.299
2023-08-07,4.249
2023-08-08,4.259
2023-08-09,4.259
2023-08-10,4.249
2023-08-11,4.179
2023-08-14,4.119
2023-08-15,4.209
2023-08-16,4.159
2023-08-17,4.109
2023-08-18,4.149
2023-08-21,4.079
2023-08-22,4.179
2023-08-23,4.139
2023-08-24,4.089
2023-08-25,4.109
2023-08-28,4.239
2023-08-29,4.179
2023-08-30,4.159
2023-08-31,4.119
2023-09-01,4.159
2023-09-04,4.259
2023-09-05,4.169
2023-09-06,4.179
2023-09-07,4.169
2023-09-08,4.159
2023-09-11,4.139
2023-09-12,4.139
2023-09-13,4.159
2023-09-14,4.209
2023-09-15,4.249
2023-09-18,4.249
2023-09-19,4.319
2023-09-20,4.379
2023-09-21,4.299
2023-09-22,4.329
2023-09-25,4.319
2023-09-26,4.279
2023-09-27,4.229
2023-09-28,4.229
2023-10-09,4.219
2023-10-10,4.189
2023-10-11,4.179
2023-10-12,4.319
2023-10-13,4.339
2023-10-16,4.389
2023-10-17,4.409
2023-10-18,4.389
2023-10-19,4.259
2023-10-20,4.179
2023-10-23,4.089
2023-10-24,3.999
2023-10-25,4.009
2023-10-26,4.059
2023-10-27,4.049
2023-10-30,3.819
2023-10-31,3.829
2023-11-01,3.869
2023-11-02,3.929
2023-11-03,3.899
2023-11-06,3.879
2023-11-07,3.859
2023-11-08,3.819
2023-11-09,3.869
2023-11-10,3.829
2023-11-13,3.789
2023-11-14,3.789
2023-11-15,3.819
2023-11-16,3.799
2023-11-17,3.759
2023-11-20,3.779
2023-11-21,3.809
2023-11-22,3.779
2023-11-23,3.789
2023-11-24,3.799
2023-11-27,3.709
2023-11-28,3.709
2023-11-29,3.609
2023-11-30,3.649
2023-12-01,3.679
2023-12-04,3.659
2023-12-05,3.609
2023-12-06,3.599
2023-12-07,3.589
2023-12-08,3.629
2023-12-11,3.619
2023-12-12,3.669
2023-12-13,3.609
2023-12-14,3.569
2023-12-15,3.599
2023-12-18,3.569
2023-12-19,3.549
2023-12-20,3.519
2023-12-21,3.539
2023-12-22,3.549
2023-12-25,3.539
2023-12-26,3.499
2023-12-27,3.549
2023-12-28,3.609
2023-12-29,3.609
2024-01-02,3.579
2024-01-03,3.619
2024-01-04,3.649
2024-01-05,3.719
2024-01-08,3.689
2024-01-09,3.649
2024-01-10,3.639
2024-01-11,3.609
2024-01-12,3.599
2024-01-15,3.639
2024-01-16,3.729
2024-01-17,3.689
2024-01-18,3.689
2024-01-19,3.659
2024-01-22,3.669
2024-01-23,3.679
2024-01-24,3.739
2024-01-25,3.889
2024-01-26,3.919
2024-01-29,4.009
2024-01-30,3.959
2024-01-31,3.989
2024-02-01,3.949
2024-02-02,3.959
2024-02-05,4.019
2024-02-06,4.119
2024-02-07,4.019
2024-02-08,3.949
2024-02-19,4.059
2024-02-20,4.099
2024-02-21,4.199
2024-02-22,4.199
2024-02-23,4.249
2024-02-26,4.089
2024-02-27,4.109
2024-02-28,4.069
2024-02-29,4.109
2024-03-01,4.099
2024-03-04,4.019
2024-03-05,4.109
2024-03-06,4.079
2024-03-07,4.099
2024-03-08,4.119
2024-03-11,4.119
2024-03-12,4.059
2024-03-13,3.999
2024-03-14,3.999
2024-03-15,3.999
2024-03-18,4.019
2024-03-19,3.969
2024-03-20,3.989
2024-03-21,4.019
2024-03-22,3.999
2024-03-25,3.999
