排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,470.8,-2.2,42761.45,92.5,16.26,3.36
2,03750,宁德时代,651.5,1.64,30142.66,15.81,31.29,6.9
3,00005,汇丰控股,161.7,-0.49,27785.82,15.82,14.74,2.05
4,01398,工商银行,7.19,-0.35,25625.61,8.47,6.17,0.57
5,09988,阿里巴巴-W,126.4,-0.24,24237.19,95.05,20.66,2.0
6,00939,建设银行,8.825,-0.34,23086.23,11.12,6.03,0.57
7,01288,农业银行,5.85,-0.68,20474.01,3.08,6.21,0.64
8,00857,中国石油股份,9.735,1.78,17817.09,9.17,10.04,0.97
9,00941,中国移动,81.7,-0.43,17718.45,7.84,11.67,1.07
10,03988,中国银行,5.26,-0.47,16948.37,4.88,6.18,0.55
11,03968,招商银行,48.34,-1.35,12191.27,2.85,7.22,0.95
12,00883,中国海洋石油,24.24,3.59,11521.26,19.18,8.24,1.22
13,02318,中国平安,55.9,-1.5,10122.17,13.72,6.83,0.88
14,01088,中国神华,43.88,-0.68,9517.32,3.47,16.13,1.7
15,02899,紫金矿业,35.38,-5.8,9407.79,32.06,13.62,4.21
16,01211,比亚迪股份,89.7,-2.82,8178.13,8.95,26.54,3.11
17,02628,中国人寿,27.2,-3.06,7688.0,11.97,4.76,1.13
18,01299,友邦保险,72.85,-2.21,7537.53,23.56,15.54,2.27
19,00300,美的集团,97.0,-0.67,7399.56,3.08,14.93,2.8
20,01810,小米集团-W,26.66,-3.48,6889.51,32.41,17.39,2.3
21,09999,网易,202.8,-1.36,6507.37,10.04,16.99,3.47
22,03328,交通银行,7.305,-0.14,6454.97,2.33,5.98,0.49
23,02359,药明康德,199.1,0.56,5900.54,17.93,23.68,6.15
24,01658,邮储银行,4.845,-0.41,5818.61,1.11,5.9,0.5
25,03690,美团-W,93.05,-0.91,5746.28,31.51,-12.92,3.38
26,00981,中芯国际,65.3,-1.36,5590.37,25.17,103.21,3.08
27,02513,智谱,1192.0,-4.79,5550.23,40.47,-106.7,-5.36
28,02388,中银香港,50.35,-0.4,5323.39,3.21,13.27,1.48
29,00386,中国石油化工股份,4.31,-0.23,5211.89,3.48,12.76,0.55
30,00388,香港交易所,405.4,-2.74,5139.81,17.92,27.25,9.32
31,02888,渣打集团,234.6,-0.59,5135.83,1.06,12.16,1.42
32,09633,农夫山泉,43.12,-2.71,4849.48,2.13,27.6,11.1
33,02475,立讯精密,61.6,-0.81,4766.5,2.31,24.79,4.49
34,06030,中信证券,27.3,-0.51,4265.43,10.81,11.31,1.23
35,00728,中国电信,4.565,1.56,4177.3,2.32,11.78,0.79
36,00998,中信银行,7.405,-0.34,4120.52,0.63,5.16,0.49
37,03993,洛阳钼业,17.9,-5.24,3829.58,7.47,14.17,3.8
38,01276,恒瑞医药,57.6,-0.6,3823.03,1.77,42.05,5.31
39,02259,紫金黄金国际,133.8,-7.08,3580.94,20.66,28.73,5.49
40,00992,联想集团,28.54,-1.59,3540.29,27.02,23.63,5.92
41,00267,中信股份,11.94,-0.83,3473.38,1.32,5.34,0.4
42,02328,中国财险,15.61,-1.33,3472.1,2.88,8.23,1.04
43,03986,兆易创新,490.0,-2.2,3438.55,18.01,106.61,12.0
44,06160,百济神州,218.8,2.63,3374.52,17.37,65.86,9.93
45,00016,新鸿基地产,116.4,-0.26,3373.02,4.92,15.33,0.54
46,06809,澜起科技,263.0,2.1,3210.01,13.93,112.02,13.62
47,02338,潍柴动力,35.6,-2.14,3075.92,2.41,24.3,2.87
48,00001,长和,72.6,-0.55,2780.61,2.52,23.48,0.49
49,02601,中国太保,28.76,-1.71,2766.81,3.0,4.6,0.76
50,02378,保诚,107.4,-2.89,2686.2,0.11,8.68,1.75
51,00669,创科实业,144.5,-2.3,2641.06,8.36,25.94,4.52
52,02611,国泰海通,14.18,-2.0,2499.77,1.54,10.1,0.68
53,02476,胜宏科技,242.0,-5.17,2378.34,10.59,45.43,10.71
54,01378,中国宏桥,24.04,-1.39,2360.58,9.83,9.42,1.63
55,01919,中远海控,15.43,-0.58,2355.87,1.58,8.37,0.89
56,06951,三环集团,117.4,9.62,2344.15,4.58,72.86,8.87
57,01109,华润置地,32.72,-0.55,2333.24,2.11,8.29,0.73
58,01347,华虹宏力,133.3,-3.05,2316.39,25.86,412.22,4.39
59,01339,中国人民保险集团,5.135,-2.47,2270.9,1.26,4.81,0.63
60,03692,翰森制药,34.82,0.81,2111.54,5.96,34.33,5.38
61,02020,安踏体育,74.5,-1.26,2083.51,2.2,13.85,2.86
62,09992,泡泡玛特,152.7,-1.1,2033.63,12.58,14.38,8.31
63,00066,港铁公司,32.56,-0.67,2026.8,1.7,13.81,1.05
64,06690,海尔智家,21.52,1.51,2018.07,4.51,9.62,1.42
65,02714,牧原股份,34.44,2.2,1988.22,1.85,18.23,2.04
66,00002,中电控股,78.4,0.58,1980.74,2.62,18.27,1.79
67,00175,吉利汽车,18.2,-4.26,1962.89,8.1,11.39,1.82
68,00762,中国联通,6.34,-0.47,1939.92,1.72,8.76,0.48
69,02269,药明生物,45.98,-0.3,1905.87,22.06,35.07,3.63
70,03288,海天味业,32.3,-1.34,1889.89,0.27,23.12,3.97
71,01024,快手-W,42.64,-3.79,1844.91,19.21,9.42,1.99
72,06818,中国光大银行,3.0,-1.64,1772.57,0.42,4.17,0.31
73,06031,三一重工,19.05,-4.37,1751.65,2.78,18.55,1.71
74,06936,顺丰控股,33.24,-0.06,1747.81,0.29,13.71,1.47
75,00788,中国铁塔,9.72,-0.26,1710.8,1.3,11.27,0.72
76,01801,信达生物,95.55,-1.8,1666.09,10.76,184.97,7.73
77,01113,长实集团,46.68,-0.89,1633.7,1.25,15.06,0.41
78,02423,贝壳-W,44.82,-1.54,1551.87,1.88,40.74,2.17
79,01038,长江基建集团,61.3,-0.16,1544.52,0.47,18.69,1.21
80,01988,民生银行,3.42,-0.87,1497.36,0.34,4.53,0.23
81,01377,鼎泰高科,352.2,-2.81,1493.49,0.38,214.41,43.94
82,01898,中煤能源,11.2,-0.27,1484.97,0.9,9.22,0.8
83,06886,华泰证券,16.44,-1.5,1484.02,1.32,7.56,0.74
84,09973,奇瑞汽车,25.54,-2.37,1483.52,0.52,7.15,2.38
85,02600,中国铝业,8.55,-2.01,1466.75,3.3,8.91,1.61
86,03606,福耀玻璃,56.1,-1.49,1464.07,0.33,14.57,3.3
87,00027,银河娱乐,32.98,-0.42,1444.27,1.9,13.53,1.74
88,01816,中广核电力,2.86,-0.35,1444.27,0.87,13.57,1.01
89,00688,中国海外发展,13.17,-0.15,1441.44,1.47,10.26,0.34
90,01766,中国中车,5.005,-1.28,1436.38,0.56,9.51,0.72
91,01336,新华保险,45.74,-2.68,1426.88,3.69,3.47,1.02
92,02057,中通快递-W,185.2,-0.64,1413.87,1.25,13.74,2.03
93,01972,太古地产,23.92,-0.5,1377.19,0.45,41.73,0.51
94,01776,广发证券,17.0,-1.28,1330.22,1.23,7.6,0.85
95,00012,恒基地产,27.28,-0.37,1320.73,0.93,23.36,0.41
96,00358,江西铜业股份,37.64,-3.49,1303.37,4.98,14.11,1.37
97,06099,招商证券,14.95,-1.71,1300.13,0.52,8.74,0.92
98,09987,百胜中国,376.0,-0.37,1289.1,2.46,16.99,3.09
99,01171,兖矿能源,12.79,0.95,1283.71,4.93,11.77,1.48
100,00003,香港中华煤气,6.82,0.0,1272.6,1.37,22.37,2.14
