排名,代码,名称,最新价,总市值,流通市值
1,688825,长鑫科技,61.8,4133238759559,278287808408
2,601939,建设银行,10.3,2694483929028,98814673342
3,601398,工商银行,7.56,2694431303593,2038268326795
4,601288,农业银行,6.46,2260890398820,2062317601619
5,600941,中国移动,96.02,2082406304891,86683770589
6,601857,中国石油,10.67,1952833833318,1727708570318
7,601988,中国银行,5.9,1901053229703,1243516537591
8,300750,宁德时代,399.98,1850569434502,1703947205980
9,600519,贵州茅台,1293.09,1616468017437,1616468017437
10,600938,中国海油,32.89,1563260186534,98341100000
11,601138,工业富联,68.23,1353962416537,1353962416537
12,300308,中际旭创,1001.03,1170939467680,1111083015971
13,688981,中芯国际,136.76,1170810498998,273460174201
14,601628,中国人寿,37.6,1062752908000,782964728000
15,601088,中国神华,44.79,971469762476,738633590004
16,600036,招商银行,38.2,963398101958,788025677188
17,601318,中国平安,51.8,937975855341,552191371299
18,601899,紫金矿业,33.36,887066239790,687275819150
19,002594,比亚迪,89.88,819453717142,313376821380
20,688256,寒武纪,1156.0,726306672164,726306672164
21,600900,长江电力,27.96,684131367339,684131367339
22,688041,海光信息,288.8,671268840681,671268840681
23,300502,新易盛,466.68,650671709289,585330196975
24,000333,美的集团,82.61,630202492487,568745321026
25,601328,交通银行,6.9,609710111139,179899833026
26,600028,中国石化,5.01,605836826252,474709901629
27,601728,中国电信,6.61,604862186800,513132506700
28,601658,邮储银行,4.91,589666712646,356111500971
29,002371,北方华创,765.97,555856156524,555412390273
30,603259,药明康德,166.89,497959231598,412765740255
31,688347,华虹宏力,269.92,469047110428,110059880000
32,002475,立讯精密,58.84,455293317385,431007430770
33,688235,百济神州,289.9,447108473972,33354519874
34,600030,中信证券,27.54,430292456718,335342213824
35,601998,中信银行,7.69,427911297810,313467464517
36,603993,洛阳钼业,19.13,409273153667,334025910827
37,002384,东山精密,217.66,398667695415,301746786228
38,601166,兴业银行,17.83,377333785117,377333785117
39,688012,中微公司,387.82,371470419401,365402855277
40,600183,生益科技,144.49,350966740278,348473592348
41,600276,恒瑞医药,52.87,350908757338,337257850226
42,002415,海康威视,35.09,321595342690,317427428284
43,601211,国泰海通,18.04,317162285382,242622197393
44,688802,沐曦股份-U,786.0,314478600000,14563475670
45,300394,天孚通信,286.56,312586838650,311888479608
46,601869,长飞光纤,376.54,311739389366,153002628754
47,603986,兆易创新,444.0,311574795096,296810418696
48,300059,东方财富,19.58,309798673553,261457531294
49,601319,中国人保,6.91,305587774929,245289497989
50,600000,浦发银行,9.04,301084778232,301084778232
51,601601,中国太保,30.15,290053294868,206377999868
52,688820,盛合晶微,153.1,285190714251,26471394643
53,000858,五 粮 液,72.55,281610660763,281603796517
54,688795,摩尔线程-U,590.0,277316648030,17833039100
55,688008,澜起科技,224.37,273852115772,256850815577
56,300476,胜宏科技,276.0,271248608388,238793804820
57,002916,深南电路,392.9,267630355176,261203632905
58,000338,潍柴动力,30.81,266205197333,152706454250
59,300408,三环集团,130.15,259872922016,243355279143
60,002379,宏桥控股,19.64,255931161487,22318380509
61,600150,中国船舶,33.65,253237156341,253237156341
62,300274,阳光电源,118.8,246297517171,188598168871
63,601225,陕西煤业,25.23,244604850000,244604850000
64,601919,中远海控,15.97,243831923751,200527895331
65,002463,沪电股份,125.09,240718634843,240524363694
66,601816,京沪高铁,4.88,238757315326,238757315326
67,688808,联讯仪器,2255.0,231513334085,43512804720
68,600309,万华化学,73.13,228931390009,228931390009
69,002938,鹏鼎控股,98.5,228277360813,227616387103
70,002714,牧原股份,39.29,226821018498,128890818283
71,000725,京东方Ａ,6.08,225229514629,215032175431
72,000651,格力电器,39.89,223440075008,220272957918
73,600188,兖矿能源,22.09,221714061122,131686266122
74,000001,平安银行,11.1,215405691998,215403103400
75,600919,江苏银行,11.62,213242390260,213242390260
76,002142,宁波银行,32.19,212569587594,212436042519
77,688072,拓荆科技,719.01,209001096286,203259102558
78,603288,海天味业,35.42,207244015458,196928847210
79,600690,海尔智家,21.49,201525261179,134377580552
80,301666,大普微-UW,458.5,200005201060,12157743266
81,601066,中信建投,25.77,199890024919,167393442572
82,688498,源杰科技,1595.01,198579346319,196014198601
83,301377,鼎泰高科,462.9,196290399949,45762726349
84,300604,长川科技,302.57,195333804439,148099372088
85,300433,蓝思科技,36.99,195260624781,183829203333
86,003816,中国广核,3.86,194925436967,151833844467
87,600406,国电南瑞,23.55,189147857474,188592548615
88,603268,松发股份,183.3,186730815285,42754686874
89,001399,惠科股份,25.13,186145505191,10820141950
90,600176,中国巨石,46.32,185425293241,183963911137
91,601898,中煤能源,13.97,185223527698,127853445588
92,601336,新华保险,58.55,182649453430,122102473357
93,300760,迈瑞医疗,149.71,181418492815,181248229728
94,601985,中国核电,8.77,180381378189,165606408284
95,601668,中国建筑,4.36,180156902336,180156902336
96,301308,江波龙,419.26,180142668150,118169224240
97,600025,华能水电,9.56,178113261097,178113261097
98,300033,同花顺,236.0,177623040000,103464975704
99,601818,光大银行,2.99,176665797672,138756378527
100,601688,华泰证券,19.37,174850351535,141531904513
