排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.653,-0.02,1072.24,1072.24,34.92,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(511.3亿)；沪深300ETF华夏(414.08亿)；沪深300ETF嘉实(299.79亿)；沪深300ETF天弘(82.63亿)
2,588000,科创50ETF华夏,1.744,-0.97,820.21,820.21,65.14,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(395.55亿)；科创50ETF工银(104.6亿)；科创50ETF广发(71.03亿)
3,512880,证券ETF国泰,1.063,0.09,628.68,628.68,13.77,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(383.22亿)；证券ETF天弘(118.45亿)；券商ETF银华(94.37亿)；证券ETF南方(79.03亿)
4,159915,创业板ETF易方达,3.512,0.4,601.06,601.06,55.03,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(111.11亿)；创业板ETF天弘(63.8亿)
5,588200,科创芯片ETF嘉实,1.172,-0.42,491.2,491.2,31.83,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(73.37亿)
6,159516,半导体设备ETF国泰,0.733,-0.41,421.87,421.87,38.06,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(203.89亿)；半导体设备ETF广发(129.39亿)；半导体设备ETF华夏(87.48亿)
7,563360,A500ETF华泰柏瑞,1.284,0.23,413.04,413.04,42.18,中证A500指数,指数型-股票,中证A500,A500ETF南方(345.92亿)；A500ETF易方达(281.89亿)；中证A500ETF国泰(261.66亿)；A500ETF华夏(204.45亿)
8,510500,中证500ETF南方,7.863,0.76,404.3,404.3,22.86,中证500指数,指数型-股票,中证500,中证500ETF嘉实(87.3亿)；中证500ETF华夏(81.74亿)
9,515880,通信ETF国泰,0.664,1.84,398.12,398.12,32.15,中证全指通信设备指数,指数型-股票,通信,
10,588170,科创半导体ETF华夏,1.019,-0.29,397.87,397.87,71.17,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(111.02亿)
11,512890,红利低波ETF华泰柏瑞,1.183,0.68,330.77,330.77,8.67,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(127.2亿)
12,159995,芯片ETF华夏,1.151,-1.03,267.56,267.56,9.85,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(62.85亿)
13,512170,医疗ETF华宝,0.359,4.36,262.66,262.66,12.68,中证医疗指数,指数型-股票,医药,
14,512400,有色金属ETF南方,1.884,1.07,249.2,249.2,10.98,有色金属,指数型-股票,有色金属,
15,159949,创业板50ETF华安,1.643,0.18,243.39,243.39,12.95,创业板50指数,指数型-股票,创业板,
16,510880,红利ETF华泰柏瑞,3.382,0.65,210.13,210.13,5.3,上证红利指数,指数型-股票,红利,
17,159326,电网设备ETF华夏,1.672,0.72,210.01,210.01,6.18,中证电网设备主题指数,指数型-股票,其他,
