排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
87,01024,快手-W,33.64,-11.01,1455.5,84.36,8.17,1.54
88,01972,太古地产,25.08,1.95,1443.98,0.7,43.76,0.53
89,01336,新华保险,46.16,2.9,1439.98,4.56,3.5,1.03
90,01816,中广核电力,2.805,0.9,1416.49,1.03,13.31,0.99
91,01377,鼎泰高科,331.4,-1.72,1405.28,0.13,129.3,37.92
92,02600,中国铝业,8.08,-1.58,1386.12,2.73,8.42,1.52
93,00003,香港中华煤气,7.39,1.44,1378.96,4.56,21.67,2.29
94,00012,恒基地产,28.18,1.37,1364.3,1.63,24.13,0.42
95,01776,广发证券,16.97,-0.59,1327.88,0.57,7.58,0.85
96,01929,周大福,13.39,5.68,1321.1,4.35,14.67,4.26
97,00006,电能实业,61.35,0.82,1307.43,1.42,7.3,1.27
98,09987,百胜中国,378.0,2.33,1294.37,3.58,17.06,3.1
99,06099,招商证券,14.8,0.48,1287.09,0.57,8.65,0.91
100,06990,科伦博泰生物,533.0,1.81,1274.0,8.54,696.09,20.23
