排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
38,06030,中信证券,0.63,14.69,32.16,7.19,40.97,50.33,25.22,-2.7,8.74,,1.1,,26.535,27.117,0.0,-4.96,0.66,0.65,2.34,,,
39,00992,联想集团,71.06,68.27,93.31,85.61,70.31,92.2,31.3,-2.98,62.23,,6.86,,30.926,26.523,1.0,1.21,0.8,0.69,24.36,,,
40,02328,中国财险,24.47,92.26,86.43,35.81,95.2,66.95,17.04,0.0,6.88,,1.08,,16.526,15.559,1.0,3.11,1.0,0.98,4.26,,,
41,02513,智谱,-9.39,1.61,13.69,-11.78,11.46,28.21,793.0,-3.17,-73.73,,69.52,,1044.475,1340.842,0.0,-24.08,1.15,1.12,55.42,,,
42,03993,洛阳钼业,55.02,38.23,1.4,92.21,53.56,5.07,16.0,-7.73,10.83,,3.32,,17.007,16.77,1.0,-5.92,2.9,2.49,15.68,,,
43,03986,兆易创新,23.35,7.54,8.67,48.94,2.31,19.92,452.2,-5.08,35.03,,7.39,,488.115,624.61,0.0,-7.36,0.89,0.54,9.51,,,
44,06160,百济神州,9.31,55.6,68.55,-0.08,82.39,62.16,206.2,-0.39,62.07,,7.83,,218.71,199.19,1.0,-5.72,1.51,1.24,11.1,,,
45,06809,澜起科技,27.85,7.28,26.93,51.88,7.1,37.83,258.0,-4.59,89.87,,12.73,,272.44,312.03,0.0,-5.3,0.8,0.61,6.26,,,
46,00016,新鸿基地产,30.93,26.14,17.14,67.29,65.8,33.11,108.2,-7.28,14.63,,0.49,,119.525,118.462,1.0,-9.48,2.93,3.2,17.29,,,
47,01276,恒瑞医药,8.97,-4.0,-7.33,10.07,1.13,-3.73,43.76,-0.45,33.01,,3.91,,47.735,54.138,0.0,-8.33,1.03,0.53,1.33,,,
48,02601,中国太保,-1.71,75.38,10.38,-8.89,97.91,10.46,29.4,-0.68,4.41,,0.77,,29.725,29.147,1.0,-1.09,0.73,0.77,2.04,,,
49,02338,潍柴动力,43.72,28.56,40.77,67.82,34.27,48.12,31.34,-0.89,18.32,,2.45,,32.346,33.825,0.0,-3.11,0.45,0.67,3.69,,,
