排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,00700,腾讯控股,428.4,0.66,38997.94,66.75,14.61,2.98,9.9663537853,0.0,0.0,0.0,0.0
2,00005,汇丰控股,163.3,-0.85,28022.35,15.87,14.86,2.07,7.4073136207,0.0,0.0,0.0,0.0
3,01398,工商银行,7.61,0.0,27122.52,11.58,6.4,0.59,4.052663012,0.0,0.0,0.0,0.0
4,00939,建设银行,9.75,-0.15,25506.04,24.9,6.49,0.62,4.5376835479,0.0,0.0,0.0,0.0
5,03750,宁德时代,547.5,-2.49,25331.79,13.5,26.29,5.8,12.0827161258,0.0,0.0,0.0,0.0
6,01288,农业银行,6.355,-0.39,22241.42,4.97,6.58,0.68,4.4593032714000005,0.0,0.0,0.0,0.0
7,09988,阿里巴巴-W,107.5,0.56,21376.36,59.82,25.16,1.7,0.9987987878,0.0,0.0,0.0,0.0
8,03988,中国银行,6.045,1.26,19477.74,17.71,6.9,0.62,4.0097334841,0.0,0.0,0.0,0.0
9,00857,中国石油股份,9.98,-1.09,18265.49,9.96,9.11,0.97,6.3861639668,0.0,0.0,0.0,0.0
10,00941,中国移动,78.9,0.06,17114.15,6.76,11.39,1.02,5.4714246402,0.0,0.0,0.0,0.0
11,03308,中际旭创,1170.0,4.37,13781.54,37.87,59.17,28.43,39.2137408195,0.0,0.0,0.0,0.0
12,03968,招商银行,51.95,-0.38,13101.71,5.91,7.61,0.99,5.8401593944,0.0,0.0,0.0,0.0
13,00883,中国海洋石油,24.38,-2.56,11587.8,21.55,7.35,1.18,10.3469728793,0.0,0.0,0.0,0.0
14,01088,中国神华,46.12,-0.77,10003.17,6.81,16.04,1.89,6.342903654400001,0.0,0.0,0.0,0.0
15,02318,中国平安,54.0,-1.55,9778.13,25.77,5.4,0.83,9.1284065146,0.0,0.0,0.0,0.0
16,02899,紫金矿业,34.82,-6.75,9258.89,33.19,12.04,3.98,20.0147693811,0.0,0.0,0.0,0.0
17,02628,中国人寿,29.6,-1.79,8366.35,9.09,2.98,1.09,21.35749495,0.0,0.0,0.0,0.0
18,01299,友邦保险,75.05,-0.33,7765.16,17.27,12.47,2.43,10.2330680139,0.0,0.0,0.0,0.0
19,00300,美的集团,99.2,-0.1,7568.3,3.83,14.96,3.08,12.1289184915,0.0,0.0,0.0,0.0
20,01211,比亚迪股份,79.85,0.38,7280.08,16.91,21.86,2.63,4.861201831100001,0.0,0.0,0.0,0.0
21,03328,交通银行,8.09,0.37,7148.63,6.55,6.47,0.53,3.737201525,0.0,0.0,0.0,0.0
22,01810,小米集团-W,26.36,1.7,6790.17,29.7,18.15,2.19,5.2939105732,0.0,0.0,0.0,0.0
23,01658,邮储银行,5.42,1.03,6509.15,2.98,6.38,0.54,4.3711714694,0.0,0.0,0.0,0.0
24,09999,网易,182.1,-0.55,5843.15,14.35,15.8,3.04,10.7852666043,0.0,0.0,0.0,0.0
25,00386,中国石油化工股份,4.775,-1.44,5774.19,4.43,14.26,0.6,3.1847966031,0.0,0.0,0.0,0.0
26,02359,药明康德,188.8,-1.15,5684.67,5.66,22.81,5.83,13.5914693084,0.0,0.0,0.0,0.0
27,02388,中银香港,52.3,1.16,5529.56,7.76,13.26,1.53,6.5877436166,0.0,0.0,0.0,0.0
28,00981,中芯国际,63.15,-0.47,5407.07,26.78,66.58,2.74,2.904731861,0.0,0.0,0.0,0.0
29,02888,渣打集团,241.8,0.0,5274.69,2.42,12.49,1.46,6.6700750452,0.0,0.0,0.0,0.0
30,00388,香港交易所,392.6,-1.11,4977.53,14.62,25.14,8.21,17.7907965287,0.0,0.0,0.0,0.0
31,00998,中信银行,8.455,0.3,4704.8,2.96,5.77,0.55,4.4222819408,0.0,0.0,0.0,0.0
32,03690,美团-W,75.1,0.47,4637.79,19.42,-10.87,2.38,-2.9180030463,0.0,0.0,0.0,0.0
33,02475,立讯精密,59.0,1.37,4565.35,2.23,22.69,4.03,8.785947626899999,0.0,0.0,0.0,0.0
34,09633,农夫山泉,39.5,-0.2,4442.35,1.7,22.85,10.38,23.1923670815,0.0,0.0,0.0,0.0
35,02259,紫金黄金国际,160.1,-2.56,4284.82,8.69,21.69,5.85,16.3776706455,0.0,0.0,0.0,0.0
36,00728,中国电信,4.52,-1.85,4136.12,2.98,12.15,0.76,4.2002292243,0.0,0.0,0.0,0.0
37,00267,中信股份,13.73,0.07,3994.09,2.8,5.73,0.43,4.2655899518,0.0,0.0,0.0,0.0
38,06030,中信证券,25.22,-2.7,3940.44,2.34,8.74,1.1,6.958091817000001,0.0,0.0,0.0,0.0
39,00992,联想集团,31.3,-2.98,3885.82,24.36,62.23,6.86,-8.1975118141,0.0,0.0,0.0,0.0
40,02328,中国财险,17.04,0.0,3790.17,4.26,6.88,1.08,10.9540719938,0.0,0.0,0.0,0.0
41,02513,智谱,793.0,-3.17,3692.39,55.42,-73.73,69.52,112.7113004271,0.0,0.0,0.0,0.0
42,03993,洛阳钼业,16.0,-7.73,3423.09,15.68,10.83,3.32,18.7382109913,0.0,0.0,0.0,0.0
43,03986,兆易创新,452.2,-5.08,3183.36,9.51,35.03,7.39,24.3618478864,0.0,0.0,0.0,0.0
44,06160,百济神州,206.2,-0.39,3180.19,11.1,62.07,7.83,9.7400031378,0.0,0.0,0.0,0.0
45,06809,澜起科技,258.0,-4.59,3148.99,6.26,89.87,12.73,11.5991871723,0.0,0.0,0.0,0.0
46,00016,新鸿基地产,108.2,-7.28,3135.4,17.29,14.63,0.49,3.4232660988,0.0,0.0,0.0,0.0
47,01276,恒瑞医药,43.76,-0.45,2904.44,1.33,33.01,3.91,7.102739472,0.0,0.0,0.0,0.0
48,02601,中国太保,29.4,-0.68,2828.38,2.04,4.41,0.77,9.9060255352,0.0,0.0,0.0,0.0
49,02338,潍柴动力,31.34,-0.89,2707.85,3.69,18.32,2.45,8.1369210579,0.0,0.0,0.0,0.0
50,00001,长和,68.85,-1.5,2636.99,4.68,6.98,0.46,4.6967757312,0.0,0.0,0.0,0.0
51,01339,中国人民保险集团,5.9,-0.76,2609.22,2.12,4.01,0.66,11.5194857125,0.0,0.0,0.0,0.0
52,02611,国泰海通,14.75,-1.93,2593.21,1.51,7.04,0.68,5.7601224554,0.0,0.0,0.0,0.0
53,02378,保诚,103.7,-0.29,2583.68,0.07,9.11,1.68,4.7795591182,0.0,0.0,0.0,0.0
54,01919,中远海控,16.44,-1.08,2510.08,3.69,8.27,0.93,5.7476166698,0.0,0.0,0.0,0.0
55,06951,三环集团,124.4,4.01,2483.92,3.68,65.94,9.14,8.7222563948,0.0,0.0,0.0,0.0
56,09888,百度集团-W,89.1,-0.06,2435.6,10.38,-66.42,0.78,2.1424243888,0.0,0.0,0.0,0.0
57,00669,创科实业,127.0,-1.32,2320.65,7.39,22.79,3.98,10.2516830983,0.0,0.0,0.0,0.0
58,01378,中国宏桥,22.5,-4.01,2209.36,8.9,7.05,1.44,12.9546453199,0.0,0.0,0.0,0.0
59,02714,牧原股份,38.08,0.37,2197.79,0.82,-157.22,2.41,-7.6992811818,0.0,0.0,0.0,0.0
60,01347,华虹宏力,111.7,-1.15,2154.13,18.11,268.48,3.47,0.8663995917999999,0.0,0.0,0.0,0.0
61,01109,华润置地,29.16,-2.67,2079.38,9.99,7.86,0.62,3.3840657433,0.0,0.0,0.0,0.0
62,00066,港铁公司,32.94,-1.85,2050.46,1.9,8.98,1.0,8.0062750795,0.0,0.0,0.0,0.0
63,09992,泡泡玛特,153.0,0.2,2037.62,7.13,13.65,7.67,22.2264851354,0.0,0.0,0.0,0.0
64,02020,安踏体育,72.45,0.56,2026.18,5.2,11.1,2.46,13.803790331400002,0.0,0.0,0.0,0.0
65,03692,翰森制药,32.72,-1.86,1984.19,4.29,26.05,4.56,11.6444531106,0.0,0.0,0.0,0.0
66,00002,中电控股,78.5,-1.07,1983.26,2.22,18.29,1.8,5.5000183426,0.0,0.0,0.0,0.0
67,02476,胜宏科技,200.0,-2.25,1965.57,5.14,34.4,4.5,10.478419101,0.0,0.0,0.0,0.0
68,02269,药明生物,47.0,-1.05,1953.29,15.68,34.4,3.52,5.1192520988,0.0,0.0,0.0,0.0
69,06690,海尔智家,20.58,-1.15,1914.58,4.26,9.42,1.4,8.6552337484,0.0,0.0,0.0,0.0
70,06031,三一重工,19.7,-0.3,1811.42,0.97,17.86,1.71,6.3079169081,0.0,0.0,0.0,0.0
71,00762,中国联通,5.825,-0.68,1782.34,5.89,9.87,0.41,2.5538526275,0.0,0.0,0.0,0.0
72,00175,吉利汽车,16.12,-0.06,1738.63,5.13,9.16,1.6,9.7138448665,0.0,0.0,0.0,0.0
73,06818,中国光大银行,2.86,1.24,1689.85,1.17,4.5,0.29,3.0741502589,0.0,0.0,0.0,0.0
74,01113,长实集团,47.88,-0.04,1675.69,3.59,12.67,0.42,2.1803216119,0.0,0.0,0.0,0.0
75,01038,长江基建集团,66.3,0.15,1670.5,0.79,6.64,1.13,15.4089885767,0.0,0.0,0.0,0.0
76,01801,信达生物,93.55,-0.85,1632.3,14.27,114.25,6.81,6.2497601434000005,0.0,0.0,0.0,0.0
77,00788,中国铁塔,9.03,-0.33,1589.36,1.95,10.47,0.67,3.6566222263,0.0,0.0,0.0,0.0
78,03288,海天味业,27.08,-0.44,1584.46,0.74,19.03,3.52,10.420282621,0.0,0.0,0.0,0.0
79,01816,中广核电力,3.065,-1.45,1547.79,1.72,13.67,1.09,4.8075938509,0.0,0.0,0.0,0.0
80,06886,华泰证券,17.14,-2.56,1547.2,2.02,6.63,0.75,5.5268129494,0.0,0.0,0.0,0.0
81,06936,顺丰控股,29.42,-0.54,1544.82,1.28,12.51,1.31,5.4448505078,0.0,0.0,0.0,0.0
82,02423,贝壳-W,44.56,1.04,1530.98,3.91,28.27,2.05,5.8781826801,0.0,0.0,0.0,0.0
83,01988,民生银行,3.47,-2.66,1519.25,2.65,4.62,0.23,2.8021344815,0.0,0.0,0.0,0.0
84,06869,长飞光纤光缆,183.5,3.44,1519.21,54.35,38.52,8.06,19.3870784704,0.0,0.0,0.0,0.0
85,01766,中国中车,5.29,1.15,1518.17,1.02,9.58,0.75,4.584387216400001,0.0,0.0,0.0,0.0
86,01888,建滔积层板,47.9,-1.48,1509.54,34.32,34.34,8.23,16.6475217964,0.0,0.0,0.0,0.0
87,01336,新华保险,47.58,-1.57,1484.28,2.66,2.96,1.04,19.3882324921,0.0,0.0,0.0,0.0
88,01898,中煤能源,11.14,-2.11,1477.02,1.81,8.47,0.77,5.0138541572,0.0,0.0,0.0,0.0
89,09973,奇瑞汽车,24.94,0.16,1448.67,0.2,7.14,2.32,16.3366100628,0.0,0.0,0.0,0.0
90,00027,银河娱乐,32.78,2.18,1435.52,3.02,13.4,1.7,6.2950651365,0.0,0.0,0.0,0.0
91,02600,中国铝业,8.345,-4.68,1431.58,3.77,7.18,1.47,14.8924941754,0.0,0.0,0.0,0.0
92,03606,福耀玻璃,54.85,0.0,1431.44,0.74,14.89,3.26,10.4822414191,0.0,0.0,0.0,0.0
93,01972,太古地产,24.4,-0.97,1404.83,0.49,42.57,0.52,1.3435185682,0.0,0.0,0.0,0.0
94,01776,广发证券,17.77,-2.42,1390.48,0.91,6.47,0.87,7.000162719,0.0,0.0,0.0,0.0
