排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
66,600919,江苏银行,90.38,99.75,108.63,88.79,98.4,105.14,12.57,-0.4,6.38,88.92,0.85,93.23,12.136,11.606,1.0,3.58,0.92,0.86,9.96,96.36,96.78,银行Ⅱ,三周期共振超买 / 高位+估值顶区
22,601328,交通银行,85.14,103.83,110.0,68.83,96.55,86.39,7.48,0.54,6.78,92.89,0.57,63.1,7.228,6.923,1.0,3.49,1.37,1.2,14.79,91.9,78.84,银行Ⅱ,三周期共振超买 / 高位+估值顶区
35,601869,长飞光纤,97.79,96.45,62.66,75.27,56.66,53.43,473.99,8.78,113.99,90.04,23.98,98.94,400.224,399.142,1.0,18.43,1.35,1.33,84.48,83.72,98.26,通信设备,高位+估值顶区
52,002916,深南电路,110.76,56.01,58.29,104.64,26.01,54.39,396.68,1.11,64.84,95.31,14.99,95.78,362.351,375.793,0.0,9.47,1.0,0.97,35.38,94.05,97.93,元件,高位+估值顶区
75,603268,松发股份,84.89,100.6,96.85,94.53,101.75,92.14,197.5,-1.05,35.82,47.89,15.41,82.52,188.301,167.163,1.0,4.89,1.03,0.72,9.22,74.46,69.5,航海装备Ⅱ,三周期共振超买 / 高位+估值顶区
63,002142,宁波银行,83.81,102.26,97.46,88.24,104.04,90.29,35.5,-1.03,7.53,38.04,0.97,33.21,34.071,32.062,1.0,4.19,0.91,0.87,9.06,66.28,57.93,银行Ⅱ,三周期共振超买
58,002463,沪电股份,97.94,58.76,60.28,94.59,33.3,58.29,128.25,0.26,48.75,94.65,13.72,98.29,120.681,124.235,0.0,6.27,0.78,0.85,55.63,94.21,97.02,元件,高位+估值顶区
12,300308,中际旭创,105.02,17.33,31.78,89.57,-1.01,35.52,926.0,4.03,53.33,59.26,27.36,96.83,885.498,1012.697,0.0,4.57,1.26,0.98,299.74,64.21,94.46,通信设备,高位+估值顶区
56,300408,三环集团,96.24,59.8,51.79,87.76,25.63,54.03,124.36,5.66,74.94,97.16,10.97,98.25,114.096,123.049,0.0,9.0,1.78,1.3,93.01,95.04,96.94,元件,高位+估值顶区
40,002384,东山精密,90.58,17.59,51.94,79.22,11.5,55.73,194.42,0.35,99.33,89.53,14.61,96.31,194.575,213.075,0.0,-0.08,1.17,1.03,144.2,81.74,93.55,元件,高位+估值顶区
74,688498,源杰科技,93.49,71.25,72.74,98.28,52.63,62.9,1701.0,-1.05,281.72,52.21,67.41,96.9,1584.348,1556.808,1.0,7.36,0.98,0.79,57.25,52.21,96.9,半导体,高位+估值顶区
72,002938,鹏鼎控股,83.03,40.72,56.62,81.76,21.24,58.5,92.65,0.87,56.68,97.06,6.24,95.3,89.501,93.845,0.0,3.52,1.0,1.0,22.67,95.29,95.79,元件,高位+估值顶区
26,300502,新易盛,85.5,20.51,35.48,73.88,9.67,40.73,423.0,2.94,44.96,40.45,24.27,93.08,412.53,466.807,0.0,2.54,1.25,0.94,177.33,53.72,87.93,通信设备,高位+估值顶区
