排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
96,300274,阳光电源,11.83,-0.12,-17.41,4.53,3.01,-9.84,84.4,-1.78,15.93,24.25,3.49,30.36,98.96,113.746,0.0,-14.71,1.18,0.88,39.84,29.17,5.29,光伏设备,三周期共振超卖 / 估值+超卖双低
50,600276,恒瑞医药,10.26,-11.8,-1.52,2.51,-8.26,8.04,42.67,-0.61,36.65,0.76,4.39,0.05,47.109,51.521,0.0,-9.42,1.24,0.97,33.94,1.32,0.08,化学制药,三周期共振超卖 / 估值+超卖双低
48,300059,东方财富,-2.08,-5.15,15.45,8.53,8.95,25.81,18.31,-3.48,19.87,0.33,2.94,7.39,19.069,19.809,0.0,-3.98,1.49,1.12,43.85,0.58,12.89,证券Ⅱ,三周期共振超卖 / 估值+超卖双低
87,601336,新华保险,-10.73,23.42,6.95,-3.7,55.84,7.61,58.3,-2.38,4.11,0.05,1.47,40.83,59.81,60.474,0.0,-2.52,0.92,0.94,10.49,0.08,62.07,保险Ⅱ,估值+超卖双低
84,601066,中信建投,-3.48,-2.86,38.23,1.96,4.45,54.75,23.76,-2.66,14.66,0.55,2.1,12.55,24.966,26.297,0.0,-4.83,0.93,0.78,3.86,0.08,8.6,证券Ⅱ,估值+超卖双低
103,002352,顺丰控股,-2.7,5.08,16.13,-7.2,33.22,26.07,31.12,-0.92,15.06,0.95,1.59,0.05,32.388,32.834,0.0,-3.92,1.1,0.82,,1.65,0.08,,三周期共振超卖 / 估值+超卖双低
46,601211,国泰海通,13.74,-6.0,41.89,33.68,4.63,45.84,17.32,-2.37,9.42,2.89,0.92,22.55,17.688,18.198,0.0,-2.08,1.12,0.87,11.62,5.04,39.34,证券Ⅱ,估值+超卖双低
17,601318,中国平安,-1.28,89.07,26.2,8.6,105.82,18.17,54.83,-1.24,6.23,0.09,0.97,22.69,54.271,51.865,1.0,1.03,0.84,0.81,33.03,0.17,39.59,保险Ⅱ,估值+超卖双低
51,000858,五 粮 液,2.67,10.85,5.09,17.19,38.16,9.21,69.75,-1.04,20.69,22.12,2.29,0.28,71.445,72.748,0.0,-2.37,0.88,0.8,16.15,30.74,0.5,白酒Ⅱ,三周期共振超卖 / 估值+超卖双低
34,600030,中信证券,1.61,6.54,68.73,13.5,26.65,80.67,26.92,-2.46,10.61,0.05,1.42,40.69,27.514,28.024,0.0,-2.16,1.32,1.26,36.52,0.08,58.43,证券Ⅱ,估值+超卖双低
101,688795,摩尔线程-U,-2.2,-5.53,3.19,-4.52,-5.38,15.39,357.85,-1.7,-226.87,75.53,13.81,0.53,502.105,589.017,0.0,-28.73,0.79,2.84,,75.53,0.53,,三周期共振超卖
104,301666,大普微-UW,-3.41,4.09,10.85,-9.82,12.22,23.24,373.1,-4.12,134.83,9.71,44.63,0.97,423.811,493.391,0.0,-11.97,0.95,0.78,,9.71,0.97,,三周期共振超卖 / 估值+超卖双低
80,600690,海尔智家,0.75,64.09,32.82,17.21,79.87,27.77,21.01,-0.76,10.96,5.97,1.63,3.41,21.203,20.65,1.0,-0.91,0.95,0.77,5.95,8.1,5.95,白色家电,估值+超卖双低 / 多头回踩MA20
28,688041,海光信息,1.02,-5.22,8.83,-4.24,-2.22,31.98,230.89,-0.64,170.81,58.43,21.15,72.75,246.327,293.748,0.0,-6.27,1.12,0.93,43.37,58.43,72.75,半导体,三周期共振超卖
5,600941,中国移动,-5.36,88.69,85.24,-14.05,105.51,65.84,97.72,0.57,16.08,57.43,1.49,36.15,98.079,94.589,1.0,-0.37,1.19,0.9,8.66,57.43,36.15,通信服务,多头回踩MA20
109,601600,中国铝业,34.18,84.29,7.57,78.84,95.06,6.5,9.44,-4.84,9.27,3.46,1.92,73.14,9.609,9.145,1.0,-1.76,1.64,1.4,,6.03,59.92,,多头回踩MA20
93,601766,中国中车,13.99,97.17,62.81,-5.0,106.54,49.16,6.13,0.49,12.63,5.31,1.0,13.31,6.155,5.786,1.0,-0.41,2.0,1.33,11.11,9.26,23.22,轨交设备Ⅱ,估值+超卖双低 / 多头回踩MA20
108,000776,广发证券,4.85,30.7,50.24,17.3,37.66,55.94,20.9,-3.78,8.66,0.05,1.18,53.39,21.3,21.588,0.0,-1.88,1.64,1.29,,0.08,65.79,,估值+超卖双低
97,601688,华泰证券,13.42,28.81,15.13,37.98,29.53,16.65,18.93,-3.02,8.33,0.05,0.96,30.98,19.094,19.621,0.0,-0.86,1.46,1.04,11.12,0.08,54.05,证券Ⅱ,估值+超卖双低
9,600519,贵州茅台,-1.76,63.08,35.82,-1.95,86.33,39.7,1275.16,-0.78,19.57,3.13,6.34,2.46,1298.32,1276.143,1.0,-1.78,1.25,1.06,44.31,5.45,4.3,白酒Ⅱ,估值+超卖双低 / 多头回踩MA20
60,002714,牧原股份,6.08,87.52,53.82,28.63,107.7,42.53,42.18,-0.09,-217.26,13.31,3.08,11.7,41.288,39.1,1.0,2.16,0.67,0.64,13.02,15.62,20.41,养殖业,估值+超卖双低
62,601816,京沪高铁,21.61,52.69,75.52,22.42,71.0,77.06,4.81,-0.41,17.27,1.18,1.12,1.49,4.879,4.8,1.0,-1.41,0.93,0.84,5.44,1.57,1.98,铁路公路,多头回踩MA20
90,600406,国电南瑞,17.73,26.02,1.79,23.94,42.1,9.92,22.29,-0.89,21.31,9.76,3.44,24.54,22.943,23.159,0.0,-2.85,0.97,0.66,6.3,0.41,1.16,电网设备,估值+超卖双低
19,002594,比亚迪,7.47,11.65,24.76,-5.27,42.59,37.48,84.0,0.57,26.02,22.55,3.19,25.2,88.592,88.798,0.0,-5.18,1.2,0.9,22.83,39.34,0.58,乘用车,估值+超卖双低
13,601628,中国人寿,11.64,28.09,28.78,12.08,46.6,25.61,37.99,-0.76,4.34,0.05,1.62,5.59,38.055,38.06,0.0,-0.17,0.92,0.83,10.68,0.08,9.75,保险Ⅱ,估值+超卖双低
110,600362,江西铜业,38.73,76.98,14.39,82.56,84.68,15.91,45.78,-7.78,13.68,39.74,1.81,93.75,47.048,44.7,1.0,-2.7,1.46,1.67,,69.34,89.09,,多头回踩MA20
53,603986,兆易创新,19.21,3.09,12.5,28.82,-0.59,27.43,371.32,-2.45,32.97,10.52,7.01,40.64,396.144,488.177,0.0,-6.27,1.0,0.64,107.86,18.35,70.74,半导体,三周期共振超卖 / 估值+超卖双低
81,601898,中煤能源,15.53,83.73,31.23,22.23,100.09,33.64,14.73,-1.34,10.65,53.91,1.18,92.47,14.773,13.726,1.0,-0.29,1.22,1.08,7.52,87.77,86.94,煤炭开采,多头回踩MA20
45,002415,海康威视,21.98,15.22,63.09,26.75,36.68,87.52,33.25,-0.78,18.54,5.73,3.61,16.34,34.569,34.553,1.0,-3.82,0.59,0.56,14.42,10.0,28.51,计算机设备,多头回踩MA20
65,600309,XD万华化,32.94,86.15,21.42,65.73,99.66,24.69,74.5,-2.41,14.16,31.6,2.05,9.05,74.873,72.721,1.0,-0.5,1.16,0.99,24.99,27.44,15.79,化学制品,多头回踩MA20
