排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
86,600690,海尔智家,21.12,198055538208,132063960040,白色家电,597796979.0,3.86,-6.8649883795,46.52,-15.218894868464,25.3437866989
87,300760,迈瑞医疗,162.03,196347861805,196163587354,医疗器械,942832419.01,5.96,1.3941290693,23.3,-11.372013981418,61.8700838989
88,603268,松发股份,187.0,190500067967,43617711104,航海装备Ⅱ,633114876.0,32.06,251.874251691,36.09,457.668942986394,23.6588177372
89,601336,新华保险,60.59,189013328494,126356769611,保险Ⅱ,1599732080.0,18.87,18.8703759227,227.93,54.017163321846,0.0
90,600406,国电南瑞,23.06,185212296957,184668542296,电网设备,1465510495.0,5.73,14.5359559071,30.73,4.08163089096,25.3392957491
91,300604,长川科技,284.8,183861808851,139401464688,半导体,4003913399.05,7.17,69.0854419545,3.53,217.602047030852,56.8082975489
92,601985,中国核电,8.9,183055218459,168061235316,电力,737057911.0,1.73,-6.6485477301,20.64,-34.191281406826,39.5018012149
93,601668,中国建筑,4.43,183049329667,183049329667,房屋建设Ⅱ,940710675.0,2.77,-7.8455814387,138.81,-7.531783889271,7.9268484254
94,601818,光大银行,3.04,179620075225,141076719305,银行Ⅱ,546191702.0,1.995,-3.853593665,114.59,-8.063222079589,0.0
95,600025,华能水电,9.64,179603748637,179603748637,电力,329824947.0,5.91,1.4544203223,43.76,-5.049088925195,57.1891827428
96,601766,中国中车,6.21,178219945986,151075625878,轨交设备Ⅱ,1074649959.0,4.54,9.956998576,79.91,10.280413688099,22.2659912397
97,301377,鼎泰高科,416.97,176814016130,41222043650,通用设备,1236830915.12,23.27,114.8532705135,6.79,325.11511168433,55.9236303489
98,600989,宝丰能源,24.0,176000640000,176000640000,化学原料,1735750596.0,18.61,32.3321115262,97.28,70.137377080532,43.5632332124
99,002352,顺丰控股,33.41,175913942886,160338440803,物流,469548465.13,2.52,6.1448842808,25.26,13.048580765259,13.7376175143
100,600487,亨通光电,71.3,175853767924,174944978124,通信设备,19124123705.0,9.43,31.1319208289,31.2,93.381059137176,16.7677104602
101,600031,三一重工,,,,,,,,,,
102,601688,华泰证券,,,,,,,,,,
