排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,510300,沪深300ETF华泰柏瑞,26.46,18.33,19.88,34.71,23.42,33.4,4.62,-0.02,13.64,64.08,1.44,43.24,4.688,4.774,0,-1.45,1.29,0.9,39.06,,,沪深300
2,588000,科创50ETF华夏,16.97,-3.64,25.42,38.86,3.62,40.23,1.67,-1.94,71.28,68.92,7.38,84.89,1.769,1.908,0,-5.6,1.58,0.99,74.1,,,科创板
3,159915,创业板ETF易方达,2.84,12.25,3.91,4.85,21.15,26.58,3.31,-0.6,37.73,30.64,5.28,59.2,3.507,3.728,0,-5.62,1.29,0.89,62.27,,,创业板
4,512880,证券ETF国泰,79.56,29.68,38.07,74.97,20.67,35.61,1.1,0.64,13.06,5.48,1.29,19.08,1.089,1.104,0,1.47,1.29,1.28,24.87,,,证券
5,588200,科创芯片ETF嘉实,19.62,3.74,30.3,38.43,9.17,44.39,1.11,-2.2,96.05,72.96,,,1.182,1.288,0,-6.09,1.19,0.76,28.98,,,半导体
6,159516,半导体设备ETF国泰,1.26,7.17,35.7,2.58,16.07,50.49,0.66,-2.65,95.05,91.02,,,0.728,0.766,0,-9.34,1.37,0.82,34.64,,,半导体
7,588170,科创半导体ETF华夏,-2.38,6.86,35.91,1.48,17.09,51.21,0.9,-3.74,42.81,80.22,,,1.007,1.059,0,-10.63,1.2,0.7,49.39,,,半导体
8,515880,通信ETF国泰,14.36,32.89,19.6,26.53,30.93,35.35,0.64,-0.93,42.06,86.62,,,0.664,0.723,0,-3.61,1.05,0.67,25.86,,,通信
9,563360,A500ETF华泰柏瑞,18.34,18.89,13.12,30.32,25.66,31.08,1.27,-0.31,15.24,49.52,,,1.293,1.323,0,-2.09,1.03,0.93,41.16,,,中证A500
10,510500,中证500ETF南方,25.05,28.56,16.45,49.45,33.16,38.95,7.67,-1.43,25.77,62.86,2.37,76.76,7.909,8.101,0,-3.02,1.43,1.2,40.95,,,中证500
11,512890,红利低波ETF华泰柏瑞,79.25,99.65,100.06,68.84,89.77,77.3,1.21,0.83,8.04,74.61,0.88,63.04,1.179,1.152,1,2.63,0.69,0.74,6.88,,,红利
12,159995,芯片ETF华夏,13.87,-0.04,21.14,36.07,5.49,35.48,1.09,-2.24,,,,,1.167,1.296,0,-6.6,1.48,0.95,8.46,,,半导体
