排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,00700,腾讯控股,64.96,7.32,4.84,65.73,11.29,7.85,433.4,-1.23,14.77,,3.01,,440.59,451.253,0.0,-1.63,0.71,0.6,55.17,,,
2,00005,汇丰控股,1.92,40.46,85.04,11.03,65.37,91.26,160.9,0.81,14.64,,2.04,,162.955,159.523,1.0,-1.26,0.71,0.59,9.96,,,
3,01398,工商银行,26.85,86.89,90.58,29.9,97.65,89.58,7.54,0.6,6.34,,0.59,,7.548,7.184,1.0,-0.17,0.92,0.69,7.92,,,
4,00939,建设银行,42.98,96.8,96.46,56.65,105.16,96.68,9.63,0.26,6.42,,0.61,,9.487,8.876,1.0,1.56,0.54,0.58,11.84,,,
5,03750,宁德时代,13.36,0.06,12.91,11.59,3.42,43.13,501.0,-2.91,24.06,,5.31,,582.925,622.242,0.0,-14.05,2.75,3.63,37.57,,,
6,01288,农业银行,27.08,80.49,90.23,21.46,90.48,85.23,6.36,0.79,6.59,,0.68,,6.347,5.961,1.0,0.2,0.92,0.91,4.52,,,
7,09988,阿里巴巴-W,24.7,-0.47,16.59,31.34,21.54,18.19,106.2,-0.93,24.85,,1.68,,111.83,112.207,0.0,-5.03,0.64,0.4,36.32,,,
8,03988,中国银行,40.27,97.54,97.61,46.85,104.6,98.64,5.98,0.42,6.82,,0.61,,5.814,5.401,1.0,2.86,0.59,0.56,5.91,,,
9,00857,中国石油股份,-6.47,55.29,33.65,7.42,84.18,37.29,9.79,-1.85,8.94,,0.95,,10.079,9.668,1.0,-2.87,0.8,0.82,6.12,,,
10,00941,中国移动,51.19,4.99,28.1,40.12,14.83,32.83,79.35,0.38,11.45,,1.03,,79.805,80.243,0.0,-0.57,0.81,0.58,5.74,,,
11,03308,中际旭创,51.38,56.96,,41.64,51.79,,1137.0,4.79,57.5,,27.63,,1077.05,,,5.57,1.09,1.12,23.6,,,
12,03968,招商银行,-0.65,80.18,83.65,11.72,94.63,69.84,51.35,0.29,7.52,,0.98,,50.987,48.621,1.0,0.71,0.75,0.75,4.47,,,
13,00883,中国海洋石油,-5.56,64.94,29.28,-4.93,85.3,29.7,24.36,-0.49,7.34,,1.17,,25.014,23.559,1.0,-2.61,0.87,0.99,14.49,,,
14,01088,中国神华,37.49,84.12,54.32,48.37,102.42,52.74,45.24,-0.53,15.73,,1.86,,45.57,43.455,1.0,-0.72,0.79,0.94,3.78,,,
15,02318,中国平安,-10.85,7.62,1.74,-9.41,45.67,11.51,52.8,-0.47,5.28,,0.81,,55.657,55.223,1.0,-5.13,0.64,0.63,12.45,,,
