排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,461.6,-1.95,41925.84,126.8,15.71,3.21
2,03750,宁德时代,654.0,0.38,30258.32,9.12,31.41,6.93
3,00005,汇丰控股,161.4,-0.19,27734.27,11.63,14.71,2.04
4,01398,工商银行,7.16,-0.42,25518.69,9.56,6.14,0.57
5,09988,阿里巴巴-W,122.6,-3.01,23508.54,79.67,20.04,1.94
6,00939,建设银行,8.75,-0.85,22890.03,9.95,5.98,0.57
7,01288,农业银行,5.79,-1.03,20264.02,3.31,6.15,0.63
8,00941,中国移动,81.7,0.0,17718.45,9.97,11.67,1.07
9,00857,中国石油股份,9.51,-2.31,17405.29,7.63,9.81,0.95
10,03988,中国银行,5.205,-1.05,16771.16,4.31,6.11,0.54
11,03968,招商银行,48.02,-0.66,12110.57,4.86,7.18,0.94
12,00883,中国海洋石油,23.96,-1.16,11388.18,7.59,8.14,1.2
13,02318,中国平安,55.55,-0.63,10058.8,20.27,6.78,0.87
14,02899,紫金矿业,35.92,1.53,9551.38,13.84,13.83,4.27
15,01088,中国神华,43.0,-2.01,9326.46,2.44,15.81,1.66
16,01211,比亚迪股份,89.6,-0.11,8169.01,9.19,26.51,3.11
17,02628,中国人寿,27.06,-0.51,7648.43,14.15,4.74,1.13
18,01299,友邦保险,72.65,-0.27,7516.84,23.19,15.49,2.27
19,00300,美的集团,96.1,-0.93,7330.98,2.56,14.8,2.78
20,01810,小米集团-W,26.36,-1.13,6789.95,28.11,17.14,2.27
21,03328,交通银行,7.255,-0.68,6410.79,1.24,5.94,0.49
22,09999,网易,192.5,-5.08,6176.86,11.32,16.13,3.29
23,02359,药明康德,198.9,-0.1,5894.62,12.92,23.65,6.14
24,01658,邮储银行,4.81,-0.72,5776.57,1.58,5.86,0.49
25,00981,中芯国际,67.4,3.22,5770.15,44.94,106.53,3.18
26,03690,美团-W,91.65,-1.5,5659.82,30.47,-12.72,3.33
27,02513,智谱,1208.0,1.34,5624.73,56.26,-108.13,-5.43
28,02388,中银香港,49.82,-1.05,5267.36,3.84,13.13,1.47
29,00388,香港交易所,406.6,0.3,5155.02,10.7,27.33,9.35
30,00386,中国石油化工股份,4.255,-1.28,5145.38,3.8,12.6,0.55
31,02888,渣打集团,233.8,-0.34,5116.59,1.85,12.11,1.41
32,02475,立讯精密,63.65,3.33,4925.12,4.23,25.62,4.64
33,09633,农夫山泉,42.68,-1.02,4799.99,1.94,27.32,10.98
34,00728,中国电信,4.605,0.88,4213.9,3.56,11.88,0.79
35,06030,中信证券,26.94,-1.32,4209.18,10.34,11.16,1.21
36,00998,中信银行,7.415,0.14,4126.09,0.73,5.17,0.49
37,03993,洛阳钼业,18.1,1.12,3872.37,4.26,14.33,3.85
