排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,00700,腾讯控股,7.64,77.53,10.78,33.6,88.35,2.21,461.6,-1.95,15.71,,3.21,
2,03750,宁德时代,46.55,32.82,55.69,45.55,18.27,59.83,654.0,0.38,31.41,,6.93,
3,00005,汇丰控股,19.49,71.45,91.77,18.8,86.47,98.71,161.4,-0.19,14.71,,2.04,
4,01398,工商银行,-2.03,74.58,70.82,-2.82,82.24,74.53,7.16,-0.42,6.14,,0.57,
5,09988,阿里巴巴-W,65.65,100.07,25.83,87.78,95.14,8.33,122.6,-3.01,20.04,,1.94,
6,00939,建设银行,-0.49,75.61,72.84,4.3,82.35,78.46,8.75,-0.85,5.98,,0.57,
7,01288,农业银行,-6.66,60.18,55.26,-9.49,72.4,64.03,5.79,-1.03,6.15,,0.63,
8,00941,中国移动,-8.73,78.91,47.89,-9.47,79.38,44.58,81.7,0.0,11.67,,1.07,
9,00857,中国石油股份,27.4,69.12,25.52,34.73,62.41,34.14,9.51,-2.31,9.81,,0.95,
10,03988,中国银行,-7.8,59.93,74.59,-2.37,68.13,85.64,5.21,-1.05,6.11,,0.54,
11,03968,招商银行,-9.4,75.58,47.84,-4.47,89.38,47.73,48.02,-0.66,7.18,,0.94,
12,00883,中国海洋石油,82.62,83.5,20.27,74.16,56.35,20.49,23.96,-1.16,8.14,,1.2,
13,02318,中国平安,-12.58,85.11,8.36,-17.16,95.75,10.69,55.55,-0.63,6.78,,0.87,
14,02899,紫金矿业,63.76,104.55,23.66,72.82,106.49,6.76,35.92,1.53,13.83,,4.27,
15,01088,中国神华,60.06,69.26,29.85,84.52,56.81,33.61,43.0,-2.01,15.81,,1.66,
16,01211,比亚迪股份,-1.32,91.15,50.14,6.35,96.66,42.81,89.6,-0.11,26.51,,3.11,
17,02628,中国人寿,-13.83,24.4,18.39,-4.1,47.94,30.51,27.06,-0.51,4.74,,1.13,
18,01299,友邦保险,11.53,45.63,5.0,15.88,64.12,21.62,72.65,-0.27,15.49,,2.27,
19,00300,美的集团,18.87,95.18,83.88,32.51,100.18,72.59,96.1,-0.93,14.8,,2.78,
20,01810,小米集团-W,-1.61,60.97,21.28,0.04,71.77,14.57,26.36,-1.13,17.14,,2.27,
21,03328,交通银行,13.42,64.16,68.76,14.83,66.92,73.22,7.25,-0.68,5.94,,0.49,
22,09999,网易,2.95,40.53,43.11,35.66,64.37,49.67,192.5,-5.08,16.13,,3.29,
23,02359,药明康德,96.25,102.64,97.13,98.64,103.44,90.73,198.9,-0.1,23.65,,6.14,
24,01658,邮储银行,0.39,53.07,28.87,5.11,63.51,25.35,4.81,-0.72,5.86,,0.49,
25,00981,中芯国际,81.85,6.52,40.45,61.01,0.5,49.79,67.4,3.22,106.53,,3.18,
26,03690,美团-W,37.78,107.01,71.33,59.0,113.59,52.21,91.65,-1.5,-12.72,,3.33,
27,02513,智谱,91.23,3.99,28.56,93.89,0.02,38.69,1208.0,1.34,-108.13,,-5.43,
28,02388,中银香港,19.41,85.54,82.08,29.02,92.89,81.56,49.82,-1.05,13.13,,1.47,
29,00388,香港交易所,21.2,104.69,45.52,34.69,112.42,28.5,406.6,0.3,27.33,,9.35,
30,00386,中国石油化工股份,4.27,81.64,2.83,15.6,99.17,3.72,4.25,-1.28,12.6,,0.55,
31,02888,渣打集团,62.05,86.77,96.57,73.64,91.46,96.49,233.8,-0.34,12.11,,1.41,
