排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,510300,沪深300ETF华泰柏瑞,-1.83,-2.51,8.6,12.54,10.93,33.4,4.52,-0.7,13.36,59.3,1.41,36.88,4.632,4.733,0,-2.42,1.08,0.87,31.65,,,沪深300
2,588000,科创50ETF华夏,20.6,-1.99,23.25,5.24,-4.94,40.23,1.64,1.67,73.03,72.03,7.39,84.95,1.705,1.877,0,-3.81,1.2,1.01,60.44,,,科创板
3,159915,创业板ETF易方达,8.39,11.36,1.51,24.54,14.53,26.58,3.27,-1.03,37.19,29.64,5.2,57.68,3.404,3.635,0,-3.94,1.11,0.89,50.31,,,创业板
4,512880,证券ETF国泰,-14.32,-6.93,22.78,-8.76,7.05,35.61,1.05,-0.48,12.34,3.11,1.22,8.84,1.082,1.103,0,-3.23,0.65,0.56,10.13,,,证券
5,588200,科创芯片ETF嘉实,23.3,5.23,28.64,7.73,0.75,44.39,1.09,1.96,100.44,75.27,,,1.139,1.264,0,-4.13,1.35,0.82,24.86,,,半导体
6,515880,通信ETF国泰,33.79,62.09,21.36,55.18,49.05,35.35,0.65,-1.07,42.76,86.57,,,0.661,0.699,0,-1.66,0.86,0.71,24.76,,,通信
7,159516,半导体设备ETF国泰,53.15,19.81,36.87,24.2,5.39,50.49,0.67,3.4,97.09,91.32,,,0.695,0.758,0,-3.6,1.44,0.86,29.55,,,半导体
8,588170,科创半导体ETF华夏,49.28,20.13,37.53,21.62,4.53,51.21,0.92,3.49,42.3,79.06,,,0.96,1.049,0,-4.17,1.55,0.89,49.85,,,半导体
9,510500,中证500ETF南方,26.02,33.54,13.23,26.93,28.63,38.95,7.59,-0.11,25.61,61.69,2.35,76.16,7.781,8.003,0,-2.45,1.2,1.09,31.74,,,中证500
10,563360,A500ETF华泰柏瑞,4.33,1.27,3.66,19.88,12.97,31.08,1.24,-0.64,14.97,48.11,,,1.274,1.309,0,-2.75,1.0,0.97,40.05,,,中证A500
11,512890,红利低波ETF华泰柏瑞,38.91,89.03,94.56,61.34,98.7,77.3,1.2,-0.66,7.99,73.3,0.87,62.0,1.196,1.16,1,0.33,1.02,0.76,6.5,,,红利
12,159995,芯片ETF华夏,24.46,2.36,20.31,6.85,-1.28,35.48,1.08,2.27,,,,,1.122,1.267,0,-3.74,1.24,0.83,6.08,,,半导体
13,512400,有色金属ETF南方,10.03,58.37,5.74,19.69,71.34,10.61,1.73,-0.52,15.11,79.17,,,1.824,1.77,1,-5.15,0.79,0.59,6.39,,,有色金属
14,159949,创业板50ETF华安,6.08,7.44,-4.29,25.4,13.19,19.97,1.52,-1.49,,,,,1.593,1.715,0,-4.65,0.95,0.79,12.88,,,创业板
15,512170,医疗ETF华宝,36.46,27.18,39.5,40.74,41.19,37.25,0.33,-1.2,27.28,20.06,3.44,11.48,0.34,0.33,1,-2.94,0.51,0.34,1.86,,,医药
16,510050,上证50ETF华夏,-1.62,8.79,24.07,5.23,37.8,38.25,2.96,-0.54,10.96,68.57,1.23,45.88,3.01,3.029,0,-1.66,1.0,0.88,12.6,,,上证50
17,159819,人工智能ETF易方达,1.59,-2.3,20.02,2.99,1.0,39.9,1.67,0.12,43.31,41.86,,,1.721,1.872,0,-3.2,0.95,0.56,2.5,,,人工智能
18,515450,红利低波50ETF南方,35.82,46.82,70.55,65.0,63.77,66.82,1.4,-0.78,8.51,78.88,0.87,62.0,1.399,1.381,1,0.07,0.76,0.56,1.11,,,红利
19,512480,半导体ETF国联安,20.11,4.34,22.52,8.87,0.29,39.38,0.96,1.37,64.46,45.9,,,1.008,1.128,0,-4.76,1.12,0.77,10.28,,,半导体
