排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,00700,腾讯控股,-6.55,47.75,5.6,-15.33,58.18,2.21,446.4,1.45,15.23,,3.1,
2,03750,宁德时代,33.02,36.91,55.23,28.59,27.7,59.83,652.0,1.64,31.31,,6.91,
3,00005,汇丰控股,55.14,68.29,94.44,24.17,69.67,98.71,163.5,1.68,14.9,,2.07,
4,01398,工商银行,47.75,73.49,73.57,8.87,74.87,74.53,7.22,0.77,6.2,,0.58,
5,09988,阿里巴巴-W,8.57,97.06,25.46,2.66,95.03,8.33,122.2,1.92,19.97,,1.93,
6,00939,建设银行,57.09,78.03,78.71,4.94,75.14,78.46,8.9,1.83,6.08,,0.58,
7,01288,农业银行,48.51,60.8,61.2,17.08,62.92,64.03,5.9,1.03,6.27,,0.65,
8,00941,中国移动,31.2,84.38,52.19,8.94,81.81,44.58,82.4,0.43,11.89,,1.07,
9,00857,中国石油股份,36.76,72.44,26.5,19.84,66.91,34.14,9.56,1.16,9.86,,0.95,
10,03988,中国银行,62.38,68.31,80.53,13.24,64.0,85.64,5.3,1.05,6.23,,0.55,
11,03968,招商银行,-3.55,65.27,46.34,-2.17,75.0,47.73,47.82,-0.29,7.15,,0.94,
12,00883,中国海洋石油,79.18,96.63,19.99,77.94,81.29,20.49,23.92,0.42,8.13,,1.2,
13,02318,中国平安,-7.57,67.39,6.0,-12.74,76.9,10.69,54.8,0.37,6.69,,0.86,
14,02899,紫金矿业,38.07,97.51,23.66,30.78,96.95,6.76,35.92,3.22,13.83,,4.27,
15,01088,中国神华,43.03,79.28,31.62,38.53,69.78,33.61,43.26,0.51,15.9,,1.67,
16,01211,比亚迪股份,21.44,85.98,50.98,-3.4,86.99,42.81,90.05,2.04,26.64,,3.13,
17,02628,中国人寿,16.16,29.1,24.24,-11.25,20.57,30.51,27.98,4.4,4.9,,1.17,
18,01299,友邦保险,20.31,33.43,7.52,-4.21,29.43,21.62,73.4,4.26,15.65,,2.29,
19,00300,美的集团,7.64,89.12,81.77,16.03,94.46,72.59,95.5,-0.42,14.7,,2.76,
20,01810,小米集团-W,4.54,48.63,19.61,-4.19,55.79,14.57,25.88,1.01,16.83,,2.23,
21,03328,交通银行,43.88,70.41,71.13,17.6,63.58,73.22,7.3,0.76,5.97,,0.49,
22,00981,中芯国际,101.1,34.81,54.25,94.34,15.27,49.79,75.15,6.14,79.22,,3.26,
23,09999,网易,0.5,33.94,45.18,-5.81,42.88,49.67,194.2,0.31,16.27,,3.32,
24,02359,药明康德,85.92,102.26,98.56,83.99,101.23,90.73,203.4,3.04,24.19,,6.28,
25,01658,邮储银行,18.3,51.79,29.24,-0.32,51.02,25.35,4.82,0.52,5.87,,0.49,
26,02513,智谱,61.64,8.12,28.43,87.44,6.25,38.69,1203.0,-5.28,-107.69,,-5.41,
27,03690,美团-W,-1.51,87.17,64.31,0.51,96.46,52.21,87.65,0.52,-12.17,,3.19,
28,02388,中银香港,63.88,86.7,84.88,37.5,88.32,81.56,50.4,0.4,13.28,,1.49,
