排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.532,-0.4,1066.95,1066.95,23.04,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(500.0亿)；沪深300ETF华夏(394.22亿)；沪深300ETF嘉实(299.94亿)；沪深300ETF天弘(80.29亿)
2,588000,科创50ETF华夏,1.696,-0.7,943.72,943.72,55.9,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(433.42亿)；科创50ETF工银(111.92亿)；科创50ETF广发(83.02亿)
3,159915,创业板ETF易方达,3.319,-0.33,673.94,673.94,50.66,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(115.75亿)；创业板ETF天弘(64.88亿)
4,512880,证券ETF国泰,1.042,-1.14,590.34,590.34,11.96,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(363.35亿)；证券ETF天弘(116.32亿)；券商ETF银华(89.73亿)；证券ETF南方(76.57亿)
5,588200,科创芯片ETF嘉实,1.141,-0.52,488.73,488.73,21.1,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(73.66亿)
6,515880,通信ETF国泰,0.686,0.15,438.75,438.75,33.72,中证全指通信设备指数,指数型-股票,通信,
7,510500,中证500ETF南方,7.681,-0.38,423.21,423.21,32.18,中证500指数,指数型-股票,中证500,中证500ETF嘉实(83.06亿)；中证500ETF华夏(78.47亿)
8,159516,半导体设备ETF国泰,0.703,-0.42,420.85,420.85,32.9,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(204.4亿)；半导体设备ETF广发(127.38亿)；半导体设备ETF华夏(88.32亿)
9,588170,科创半导体ETF华夏,0.979,0.2,411.86,411.86,54.35,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(109.49亿)
10,563360,A500ETF华泰柏瑞,1.247,-0.4,387.74,387.74,36.16,中证A500指数,指数型-股票,中证A500,A500ETF南方(329.78亿)；A500ETF易方达(269.34亿)；中证A500ETF国泰(252.64亿)；A500ETF华夏(190.34亿)
11,512890,红利低波ETF华泰柏瑞,1.184,-0.5,310.08,310.08,5.04,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(119.3亿)
12,159995,芯片ETF华夏,1.114,-0.89,275.0,275.0,6.16,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(65.91亿)
13,159949,创业板50ETF华安,1.543,-0.45,248.87,248.87,11.65,创业板50指数,指数型-股票,创业板,
14,512400,有色金属ETF南方,1.708,-2.57,245.3,245.3,7.29,有色金属,指数型-股票,有色金属,
15,512170,医疗ETF华宝,0.337,0.6,242.01,242.01,4.11,中证医疗指数,指数型-股票,医药,
16,510050,上证50ETF华夏,2.958,-0.74,212.68,212.68,14.33,上证50指数,指数型-股票,上证50,
17,159819,人工智能ETF易方达,1.714,-0.52,208.92,208.92,2.89,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(82.13亿)
18,512480,半导体ETF国联安,1.001,-0.69,202.38,202.38,9.11,中证全指半导体产品与设备指数,指数型-股票,半导体,
19,515450,红利低波50ETF南方,1.392,-0.29,199.26,199.26,1.27,标普中国A股大盘红利低波50指数,指数型-股票,红利,
20,510880,红利ETF华泰柏瑞,3.347,-0.59,190.17,190.17,3.45,上证红利指数,指数型-股票,红利,
21,159326,电网设备ETF华夏,1.644,0.12,188.08,188.08,3.45,中证电网设备主题指数,指数型-股票,其他,
22,515050,通信ETF华夏,1.044,-0.57,184.74,184.74,10.34,中证5G通信主题指数,指数型-股票,通信,
23,512100,中证1000ETF南方,3.066,-0.52,179.58,179.58,24.66,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(66.27亿)；中证1000ETF广发(58.6亿)
24,515180,红利ETF易方达,1.411,-0.35,179.39,179.39,2.9,中证红利指数,指数型-股票,红利,中证红利ETF招商(107.61亿)
25,510180,上证180ETF华安,3.877,-0.26,171.42,171.42,0.44,上证180指数,指数型-股票,上证180,
26,562500,机器人ETF华夏,0.916,0.44,170.15,170.15,4.18,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(58.11亿)
27,159781,科创创业ETF易方达,1.038,-0.67,164.19,164.19,2.88,中证科创创业50指数,指数型-股票,科创板,
28,159992,创新药ETF银华,0.83,0.48,161.86,161.86,5.35,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(109.11亿)
29,159530,机器人ETF易方达,1.287,1.26,160.95,160.95,4.93,国证机器人产业指数,指数型-股票,机器人,
30,159201,自由现金流ETF华夏,1.159,-0.26,156.54,156.54,3.07,国证自由现金流指数,指数型-股票,货币市场,
31,159928,消费ETF汇添富,0.649,0.15,149.46,149.46,1.94,中证主要消费指数,指数型-股票,消费,
32,510210,上证指数ETF富国,0.995,-0.5,149.33,149.33,6.06,上证综合指数,指数型-股票,其他,
33,512010,医药ETF易方达,0.372,0.81,148.82,148.82,2.47,沪深300医药卫生指数,指数型-股票,医药,
34,512690,酒ETF鹏华,0.408,0.0,131.73,131.73,2.96,中证酒指数,指数型-股票,白酒,
