排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,510300,沪深300ETF华泰柏瑞,24.11,8.3,9.73,20.92,10.93,33.4,4.53,-0.44,13.34,59.11,1.41,36.6,4.621,4.717,0,-1.97,0.69,0.66,23.04,,,沪深300
2,588000,科创50ETF华夏,92.75,8.69,27.6,69.62,-4.94,40.23,1.7,-0.47,75.51,78.62,7.66,90.12,1.7,1.862,0,0.0,0.88,0.93,55.9,,,科创板
3,159915,创业板ETF易方达,37.84,17.88,4.51,29.84,14.53,26.58,3.32,-0.3,37.65,30.52,5.27,59.16,3.386,3.601,0,-1.95,0.99,0.93,50.66,,,创业板
4,512880,证券ETF国泰,-2.08,-3.58,21.46,0.55,7.05,35.61,1.04,-1.14,12.28,2.83,1.21,7.96,1.081,1.1,0,-3.61,0.8,0.69,11.96,,,证券
5,588200,科创芯片ETF嘉实,92.68,16.37,32.78,76.4,0.75,44.39,1.14,-0.61,104.62,76.11,,,1.136,1.253,0,0.35,0.9,0.7,21.1,,,半导体
6,515880,通信ETF国泰,84.54,77.74,28.4,72.44,49.05,35.35,0.69,0.73,44.63,87.29,,,0.665,0.691,0,3.76,1.12,1.0,33.72,,,通信
7,510500,中证500ETF南方,56.15,40.59,16.85,48.48,28.63,38.95,7.68,-0.39,25.82,63.14,2.37,76.92,7.767,7.963,0,-1.12,1.01,1.12,32.18,,,中证500
8,159516,半导体设备ETF国泰,97.47,33.37,40.39,92.16,5.39,50.49,0.7,-0.85,101.5,92.49,,,0.692,0.753,0,1.16,1.19,0.95,32.9,,,半导体
9,588170,科创半导体ETF华夏,108.69,35.79,42.4,90.72,4.53,51.21,0.98,0.31,43.66,82.82,,,0.956,1.043,0,2.51,1.22,0.96,54.35,,,半导体
10,563360,A500ETF华泰柏瑞,29.09,10.13,6.46,24.41,12.97,31.08,1.25,-0.4,14.98,48.12,,,1.271,1.304,0,-1.89,0.88,0.88,36.16,,,中证A500
11,512890,红利低波ETF华泰柏瑞,-11.12,72.22,84.52,12.22,98.7,77.3,1.18,-0.84,7.9,71.35,0.86,61.04,1.196,1.163,1,-1.34,0.83,0.64,5.04,,,红利
12,159995,芯片ETF华夏,85.96,10.85,22.79,74.08,-1.28,35.48,1.11,-1.25,,,,,1.118,1.253,0,-0.72,1.06,0.86,6.16,,,半导体
13,159949,创业板50ETF华安,31.41,14.13,-1.47,26.15,13.19,19.97,1.54,-0.45,,,,,1.583,1.697,0,-2.53,0.8,0.75,11.65,,,创业板
14,512400,有色金属ETF南方,5.59,54.34,4.28,19.7,71.34,10.61,1.71,-2.45,14.92,78.02,,,1.818,1.766,1,-5.94,0.99,0.7,7.29,,,有色金属
15,512170,医疗ETF华宝,90.49,37.65,46.44,61.01,41.19,37.25,0.34,1.49,27.5,21.39,3.48,12.72,0.339,0.331,1,0.29,1.23,0.78,4.11,,,医药
