排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,478.8,-0.08,43488.07,73.16,16.54,3.42
2,03750,宁德时代,632.0,0.64,29240.46,10.14,30.35,6.69
3,00005,汇丰控股,160.9,0.5,27648.35,17.7,14.66,2.04
4,01398,工商银行,7.135,-0.9,25429.59,12.48,6.12,0.57
5,09988,阿里巴巴-W,123.7,-0.56,23719.46,68.42,20.22,1.96
6,00939,建设银行,8.805,-0.62,23033.91,14.15,6.02,0.57
7,01288,农业银行,5.865,-1.18,20526.5,3.47,6.23,0.64
8,00941,中国移动,81.8,-0.73,17740.14,9.79,11.68,1.07
9,00857,中国石油股份,9.505,0.96,17396.14,7.39,9.8,0.95
10,03988,中国银行,5.235,-0.85,16867.82,5.63,6.15,0.54
11,03968,招商银行,48.72,-0.37,12287.11,4.4,7.28,0.96
12,00883,中国海洋石油,23.22,2.29,11036.46,15.37,7.89,1.16
13,02318,中国平安,57.05,-0.44,10330.41,9.64,6.97,0.9
14,02899,紫金矿业,36.5,3.4,9705.61,26.82,14.06,4.34
15,01088,中国神华,42.92,0.19,9309.11,3.33,15.78,1.66
16,01211,比亚迪股份,90.1,0.28,8214.6,12.06,26.65,3.13
17,02628,中国人寿,28.76,-0.96,8128.93,22.01,5.03,1.2
18,01299,友邦保险,74.3,1.57,7687.56,28.2,15.85,2.32
19,00300,美的集团,95.75,-1.79,7304.02,6.0,14.74,2.77
20,01810,小米集团-W,27.04,0.67,6987.71,38.28,17.64,2.33
21,09999,网易,204.8,0.89,6571.54,9.85,17.16,3.5
22,03328,交通银行,7.25,-0.55,6406.37,1.65,5.93,0.49
23,01658,邮储银行,4.84,-0.41,5812.6,1.12,5.9,0.5
24,02513,智谱,1246.0,14.63,5801.66,105.46,-111.54,-5.6
25,00981,中芯国际,66.8,2.22,5718.79,51.73,105.58,3.15
26,02359,药明康德,192.8,7.29,5713.84,19.76,22.93,5.96
27,03690,美团-W,92.2,0.0,5693.79,24.96,-12.8,3.35
28,02388,中银香港,50.15,-0.5,5302.25,3.75,13.22,1.48
29,00386,中国石油化工股份,4.355,2.11,5266.31,3.95,12.89,0.56
30,00388,香港交易所,411.2,0.29,5213.35,10.32,27.64,9.45
31,02888,渣打集团,232.6,-0.77,5093.76,1.53,12.06,1.4
32,02475,立讯精密,63.35,3.85,4893.96,3.12,25.46,4.61
33,09633,农夫山泉,42.36,-0.24,4764.0,2.1,27.12,10.9
34,06030,中信证券,27.06,1.05,4227.93,2.59,11.21,1.21
35,00728,中国电信,4.495,-1.21,4113.25,3.26,11.6,0.78
36,00998,中信银行,7.36,-1.34,4095.48,0.75,5.13,0.49
37,03993,洛阳钼业,19.06,1.33,4077.76,9.28,15.09,4.05
38,01276,恒瑞医药,58.4,3.55,3876.12,2.71,42.64,5.38
