排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,00700,腾讯控股,77.25,88.17,16.58,478.8,-0.08,16.54,,3.42,
2,03750,宁德时代,42.73,17.86,50.51,631.5,0.56,30.35,,6.69,
3,00005,汇丰控股,5.72,86.04,91.13,161.0,0.56,14.66,,2.04,
4,01398,工商银行,-14.08,82.24,69.91,7.14,-0.83,6.12,,0.57,
5,09988,阿里巴巴-W,84.59,94.76,26.73,123.7,-0.56,20.22,,1.96,
6,00939,建设银行,-2.79,83.28,75.19,8.81,-0.56,6.02,,0.57,
7,01288,农业银行,-10.33,72.67,59.31,5.87,-1.18,6.23,,0.64,
8,00941,中国移动,-11.07,78.97,48.51,81.8,-0.73,11.68,,1.07,
9,00857,中国石油股份,2.07,62.41,25.43,9.51,0.96,9.8,,0.95,
10,03988,中国银行,-12.72,68.58,76.37,5.24,-0.85,6.15,,0.54,
11,03968,招商银行,-2.05,89.76,53.1,48.72,-0.37,7.28,,0.96,
12,00883,中国海洋石油,16.89,55.93,15.07,23.22,2.29,7.89,,1.16,
13,02318,中国平安,11.56,94.89,13.09,57.05,-0.44,6.97,,0.9,
14,02899,紫金矿业,89.79,107.23,25.94,36.5,3.4,14.06,,4.34,
15,01088,中国神华,51.44,56.62,29.58,42.92,0.19,15.78,,1.66,
16,01211,比亚迪股份,9.98,96.5,51.16,90.1,0.28,26.65,,3.13,
17,02628,中国人寿,66.48,47.35,29.21,28.76,-0.96,5.03,,1.2,
18,01299,友邦保险,20.91,66.23,11.06,74.45,1.78,15.85,,2.32,
19,00300,美的集团,15.23,100.0,82.12,95.65,-1.9,14.74,,2.77,
20,01810,小米集团-W,-6.05,71.77,23.72,27.06,0.74,17.64,,2.33,
21,09999,网易,72.92,63.94,58.35,205.0,0.99,17.16,,3.5,
22,03328,交通银行,-1.48,67.21,68.5,7.25,-0.55,5.93,,0.49,
23,01658,邮储银行,-5.09,63.51,31.1,4.84,-0.41,5.9,,0.5,
24,02513,智谱,86.2,0.06,29.62,1247.0,14.72,-111.54,,-5.6,
25,00981,中芯国际,49.63,0.24,39.38,66.8,2.22,105.58,,3.15,
