排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
6,601988,中国银行,99.62,106.05,110.06,100.74,98.72,103.35,6.68,0.15,8.64,100.0,0.78,94.72,6.085,5.933,1.0,9.78,0.81,0.87,16.89,100.0,100.0,银行Ⅱ,三周期共振超买 / 高位+估值顶区
3,601939,建设银行,98.33,99.25,108.32,100.32,84.25,104.26,11.14,0.45,8.41,98.0,0.81,75.33,10.509,10.18,1.0,6.0,0.84,0.7,10.85,100.0,100.0,银行Ⅱ,三周期共振超买 / 高位+估值顶区
5,600941,中国移动,104.63,108.56,100.42,100.03,99.81,65.84,100.8,0.91,16.59,74.51,1.54,42.57,97.373,94.105,1.0,3.52,1.63,1.18,13.35,74.51,42.57,通信服务,三周期共振超买
25,601328,交通银行,95.03,99.03,108.74,91.72,86.48,86.39,7.43,0.95,6.74,92.25,0.56,61.31,7.071,6.855,1.0,5.08,1.27,1.16,15.52,91.24,76.78,银行Ⅱ,三周期共振超买 / 高位+估值顶区
29,601998,中信银行,82.76,111.22,100.47,86.8,111.9,82.25,8.86,0.57,6.87,91.21,0.66,75.67,8.152,7.661,1.0,8.68,0.77,0.88,4.89,98.43,97.11,银行Ⅱ,三周期共振超买 / 高位+估值顶区
2,601398,工商银行,94.34,94.02,105.47,97.75,74.69,92.17,8.22,0.86,7.83,96.67,0.74,71.96,7.766,7.577,1.0,5.85,1.17,0.95,30.52,98.02,96.69,银行Ⅱ,三周期共振超买 / 高位+估值顶区
73,003816,中国广核,106.83,104.93,47.22,110.28,80.59,39.72,4.33,0.46,22.03,91.02,1.77,81.8,4.007,3.995,1.0,8.06,0.67,0.98,4.68,90.17,85.37,电力,高位+估值顶区
65,000001,平安银行,95.92,104.94,113.28,100.97,100.39,101.59,11.91,-0.08,5.32,37.45,0.49,15.3,11.426,11.012,1.0,4.24,0.82,0.79,10.63,65.12,26.61,银行Ⅱ,三周期共振超买
15,600036,招商银行,103.56,98.45,105.02,103.27,83.92,76.24,40.87,0.02,6.79,31.94,0.9,16.4,39.231,38.085,1.0,4.18,0.81,0.76,26.48,55.54,28.51,银行Ⅱ,三周期共振超买
4,601288,农业银行,96.08,99.71,64.69,96.91,81.96,38.97,7.06,0.14,8.29,94.53,0.86,89.31,6.699,6.535,1.0,5.39,0.88,0.66,20.62,90.5,90.25,银行Ⅱ,高位+估值顶区
22,601658,邮储银行,101.09,83.39,98.67,97.9,52.83,63.66,5.56,1.46,7.45,80.28,0.64,37.66,5.043,5.009,1.0,10.25,1.21,1.9,17.92,88.93,50.83,银行Ⅱ,三周期共振超买 / 高位+估值顶区
67,002142,宁波银行,82.68,107.8,99.95,85.42,105.53,90.29,34.3,0.0,7.28,35.41,0.93,31.13,33.079,31.631,1.0,3.69,1.02,0.88,9.08,61.57,54.13,银行Ⅱ,三周期共振超买
100,600547,山东黄金,85.95,112.49,27.95,75.65,108.07,14.97,37.89,2.71,31.91,11.17,5.27,83.79,33.273,28.219,1.0,13.88,1.12,1.31,48.12,19.01,74.55,贵金属,高位+估值顶区
21,688256,寒武纪,100.11,12.57,40.88,95.6,0.43,48.54,1108.0,-0.09,209.11,78.61,51.4,89.11,1086.241,1240.561,0.0,2.0,0.75,0.58,85.24,73.72,86.61,半导体,高位+估值顶区
20,600900,长江电力,89.31,70.8,93.95,70.49,61.0,86.46,28.72,1.13,19.41,53.99,3.25,87.21,28.14,27.609,1.0,2.06,1.36,1.13,35.82,26.03,77.77,电力,高位+估值顶区
34,688347,华虹宏力,81.26,-0.72,39.08,95.53,-2.4,48.63,243.2,-2.85,602.75,67.96,8.94,93.16,251.976,284.639,0.0,-3.48,0.62,0.45,26.15,67.96,93.16,半导体,高位+估值顶区
27,688041,海光信息,83.02,-0.6,15.43,73.94,-4.13,31.98,247.21,-1.29,182.88,65.14,22.65,77.95,263.845,300.663,0.0,-6.3,0.65,0.61,34.42,65.14,77.95,半导体,高位+估值顶区
