排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
44,159611,电力ETF广发,82.98,51.24,5.11,44.69,44.18,5.74,1.05,1.05,15.16,66.42,,,1.042,1.05,0,1.15,1.17,0.89,3.88,,,电力
45,159852,软件ETF嘉实,11.93,31.32,-1.7,30.67,46.43,0.14,0.67,-1.04,59.71,56.43,,,0.683,0.691,0,-2.64,0.77,0.52,3.06,,,计算机
46,560860,工业有色ETF万家,55.73,81.43,14.86,25.09,73.63,13.7,1.65,1.91,70.06,69.41,,,1.63,1.604,1,1.23,1.84,1.05,3.55,,,有色金属
47,159869,游戏ETF华夏,69.21,80.34,5.4,95.94,79.66,-0.11,1.12,-2.7,18.34,5.76,,,1.101,1.094,1,1.45,0.76,0.73,4.35,,,传媒
48,512660,军工ETF国泰,97.83,58.69,4.72,98.88,39.46,-1.96,1.18,1.55,54.14,37.57,3.39,63.8,1.134,1.164,0,4.06,1.58,1.81,5.49,,,军工
49,159263,价值ETF易方达,76.29,102.03,61.35,51.73,100.02,54.05,1.17,0.6,,,,,1.154,1.122,1,1.39,1.08,1.24,3.78,,,价值
50,512710,军工龙头ETF富国,103.29,79.62,2.98,91.53,52.21,-6.97,0.66,2.33,,,,,0.625,0.633,0,5.6,1.05,1.33,3.94,,,军工
51,159307,红利低波100ETF博时,57.27,60.65,59.94,67.67,70.26,56.3,1.03,-0.39,8.93,85.63,,,1.029,1.016,1,0.29,5.74,5.39,5.44,,,红利
52,159363,创业板人工智能ETF华宝,61.95,48.08,30.16,70.71,36.68,44.01,1.23,-0.65,,,,,1.237,1.301,0,-0.81,0.74,0.54,7.09,,,人工智能
53,159755,电池ETF广发,9.38,7.82,-16.26,5.1,14.01,-2.56,0.89,0.0,22.0,25.92,3.11,40.24,0.939,0.983,0,-5.01,0.95,0.72,2.31,,,新能源
54,159259,成长ETF易方达,77.99,39.51,31.36,65.44,23.97,41.03,1.35,0.74,,,,,1.34,1.439,0,0.97,1.01,1.13,6.41,,,成长
55,563300,中证2000ETF华泰柏瑞,91.22,83.77,40.55,95.5,61.2,36.07,1.45,-0.41,41.61,71.28,,,1.433,1.442,0,1.47,0.58,0.47,4.42,,,中证2000
56,159865,养殖ETF国泰,97.82,106.6,41.77,101.08,106.59,24.1,0.57,-0.17,23.4,55.68,,,0.547,0.529,1,4.75,0.63,0.84,1.92,,,农业
57,159851,金融科技ETF华宝,13.51,81.11,7.72,29.5,91.38,4.16,0.63,-0.63,32.02,7.5,,,0.628,0.623,1,0.32,0.54,0.68,1.85,,,其他
58,588220,科创100ETF鹏华,25.02,34.34,32.03,28.7,28.34,44.99,1.72,-0.4,,,,,1.785,1.846,0,-3.42,0.63,0.6,3.69,,,科创板
59,516150,稀土ETF嘉实,11.72,43.45,5.99,8.55,32.1,12.13,1.69,0.3,28.27,25.46,,,1.741,1.798,0,-2.93,0.72,0.52,0.81,,,有色金属
60,515980,人工智能ETF华富,34.4,15.49,27.74,52.41,11.07,41.67,1.01,-0.69,46.73,75.95,,,1.029,1.103,0,-1.85,0.56,0.49,1.28,,,人工智能
61,512950,央企改革ETF华夏,55.1,56.96,27.06,31.68,38.98,39.14,1.51,0.73,16.01,86.56,,,1.507,1.522,0,0.33,0.81,0.82,0.11,,,央企国企
62,561980,半导体设备ETF招商,9.15,1.28,38.39,14.92,1.97,52.43,0.65,-0.61,,,,,0.691,0.745,0,-6.37,0.72,0.48,,,,
63,159967,创业板成长ETF华夏,64.09,28.3,24.62,59.19,17.11,35.34,0.77,0.0,,,,,0.79,0.855,0,-2.03,0.76,0.63,,,,
