排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,510300,沪深300ETF华泰柏瑞,34.05,18.33,19.88,50.27,23.42,33.4,4.62,0.0,13.65,64.28,1.44,43.08,4.694,4.776,0,-1.58,0.73,0.53,23.06,,,沪深300
2,588000,科创50ETF华夏,37.37,-0.54,27.6,49.71,3.62,40.23,1.7,-0.47,72.66,71.27,7.56,88.4,1.777,1.91,0,-4.33,0.94,0.61,47.01,,,科创板
3,159915,创业板ETF易方达,5.37,14.4,5.12,6.55,21.15,26.58,3.33,-0.15,38.09,31.48,5.33,60.04,3.52,3.737,0,-5.4,1.06,0.72,50.64,,,创业板
4,512880,证券ETF国泰,74.97,25.18,36.22,84.3,20.67,35.61,1.1,0.73,12.97,5.03,1.28,17.08,1.089,1.103,0,0.83,0.95,1.01,19.61,,,证券
5,588200,科创芯片ETF嘉实,41.67,7.43,32.78,49.14,9.17,44.39,1.14,0.0,98.68,74.37,,,1.188,1.289,0,-4.04,0.95,0.64,25.5,,,半导体
6,159516,半导体设备ETF国泰,5.52,11.26,38.04,9.12,16.07,50.49,0.68,-0.58,98.25,91.59,,,0.732,0.766,0,-7.1,0.72,0.46,20.28,,,半导体
7,588170,科创半导体ETF华夏,2.44,11.03,39.15,9.54,17.09,51.21,0.94,-0.74,43.91,83.08,,,1.013,1.059,0,-7.21,0.85,0.54,39.14,,,半导体
8,515880,通信ETF国泰,31.24,35.89,21.36,37.8,30.93,35.35,0.65,0.31,42.42,86.82,,,0.666,0.726,0,-2.4,0.7,0.5,19.43,,,通信
9,563360,A500ETF华泰柏瑞,30.32,20.89,14.52,42.8,25.66,31.08,1.27,0.08,15.29,50.0,,,1.296,1.324,0,-2.01,0.94,0.84,37.36,,,中证A500
10,510500,中证500ETF南方,49.26,33.92,20.87,56.01,33.16,38.95,7.78,0.37,26.08,64.23,2.4,77.4,7.924,8.106,0,-1.82,0.86,0.76,25.85,,,中证500
11,512890,红利低波ETF华泰柏瑞,64.74,93.56,93.24,82.66,89.77,77.3,1.2,-0.08,8.0,73.49,0.87,62.44,1.177,1.151,1,1.95,1.31,1.4,12.69,,,红利
12,159995,芯片ETF华夏,39.67,3.95,23.61,47.08,5.49,35.48,1.12,-0.09,,,,,1.173,1.298,0,-4.52,0.78,0.54,4.92,,,半导体
13,512400,有色金属ETF南方,35.92,91.04,13.01,38.19,94.11,10.61,1.91,1.27,15.47,81.36,,,1.931,1.871,1,-1.09,0.61,0.59,7.43,,,有色金属
14,512170,医疗ETF华宝,21.01,70.83,46.44,5.63,84.54,37.25,0.34,0.59,27.77,22.88,3.46,12.08,0.347,0.325,1,-2.02,0.95,0.51,3.15,,,医药
15,159949,创业板50ETF华安,3.68,11.96,-0.53,5.66,19.43,19.97,1.55,-0.13,,,,,1.648,1.771,0,-5.89,0.97,0.67,14.04,,,创业板
16,159819,人工智能ETF易方达,74.22,5.58,26.13,82.87,6.94,39.9,1.73,-0.4,44.57,47.33,,,1.778,1.91,0,-2.59,0.66,0.49,2.71,,,人工智能
17,515450,红利低波50ETF南方,71.63,67.78,72.75,78.77,68.16,66.82,1.42,0.0,8.55,79.48,0.87,62.44,1.405,1.391,1,0.93,0.88,0.79,1.76,,,红利
18,510050,上证50ETF华夏,80.05,53.55,37.52,89.87,51.78,38.25,3.03,0.17,11.15,71.22,1.25,56.52,3.028,3.029,0,0.07,0.76,0.56,9.55,,,上证50
